Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Pete Fairbanks","MIA",-0.7534820735454559,-2.5943700969219208,1.8408880904316902,-4.39300000667572,-0.4607476592063904,2.0758031645759205,1.724457106419972,1.7591856845787592,3.040600076317787,4,-0.13724129647016525,-0.22574209540619783,6,3,"Pete Fairbanks",17998,664126
"Tyler Kinley","ATL",0.4304487407207489,-1.7829853296279907,2.2134339809417725,1.6830003261566162,0.15545980632305145,1.234752893447876,1.0290913581848145,1.0875680446624756,1.0233999490737915,19,-0.1656423807144165,0.5142536235022593,5,3,"Tyler Kinley",18297,641755
"Enyel De Los Santos","HOU",0.5039880275726318,-0.9099760055541992,1.413964033126831,3.2340002059936523,0.3176426291465759,0.8619932532310486,0.8845543265342712,1.0012600421905518,1.4788857698440552,14,0.3342841863632202,0.2503932756511408,6,3,"Enyel De Los Santos",18403,660853
"Enmanuel De Jesus","DET",-0.23603184521198273,-1.0671098232269287,0.8310779929161072,-5.950999736785889,-0.6135330200195312,0.4806380867958069,0.5558571815490723,0.5492749810218811,0.6243454217910767,11,-0.44980669021606445,-0.04127350441748717,2,3,"Enmanuel De Jesus",18554,646241
"Jacob Webb","CHC",0.05392414703965187,-1.517521858215332,1.5714460611343384,0.5710000991821289,0.05408469960093498,0.9805408120155334,0.9075382947921753,0.9484727382659912,1.0533250570297241,16,-0.48592716455459595,0.5409214558465709,5,3,"Jacob Webb",19274,657097
"Joey Lucchesi","LAA",-0.9463040232658386,-1.287734031677246,0.34143000841140747,-6.958000183105469,-0.7085831761360168,1.4314318895339966,1.0735666751861572,1.3854399919509888,1.0512499809265137,4,-0.33535078167915344,-0.32573832090742394,0,3,"Joey Lucchesi",19320,664192
"Richard Lovelady","- - -",0.4637001305818558,-2.4621995091438293,2.925899714231491,3.124199628829956,0.3162332847714424,1.6328170220806915,1.1317000102113794,1.5536636385050686,2.584666684580346,12,0.08394894003868103,0.20003887017594102,7,3,"Richard Lovelady",19337,663992
"Yohan Ramírez","PIT",0.7607980370521545,-2.9940013885498047,3.7547993659973145,5.5329999923706055,0.5761969685554504,1.6646289825439453,1.1365264654159546,1.1086087226867676,0.9507499933242798,16,0.0813739225268364,0.37566367866251443,6,3,"Yohan Ramirez",19444,670990
"Cionel Pérez","WSN",0.1638800948858261,-1.7940952777862549,1.9579753875732422,-0.4169999063014984,-0.042476944625377655,1.423257827758789,1.3411567211151123,1.3129750490188599,1.8947076797485352,13,0.08492766320705414,0.030216684984509218,6,3,"Cionel Perez",19614,672335
"Jordan Hicks","CHW",0.12784218788146973,-1.5434021949768066,1.6712443828582764,-1.4780001640319824,-0.16939128935337067,1.0876152515411377,0.9156444668769836,0.9214000105857849,0.8720250129699707,16,-0.3460531532764435,0.4635967310263131,4,3,"Jordan Hicks",19618,663855
"Anthony Bender","MIA",0.03916206955909729,-1.738223910331726,1.777385950088501,0.8469998836517334,0.07133527100086212,1.2295113801956177,0.8108851909637451,1.0465726852416992,1.285788893699646,18,0.44066300988197327,-0.4088112757785715,4,3,"Anthony Bender",19742,669622
"Jonathan Loáisiga","ARI",0.06107841059565544,-1.9127806425094604,1.9738589525222778,4.230999946594238,0.3996047377586365,1.3259702920913696,0.9803624749183655,1.060333251953125,1.0707571506500244,14,0.44906699657440186,-0.4030038147972896,6,3,"Jonathan Loaisiga",19753,642528
"Alex Lange","KCR",-0.7386119365692139,-1.5435419082641602,0.8049299716949463,-1.6749999523162842,-0.1646830439567566,0.47996896505355835,0.529512345790863,0.5517333149909973,0.5510153770446777,13,-0.23060427606105804,-1.3082700894654595,1,3,"Alex Lange",19883,656638
"Bryan Hudson","CHW",0.4306241273880005,-1.7107957899570465,2.141420006752014,4.723999977111816,0.48872314393520355,1.1976196808474404,0.9994252426870938,1.2956320142745972,1.0501895295946222,19,0.3797033876180649,-0.020136711924084005,4,3,"Bryan Hudson",19924,663542
"Dylan Lee","ATL",0.6535201668739319,-1.3585193157196045,2.0120394229888916,9.251999855041504,0.9216322898864746,1.1274000406265259,1.1013407707214355,1.2312960624694824,1.1039520502090454,25,1.166311502456665,-0.5866413380749488,11,3,"Dylan Lee",19996,669276
"Rico Garcia","BAL",0.9553261399269104,-1.0517300367355347,2.00705623626709,8.529000282287598,0.8873677253723145,1.2911368608474731,1.2685785293579102,1.6717666387557983,1.116974949836731,16,0.8863840699195862,-0.1464732448968571,12,3,"Rico Garcia",20023,670329
"Garrett Whitlock","BOS",0.880698025226593,-1.653738021850586,2.534435987472534,1.9280000925064087,0.17100225389003754,1.453954815864563,1.4955904483795166,1.5376499891281128,1.447670578956604,17,0.29065901041030884,0.3150668454533102,12,3,"Garrett Whitlock",20191,676477
"Eli Morgan","KCR",-0.28726595640182495,-0.708981990814209,0.42171603441238403,-1.2139999866485596,-0.11661843210458755,0.4480847418308258,0.4655102491378784,0.5685999989509583,0.7106999754905701,4,-0.12236816436052322,-0.5187292209869164,0,3,"Eli Morgan",20203,669212
