Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Jacob Lopez","ATH",48.2,0.2484472,0.65148064,0.44034707,0.73333333,0.86363636,0.82512315,0.47613883,19.65412446,"Jacob Lopez",25098,682052
"Eric Orze","MIN",24,0.31279621,0.58959538,0.4375,0.66666667,0.83333333,0.76785714,0.45052083,19.64768683,"Eric Orze",27626,679358
"Brandon Pfaadt","ARI",35.1,0.32119205,0.6848249,0.48837209,0.62886598,0.86931818,0.78388278,0.45974955,19.63209877,"Brandon Pfaadt",27782,694297
"Jovani Morán","BOS",27.2,0.27433628,0.62679426,0.44367816,0.46774194,0.80152672,0.69430052,0.48045977,19.63157895,"Jovani Moran",20422,663558
"Peyton Gray","TEX",13,0.30769231,0.65420561,0.47321429,0.66666667,0.8,0.75471698,0.47767857,19.62721893,"Peyton Gray",25310,682608
"Carlos Rodón","NYY",13,0.31210191,0.72115385,0.47509579,0.55102041,0.84,0.72580645,0.39846743,19.62686567,"Carlos Rodon",16137,607074
"Joe Mantiply","TOR",17.2,0.35862069,0.63865546,0.48484848,0.73076923,0.90789474,0.8359375,0.45075758,19.61458333,"Joe Mantiply",14857,573009
"Mason Fluharty","TOR",18.2,0.35638298,0.6516129,0.48979592,0.55223881,0.82178218,0.71428571,0.45189504,19.61003861,"Mason Fluharty",31553,689254
"AJ Blubaugh","HOU",31.2,0.25239617,0.71317829,0.46059545,0.51898734,0.82608696,0.7338403,0.45183888,19.58275058,"AJ Blubaugh",31764,805123
"Ben Brown","CHC",38.2,0.32907348,0.60498221,0.45959596,0.48543689,0.88823529,0.73626374,0.47306397,19.5808656,"Ben Brown",23590,676962
"Jordan Hicks","CHW",17.2,0.20238095,0.57419355,0.38080495,0.70588235,0.87640449,0.82926829,0.47987616,19.57627119,"Jordan Hicks",19618,663855
"Taj Bradley","MIN",52,0.29184549,0.64963504,0.45952109,0.53676471,0.8576779,0.74937965,0.4686431,19.56621005,"Taj Bradley",22543,671737
"Mick Abel","MIN",20.1,0.33142857,0.65384615,0.49579832,0.56896552,0.84033613,0.75141243,0.50980392,19.54545455,"Mick Abel",27756,690953
"Jake Woodford","MIL",19,0.25641026,0.64071856,0.45510836,0.675,0.89719626,0.83673469,0.51702786,19.54347826,"Jake Woodford",18674,663765
"Peter Lambert","HOU",40.1,0.28212291,0.7047619,0.47994056,0.63366337,0.81531532,0.75851393,0.46805349,19.54150198,"Peter Lambert",17969,663567
"Jack Dreyer","LAD",21.2,0.30057803,0.64497041,0.47076023,0.59615385,0.81651376,0.74534161,0.49415205,19.5390625,"Jack Dreyer",30249,676263
"Paul Blackburn","NYY",22.1,0.24210526,0.69142857,0.45753425,0.67391304,0.90082645,0.83832335,0.47945205,19.53731343,"Paul Blackburn",14739,621112
"Yovanny Cruz","NYY",2.1,0.38461538,0.76923077,0.57692308,0.6,0.9,0.8,0.5,19.52941176,"Yovanny Cruz",22622,672442
"Blake Snell","LAD",3,0.46,0.62962963,0.51948052,0.47826087,0.76470588,0.6,0.35064935,19.50847458,"Blake Snell",13543,605483
"Dennis Santana","PIT",21.1,0.35609756,0.68674699,0.50404313,0.69863014,0.86842105,0.80213904,0.44743935,19.50541516,"Dennis Santana",17878,642701
"Kris Bubic","KCR",50.1,0.28103044,0.6640625,0.46239211,0.56666667,0.8627451,0.768,0.47348952,19.50496689,"Kris Bubic",21455,663460
