Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Adrian Houser","SFG",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adrian Houser",12718,605288
"Nick Martinez","TBR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nick Martinez",12730,607259
"Chris Devenski","PIT",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chris Devenski",12763,606965
"Sonny Gray","BOS",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sonny Gray",12768,543243
"Burch Smith","DET",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Burch Smith",12784,572143
"Michael Kelly","ATH",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michael Kelly",12791,547184
"Andrew Kittredge","BAL",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Andrew Kittredge",12828,552640
"Shawn Armstrong","CLE",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shawn Armstrong",12857,542888
"Joe Ross","ARI",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Joe Ross",12972,605452
"Gerrit Cole","NYY",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gerrit Cole",13125,543037
"Eduardo Rodriguez","ARI",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eduardo Rodriguez",13164,593958
"Danny Coulombe","BOS",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Danny Coulombe",13293,543056
"Hoby Milner","CHC",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hoby Milner",13346,571948
"Steven Matz","TBR",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Steven Matz",13361,571927
"Pierce Johnson","CIN",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pierce Johnson",13435,572955
"Taylor Rogers","MIN",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taylor Rogers",13449,573124
"Lucas Sims","CHW",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lucas Sims",13470,608371
"Blake Snell","LAD",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blake Snell",13543,605483
"Steven Okert","HOU",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Steven Okert",13580,595345
"Carl Edwards Jr.","NYM",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carl Edwards Jr.",13607,605218
"Jakob Junis","TEX",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jakob Junis",13619,596001
"Clay Holmes","NYM",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clay Holmes",13649,605280
"Max Fried","NYY",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Max Fried",13743,608331
"Zach Eflin","BAL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zach Eflin",13774,621107
"Matt Strahm","KCR",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matt Strahm",13799,621381
"Paul Sewald","ARI",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Paul Sewald",13892,623149
"Dietrich Enns","BAL",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dietrich Enns",13932,608650
"Brent Suter","LAA",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brent Suter",13942,608718
"Michael Wacha","KCR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michael Wacha",14078,608379
"Kevin Gausman","TOR",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kevin Gausman",14107,592332
"Lance McCullers Jr.","HOU",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lance McCullers Jr.",14120,621121
