Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Devin Williams","NYM",13.235295602607234,5.294118241042893,2.5,1.0588236482085787,0.32467532,0.12987013,0.1948052,0.26865671641791045,1.6470590083244558,0.4,0.63492063,163.06253993090692,85.67524738509063,79.59237267650936,6.352941889251472,3.4348052869618604,2.9181366022896116,3.2100806183777473,3.089059776789335,"Devin Williams",15816,642207
"Jake Rogers","DET",6.750001609325793,0,1,0,0.16666667,0,0.16666667,0.3333333333333333,1.500000357627954,0.4,1,0,38.48680491526938,63.974349408326624,0,1.5818637132643802,-1.5818637132643802,2.621536510955677,3.075324128168445,"Jake Rogers",19452,668670
"Chris Martin","TEX",8.590910580532869,0,7,2.454545880152248,0.20588235,0,0.20588235,0.42424242424242425,1.9090912401184152,0.5,0.57377049,213.2063060466892,124.42947235833304,75.54471096085742,8.590910580532869,5.127318971019207,3.463591609513662,3.094115054564213,3.0666381428151532,"Chris Martin",11847,455119
"Robert Suarez","ATL",8.059701951422731,2.014925487855683,4,0.40298509757113654,0.23255814,0.05813953,0.17441861,0.18518518518518517,0.8955224390469702,0.23333333333333334,0.96774194,19.905323309979792,64.38513187311848,79.43857316655291,0.8059701951422731,2.544550607464152,-1.7385804123218789,3.203861152243092,3.0622755761305416,"Robert Suarez",30115,663158
"Jose A. Ferrer","SEA",8.250001311302393,1.1250001788139627,7.33333333,0.37500005960465427,0.21153846,0.02884615,0.18269231,0.2755102040816326,1.250000198682181,0.3466666666666667,0.85443038,49.07676876629451,64.72009957270694,85.48903836651601,1.8750002980232712,2.5401973181300557,-0.6651970201067845,3.50028004268463,3.0618145015865763,"Jose A. Ferrer",24017,678606
"Brad Lord","WSN",7.457143669907016,1.5428573110152448,4.83333333,1.0285715406768299,0.19863014,0.04109589,0.15753425,0.22058823529411764,1.0285715406768299,0.2524271844660194,0.81395349,70.20353671189595,93.03885521365267,86.02136554563782,2.828571736861282,3.767578431343554,-0.9390066944822721,3.470061312989888,3.0382416074069587,"Brad Lord",31972,695418
"Pete Fairbanks","MIA",13.846154861901713,4.8461542016656,2.85714286,1.3846154861901714,0.34482759,0.12068966,0.22413793,0.24,1.461538568756292,0.35714285714285715,0.46511628,186.45451858065994,95.40416222403539,93.45059505133821,7.615385174045942,3.851094896553541,3.764290277492401,3.770490367220094,3.033494544893166,"Pete Fairbanks",17998,664126
"Shohei Ohtani","LAD",9.918367346938776,2.3877551020408165,4.15384615,0.3673469387755102,0.28421053,0.06842105,0.21578947,0.16091954022988506,0.8367346938775511,0.22033898305084745,0.9223301,18.324910207445217,57.57529787096251,76.92344208483708,0.7346938775510204,2.387986519871926,-1.6532926423209058,3.102152293798875,3.0321644195568265,"Shohei Ohtani",19755,660271
"Blake Snell","LAD",15,6,2.5,0,0.27777778,0.11111111,0.16666667,0.375,2.6666666666666665,0.5454545454545454,0.375,299.3068667216052,42.21269806091489,54.87666817421994,12,1.7485307375590013,10.251469262440999,2.2106074263652173,3.027567952251117,"Blake Snell",13543,605483
"Matt Brash","SEA",7.425000708103248,1.350000128746045,5.5,0,0.23404255,0.04255319,0.19148936,0.13636363636363635,0.6000000572204645,0.18181818181818182,0.88888889,0,53.64207222776602,79.37365201992314,0,2.1068639779090796,-2.1068639779090796,3.2505038917704656,3.0267486290925953,"Matt Brash",25756,666374
"Jacob deGrom","TEX",10.73291976326509,1.8447205843111871,5.81818182,2.0124224556122043,0.29767442,0.05116279,0.24651163,0.21568627450980393,1.0248447690617706,0.25,0.83769634,95.7252682037292,102.33760389460491,78.70333187767034,3.8571430399233915,4.2185100874881165,-0.36136704756472504,3.223125411405864,3.0232150590377,"Jacob deGrom",10954,594798
"Will Vest","DET",9.818183520608992,3.681818820228372,2.66666667,0.613636470038062,0.25396825,0.0952381,0.15873016,0.22807017543859648,1.2954547700803531,0.3,0.45454545,134.80379668537418,73.512883475593,75.01489908953258,5.522728230342558,3.013682240888105,2.509045989454453,3.072475478186201,3.0216503412452775,"Will Vest",19769,676684
"Jacob Webb","CHC",10.384617517686188,3.32307760565958,3.125,1.2461541021223426,0.26595745,0.08510638,0.18085106,0.2558139534883721,1.384615669024825,0.3275862068965517,0.7751938,73.47823269836782,92.79391999130199,76.80793208826118,2.9076929049521323,3.681864194136425,-0.7741712891842929,3.0974812092673223,3.0184294802926592,"Jacob Webb",19274,657097
"Chase Solesky","TBR",12,3,4,3,0.23529412,0.05882353,0.17647059,0.375,2.3333333333333335,0.45454545454545453,0.89285714,145.53955192307816,138.1553364760219,79.69194365498021,6,5.748530737559001,0.2514692624409989,3.2635041594505316,3.0151329459348375,"Chase Solesky",25480,686678
"Burch Smith","DET",10.588237094631964,3.705882983121187,2.85714286,1.0588237094631963,0.2739726,0.09589041,0.17808219,0.2727272727272727,1.4705884853655504,0.36363636363636365,0.76576577,77.53420959876406,85.25365033879595,73.83479129428132,3.176471128389589,3.4936288467946883,-0.3171577184050993,3.0242752883607644,2.9973539740725137,"Burch Smith",12784,572143
"Nolan McLean","NYM",10.706896551724139,2.6379310344827585,4.05882353,0.9310344827586207,0.29487179,0.07264957,0.22222222,0.2028301886792453,1.0344827586206897,0.27007299270072993,0.65371025,91.60552580401009,79.46751160402175,73.5023909607758,3.5689655172413794,3.185312346754403,0.38365317048697634,2.963809124714342,2.992077882284922,"Nolan McLean",33703,690997
