Name,Team,PA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Bryan Torres","STL",10,0.21428571,0.46666667,0.30232558,0.66666667,1,0.84615385,0.34883721,19.42424242,"Bryan Torres",21464,663494
"Miguel Vargas","CHW",221,0.17099567,0.70765661,0.4300112,0.7721519,0.85901639,0.84114583,0.48264278,19.4238806,"Miguel Vargas",20178,678246
"Denzel Clarke","ATH",60,0.25954198,0.61261261,0.4214876,0.35294118,0.79411765,0.64705882,0.45867769,19.42372881,"Denzel Clarke",29858,672016
"Jeremiah Jackson","BAL",160,0.38431373,0.77224199,0.58768657,0.56122449,0.83870968,0.75238095,0.52425373,19.42328042,"Jeremiah Jackson",22239,669236
"Connor Joe","SEA",39,0.23655914,0.59090909,0.40883978,0.68181818,0.80769231,0.77027027,0.48618785,19.41549296,"Connor Joe",16572,656582
"Seiya Suzuki","CHC",168,0.24242424,0.59337349,0.41007194,0.48863636,0.8680203,0.75087719,0.47769784,19.41366224,"Seiya Suzuki",30116,673548
"Yainer Diaz","HOU",106,0.42934783,0.76129032,0.58112094,0.59493671,0.90677966,0.78172589,0.45722714,19.40948276,"Yainer Diaz",23003,673237
"Alex Call","LAD",58,0.16911765,0.6124031,0.38490566,0.86956522,0.98734177,0.96078431,0.48679245,19.4057971,"Alex Call",19296,669743
"Felix Reyes","PHI",38,0.52857143,0.66666667,0.58474576,0.54054054,0.96875,0.73913043,0.40677966,19.40506329,"Felix Reyes",28763,694025
"Coby Mayo","BAL",143,0.28664495,0.59489051,0.43201377,0.44318182,0.86503067,0.71713147,0.47160069,19.39675174,"Coby Mayo",28312,691723
"Agustín Ramírez","MIA",129,0.26587302,0.7107438,0.48380567,0.44776119,0.80232558,0.70292887,0.48987854,19.38736264,"Agustin Ramirez",26546,682663
"Alejandro Osuna","TEX",76,0.3,0.65909091,0.48091603,0.79487179,0.91954023,0.88095238,0.50381679,19.3715847,"Alejandro Osuna",27915,696030
"Joey Bart","PIT",62,0.3255814,0.6173913,0.46311475,0.5952381,0.84507042,0.75221239,0.47131148,19.36516854,"Joey Bart",21524,663698
"Joey Ortiz","MIL",129,0.30111524,0.53333333,0.41060904,0.71604938,0.9375,0.85167464,0.47151277,19.36147757,"Joey Ortiz",25493,687401
