"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Williamson, Brandon","682227","86","18.7",34.9,"111.1","88.1","76.4","93.1","85.2","444","187","417","36",41.9,"9",10.5,7
"Glasnow, Tyler","607192","86","14.3",30.2,"108.8","90.4","81.8","94.2","87.5","409","161","384","33",38.4,"7",8.1,4.7
"Newcomb, Sean","656794","85","5.9",31.8,"111","85.9","72.8","90","84.2","422","129","392","31",36.5,"4",4.7,3.3
"Anderson, Drew","623454","84","9.9",27.4,"115.3","90.2","80.1","95.9","88.5","459","140","417","33",39.3,"6",7.1,4.2
"Svanson, Matt","694335","84","14.2",36.9,"110","92.4","81.9","94.4","91.9","423","165","389","44",52.4,"6",7.1,4.8
"Gordon, Tanner","685299","84","19.8",41.7,"111.5","91.5","82.2","95.6","86.2","425","207","403","38",45.2,"13",15.5,10.8
"Ragans, Cole","666142","83","20.2",32.5,"111.6","89.6","79.2","93.3","85.4","425","190","383","33",39.8,"13",15.7,8.6
"Senzatela, Antonio","622608","83","14.7",32.5,"112.2","86.4","74","89.1","87.7","400","161","392","30",36.1,"4",4.8,3.4
"Weiss, Ryan","680802","81","16.8",39.5,"109.6","90.3","79.4","96.6","83.4","426","191","388","40",49.4,"9",11.1,6.9
"Waldron, Matt","663362","79","17",24.1,"105.8","89.8","80.6","94.5","85.6","395","162","378","31",39.2,"6",7.6,5.5
"Miles, Spencer","693686","79","7.6",29.1,"109","84.3","72.1","88.5","81.2","423","135","418","24",30.4,"3",3.8,2.6
"Prielipp, Connor","687570","79","16.6",34.2,"110.5","89.5","79.6","93.1","86.9","427","179","409","28",35.4,"9",11.4,7.3
"Jax, Griffin","643377","78","11.2",26.9,"110.2","88.4","77.1","90.7","87.4","432","148","397","28",35.9,"5",6.4,4.3
"Kolek, Stephen","663568","78","11.8",32.1,"112.8","88.8","78.2","92.5","87.1","359","151","352","29",37.2,"4",5.1,4.1
"Graceffo, Gordon","700669","78","11.6",32.1,"111.9","91.3","82.2","94","90.3","414","160","409","35",44.9,"7",9,6.8
"Holton, Tyler","663947","77","8.6",36.4,"110.7","90.2","79.9","92.8","89","392","146","383","33",42.9,"4",5.2,3.8
"Ferrer, José A.","678606","76","13.2",30.3,"109.8","85.5","73.4","87.4","85.2","366","140","360","26",34.2,"2",2.6,1.9
"Ramírez, Yohan","670990","75","7.5",30.7,"107.9","84.5","72","87","82.8","403","129","397","24",32,"5",6.7,3.8
"Suter, Brent","608718","75","10",29.3,"108.7","85.6","72.8","90.7","81.9","410","138","400","23",30.7,"5",6.7,4.5
"Gómez, Yoendrys","672782","74","26.8",37.8,"114.7","88.4","77.3","93.7","86.2","398","197","383","27",40.3,"9",12.2,8
"Phillips, Connor","683175","74","20.8",37.8,"110","89.8","79.8","92.1","89.1","407","197","389","30",40.5,"7",9.5,5.3
"Milner, Hoby","571948","74","11.7",29.7,"109.8","88","77.4","92.2","85.4","391","151","378","25",33.8,"5",6.8,5.4
"Bruihl, Justin","677865","74","9.6",39.2,"111.1","87.8","76.1","92.9","84.3","402","154","389","31",41.9,"4",5.4,3.8
"Ritchie, JR","702275","74","10.6",31.1,"107.7","88.5","78.5","93.4","84.1","426","156","405","28",37.8,"4",5.4,3.5
"Brubaker, JT","664141","74","14.3",37.8,"109","88.6","78.3","92","85.9","401","174","401","26",35.1,"3",4.1,2.8
"Alexander, Tyler","641302","73","9.8",24.7,"104.8","85.9","75.5","88.9","85.3","366","128","366","20",27.4,"1",1.4,1
