Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,OPS,BB,IBB,SO,HBP,AB,H,1B,2B,3B,BB%,K%,BB/K,OPS,WPA,Clutch,EV,Barrel%,maxEV,HardHit%,xBA,xSLG,BatSpd,SqUpSw%,O-Swing% (mlb),Z-Swing% (mlb),Swing% (sc),O-Contact% (mlb),Z-Contact% (mlb),Contact% (sc),Zone% (mlb),NameASCII,PlayerId,MLBAMID
"Will Brennan","SFG",10,21,0,0,0,0,0,0.095238095,0,0.105263157,0.095238095,0.095238095,0.095238095,0.08555160817645845,0.19900000722784744,-54.0074697022798,-0.01192920922767371,-3.75975733445007,-0.9471727609634399,-0.41875464033215887,0.19047619,0,0,2,0,21,2,2,0,0,0,0.095238095,0,0.19047619,-0.4184879660606384,-0.14878130181401972,83.71111382378473,0,103.1,0.26315789,0.19468420430233604,0.2669999975907175,68.52735114820075,0.27272727,0.5,0.75,0.62121212,0.88235294,1,0.95121951,0.48484848,"Will Brennan",25660,686823
"Edmundo Sosa","PHI",30,91,2,9,14,2,0.032967032,0.219780219,0.105882353,0.25,0.211764705,0.244444444,0.317647058,0.2503596478038364,0.33535083504610286,54.199885244020294,0.3658012212254107,-4.4639698307569455,0.11936061084270477,-0.15407855965045947,0.562091502,3,0,20,1,85,18,13,3,0,0.032967032,0.219780219,0.15,0.562091502,0.2528638541698456,0.6205306106144827,86.77424390388258,0.04477612,111.6,0.37313433,0.3044197647659867,0.4384567825882523,72.08733421148256,0.20930233,0.55208333,0.70833333,0.61904762,0.68867925,0.88235294,0.78365385,0.42857143,"Edmundo Sosa",17022,624641
"Sebastián Rivero","LAA",19,37,0,1,0,0,0.054054054,0.216216216,0,0.153846153,0.117647058,0.166666666,0.117647058,0.1388027701112959,0.21842177708943686,-21.707233381855445,-0.0990963215008378,-5.321754697198674,1.711720883846283,-0.24052853816950717,0.284313724,2,0,8,0,34,4,4,0,0,0.054054054,0.216216216,0.25,0.284313724,-0.5689401030540466,-0.0767371292711212,83.34230393629808,0,106.3,0.11111111,0.20155882835388184,0.23111764122458064,71.24745396205357,0.13095238,0.49438202,0.77142857,0.6163522,0.68181818,0.81481481,0.75510204,0.44025157,"Sebastian Rivero",21735,665861
"Alex Jackson","MIN",2,7,0,0,0,0,0,0.571428571,0.142857143,0.666666666,0.285714285,0.285714285,0.428571428,0.3109660914966038,0.12828571455819265,95.8505199546225,-0.005281002726405859,-0.038968226762456815,0.7521289270371199,0.09891975887864597,0.714285713,0,0,4,0,7,2,1,1,0,0,0.571428571,0,0.714285713,-0.18635405600070953,-0.050107330281382895,82.66666666666667,0,107.1,0.33333333,0.13571429252624512,0.15614286490849086,72.93558247884114,0,0.5,0.72727273,0.60869565,0.5,0.625,0.57142857,0.47826087,"Alex Jackson",17276,656577
"Hayden Senger","NYM",5,12,0,1,1,0,0,0.25,0,0.142857142,0.1,0.1,0.1,0.08982918858528137,0.1775999903678894,-50.18362599516856,-0.22833164175972342,-2.3167736357586377,-0.24229197204113007,-0.22577741007837895,0.2,0,0,3,0,10,1,1,0,0,0,0.25,0,0.2,-0.30456307530403137,-0.06813690227937638,84.46666463216145,0,102.8,0.22222222,0.15800000429153443,0.2628999948501587,72.71168619791666,0.2,0.47058824,0.75,0.60606061,0.75,0.91666667,0.85,0.48484848,"Hayden Senger",21489,663584
"Ezequiel Tovar","COL",54,200,2,14,16,3,0.055,0.255,0.091891892,0.283582089,0.216216216,0.265,0.308108108,0.2584234857559204,0.29556565896058695,47.60434742785836,0.7134240157902241,-11.430074807683166,1.960417926311493,-0.33046870364601194,0.573108108,11,0,51,2,185,40,27,11,0,0.055,0.255,0.215686274,0.573108108,-2.2604823112487793,-0.6370468737222481,87.98134328358209,0.06617647,109.1,0.36764706,0.23846666547987197,0.3822833167182075,71.64958028590425,0.18617021,0.43488943,0.80712166,0.60349462,0.58757062,0.84926471,0.74610245,0.45295699,"Ezequiel Tovar",24064,678662
"Everson Pereira","CHW",18,71,3,7,7,1,0.056338028,0.295774647,0.203125,0.31707317,0.25,0.309859154,0.453125,0.3344097615967334,0.3135656168763067,112.30080221477596,-0.05236229905858636,0.9605347097423396,-0.06428128480911255,0.3477672706023295,0.762984154,4,0,21,2,64,16,9,4,0,0.056338028,0.295774647,0.19047619,0.762984154,0.07276862859725952,0.03724124631064363,87.7431807084517,0.11363636,108.4,0.43181818,0.23154687881469727,0.4308125078678131,74.6188228546627,0.1984127,0.42063492,0.8018018,0.59915612,0.41509434,0.80898876,0.66197183,0.46835443,"Everson Pereira",23695,677592
"Javier Báez","DET",24,82,2,10,6,1,0.024390243,0.195121951,0.141025641,0.295081967,0.256410256,0.280487804,0.397435897,0.29740785025968786,0.29395776913489824,87.13137637412068,-0.4486537501215935,-1.6724791311728355,-1.1166486144065857,0.006044508360591422,0.677923701,2,0,16,1,78,20,13,5,0,0.024390243,0.195121951,0.125,0.677923701,-0.9874741435050964,-0.5176434780835438,84.69354838709677,0.03174603,104,0.28571429,0.2720909118652344,0.36067531635234884,72.50180338541666,0.20666667,0.50909091,0.72807018,0.59856631,0.63095238,0.86746988,0.74850299,0.40860215,"Javier Baez",12979,595879
"Jake Mangum","PIT",37,104,0,14,6,6,0.076923076,0.201923076,0.02173913,0.323943661,0.25,0.323529411,0.27173913,0.2752596942505034,0.279676109853417,70.88152253409919,1.376789408735931,-2.1325113315889426,-1.0150796920061111,0.011941664985757688,0.595268541,8,1,21,2,92,23,21,2,0,0.076923076,0.201923076,0.38095238,0.595268541,-0.3782755434513092,0.0926193127222415,83.36268365205224,0,104.2,0.26027397,0.24702222612169053,0.29517777760823566,65.95737092391305,0.17391304,0.48756219,0.73333333,0.59836066,0.78571429,0.81818182,0.80365297,0.45081967,"Jake Mangum",26202,663968
"Luis Matos","MIL",9,21,0,1,0,0,0.047619047,0.333333333,0,0.307692307,0.2,0.238095238,0.2,0.2045254111289978,0.1297901017325265,25.362879784967884,-0.06207987619563937,-1.878401505713078,0.972421407699585,-0.025561424590863135,0.438095238,1,0,7,0,20,4,4,0,0,0.047619047,0.333333333,0.142857142,0.438095238,-0.2933201193809509,-0.06881390597723402,84.14615572415866,0,104.5,0.23076923,0.09879999756813049,0.13574999570846558,71.1083733974359,0.17948718,0.5,0.73333333,0.59722222,0.47619048,0.90909091,0.69767442,0.41666667,"Luis Matos",26467,682641
"Colby Thomas","ATH",17,38,1,4,5,0,0.052631578,0.236842105,0.142857143,0.4,0.314285714,0.351351351,0.457142857,0.357757204287761,0.2988940080006917,125.63099918536874,0.27960361633449793,1.40919829499841,-1.9213030636310577,0.08353224726162281,0.808494208,2,0,9,0,35,11,8,2,0,0.052631578,0.236842105,0.222222222,0.808494208,0.10089605301618576,0.06447781483341251,90.0730731670673,0.11111111,108.1,0.33333333,0.2281176482929903,0.4209705801571117,75.15283203125,0.22727273,0.43835616,0.78333333,0.59398496,0.375,0.93617021,0.70886076,0.45112782,"Colby Thomas",31855,687515
"Sandy León","ATL",9,20,0,0,0,0,0,0.3,0,0.142857142,0.1,0.1,0.1,0.08982918858528137,0.11549999978807238,-53.96944620092016,-0.09712407272309065,-3.6656029388224574,0.32321879267692566,-0.28084341785789413,0.2,0,0,6,0,20,2,2,0,0,0,0.3,0,0.2,-0.2917400598526001,-0.042523343141011416,82.17857142857143,0,98.2,0.14285714,0.11538888348473443,0.15066666073269314,67.87346540178571,0.22857143,0.39393939,0.74418605,0.59210526,0.61538462,0.8125,0.75555556,0.56578947,"Sandy Leon",5273,506702
"Christian Koss","SFG",10,15,0,1,0,0,0,0.133333333,0.071428571,0.083333333,0.071428571,0.133333333,0.142857142,0.13413456281026204,0.15782632827758789,-20.924948099243696,0.10407339641824365,-1.9978929302963957,-0.03559267148375511,-0.1616712944477617,0.276190475,0,0,2,1,14,1,0,1,0,0,0.133333333,0,0.276190475,-0.31920599937438965,-0.05606507743199157,83.53333536783855,0,100.1,0.16666667,0.1254285659108843,0.14364285128457205,70.39500790550595,0.28571429,0.35294118,0.77272727,0.58974359,0.5,0.82352941,0.73913043,0.56410256,"Christian Koss",27653,683766
"Jeremiah Jackson","BAL",49,167,6,15,26,1,0.017964071,0.209580838,0.155279503,0.286885245,0.254658385,0.269461077,0.409937888,0.29629138165605284,0.2949146459132065,88.06226423619854,-0.7956773042678833,-3.1078056461673693,-0.0603489875793457,0.2721813047001136,0.679398965,3,0,35,1,161,41,28,7,0,0.017964071,0.209580838,0.085714285,0.679398965,-0.5679932832717896,-0.29716104424739864,89.51496370570867,0.0859375,110.9,0.40625,0.25400641025641024,0.41179485810108674,73.00113699776786,0.27857143,0.37218045,0.77777778,0.58614565,0.55555556,0.84415584,0.75757576,0.52753108,"Jeremiah Jackson",22239,669236
"Felix Reyes","PHI",12,38,1,2,2,0,0,0.236842105,0.105263158,0.178571428,0.157894736,0.157894736,0.263157894,0.18320121263202868,0.23263158296283923,8.46840598047753,-0.4525041040033102,-4.483136655505545,-0.1917077898979187,-0.3602594759642346,0.42105263,0,0,9,0,38,6,4,1,0,0,0.236842105,0,0.42105263,-0.366567999124527,0.0504681612113127,89.15517241379311,0.06896552,110.3,0.27586207,0.22897368983218544,0.3139473764519942,75.45840946320564,0.22580645,0.52857143,0.66666667,0.58474576,0.54054054,0.96875,0.73913043,0.40677966,"Felix Reyes",28763,694025
"Jhostynxon Garcia","PIT",7,22,0,0,1,0,0.045454545,0.272727272,0,0.333333333,0.238095238,0.272727272,0.238095238,0.23606025088917126,0.2785043716430664,44.18869494460658,0.06849378999322653,-1.3543703836667453,-0.09975539892911911,-0.07901927471785782,0.51082251,1,0,6,0,21,5,5,0,0,0.045454545,0.272727272,0.166666666,0.51082251,-0.07394195348024368,0.08968336560062763,83.06666666666666,0,109.7,0.33333333,0.2730999946594238,0.31524999141693116,74.60401870265152,0.18181818,0.46153846,0.76923077,0.58461538,0.66666667,0.7,0.68421053,0.4,"Jhostynxon Garcia",28142,691373
"Yainer Diaz","HOU",26,106,2,7,14,0,0.028301886,0.150943396,0.108910891,0.258823529,0.237623762,0.254716981,0.346534653,0.26366914780634754,0.2573563737689324,64.99965737154034,-1.004419593140483,-5.307224601422891,-2.183054566383362,-0.39405574209994165,0.601251634,3,0,16,0,101,24,17,5,0,0.028301886,0.150943396,0.1875,0.601251634,-1.0971540212631226,-0.5589933032378815,87.79885057471265,0.03448276,109.6,0.28735632,0.23763365792756033,0.3233861262255376,72.26155783913352,0.31818182,0.42934783,0.76129032,0.58112094,0.59493671,0.90677966,0.78172589,0.45722714,"Yainer Diaz",23003,673237
