Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Zebby Matthews","MIN",1,1,1.3846153846153846,2,2,2,0,0,0,0,0,13,48,9,2,2,1,1,0,0,0,0,11,"Zebby Matthews",31827,805673
"José Fermin","LAA",1,1,3.1764712119186203,12,0,0,0,0,0,1,0,11.1,52,8,4,4,1,8,1,2,2,0,11,"Jose Fermin",33908,820862
"Max Scherzer","TOR",1,3,9.642857471290911,5,5,2,0,0,0,0,0,18.2,84,22,20,20,7,8,0,1,0,0,10,"Max Scherzer",3137,453286
"Albert Suárez","BAL",1,0,2.74576280062927,7,0,0,0,0,1,0,0,19.2,81,14,10,6,3,9,0,0,0,0,10,"Albert Suarez",6175,544150
"Jason Adam","SDP",2,0,1.0188680711952167,19,0,0,0,0,1,11,0,17.2,70,12,2,2,1,5,0,1,0,0,10,"Jason Adam",11861,592094
"Hoby Milner","CHC",1,0,1.9285718489667292,23,0,0,0,0,1,3,1,23.1,92,16,5,5,2,6,0,2,0,0,10,"Hoby Milner",13346,571948
"Lucas Sims","CHW",0,2,4.5000008583070485,9,0,0,0,0,0,2,0,10,46,9,7,5,1,7,0,1,0,0,10,"Lucas Sims",13470,608371
"Edwin Díaz","LAD",1,0,10.5,7,0,0,0,0,4,0,1,6,33,9,7,7,1,5,1,1,1,0,10,"Edwin Diaz",14710,621242
"Tim Hill","NYY",1,2,2.612904029632085,25,0,0,0,0,0,8,1,20.2,85,18,8,6,1,5,1,1,0,0,10,"Tim Hill",16814,657612
"Taylor Clarke","ARI",1,1,1.9852945074491375,24,0,0,0,0,0,11,1,22.2,85,13,6,5,1,3,1,2,0,0,10,"Taylor Clarke",17611,664199
"Kyle Hart","SDP",0,1,5.400000823974735,12,0,0,0,0,0,4,0,16.2,68,12,10,10,0,6,0,2,0,0,10,"Kyle Hart",19646,606996
"Jason Alexander","HOU",1,0,7.2972974853850054,3,1,1,0,0,0,0,0,12.1,57,15,10,10,2,6,0,0,0,0,10,"Jason Alexander",19666,669920
"Kody Funderburk","MIN",1,1,2.8125010058287403,19,0,0,0,0,1,6,0,16,70,9,5,5,1,13,0,2,0,0,10,"Kody Funderburk",24993,681892
"Orlando Ribalta","WSN",0,0,2.314285840404284,12,0,0,0,0,2,1,1,11.2,47,8,4,3,0,4,0,0,0,0,10,"Orlando Ribalta",26247,687377
"Kyle Backhus","PHI",0,0,4.655173638488148,10,1,0,0,0,0,0,0,9.2,41,11,6,5,2,1,0,0,0,0,10,"Kyle Backhus",29615,679775
"Bryce Miller","SEA",0,0,1.6363637782325553,2,2,0,0,0,0,0,0,11,44,9,2,2,1,2,1,0,0,0,10,"Bryce Miller",29837,682243
"Riley Martin","CHC",0,0,2.160000082397464,8,1,0,0,0,0,0,0,8.1,31,5,2,2,1,2,0,0,0,0,10,"Riley Martin",29934,702303
"Blade Tidwell","SFG",0,0,3,8,0,0,0,0,1,1,0,12,47,10,4,4,1,3,0,1,0,0,10,"Blade Tidwell",31701,694918
"Seth Halvorsen","COL",0,0,3.8571429885163644,10,0,0,0,0,0,2,0,9.1,45,9,4,4,0,8,1,0,1,0,10,"Seth Halvorsen",33294,678020
"Kirby Yates","LAA",0,0,4.263158750666317,7,0,0,0,0,1,0,1,6.1,28,4,3,3,1,3,0,1,0,1,9,"Kirby Yates",9073,489446
"Joel Payamps","ATL",0,2,8.217393007981883,12,0,0,0,0,0,2,1,7.2,36,9,9,7,2,4,0,0,0,0,9,"Joel Payamps",14332,606303
"Kolby Allard","CLE",0,0,10.384616146426286,4,0,0,0,0,0,0,0,8.2,45,16,10,10,2,3,1,1,0,0,9,"Kolby Allard",18694,663465
"Cionel Pérez","WSN",2,3,6.187500368803762,16,0,0,0,0,0,4,0,16,73,16,12,11,2,11,0,0,2,0,9,"Cionel Perez",19614,672335
