Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Ted Williams,1014040,124341,OF,BOS,4.281006518314113,,3.85,37.822336895457624,-8.246913433074951,0.454201067565009,,,,,165.19678232119423,0.4818578020024758,,,,,1.098629662,0.646706586,0.451923076,0.317365269,0.329341317,0.27368421,89,416,334,82,97,28,53,216,106,53,24,1,3,82,,21,0.050480769,0.197115384,,,,,,,,,-4.0,,,,,,,,0.0
Tommy Glaviano,1004761,114848,3B,STL,4.079125555763138,,4.14,22.230931305677313,3.524691343307495,1.0153213588055223,,,,,132.24516150450776,0.4042857361169671,,,,,0.867290079,0.446341463,0.420948616,0.285365853,0.16097561,0.326153846,115,510,410,92,44,11,42,183,117,75,29,2,6,90,,74,0.145098039,0.176470588,,,,,,,,,2.0,,,,,,,,0.0
Wes Westrum,1013812,124121,C,NYG,3.922970489473371,,4.25,9.72781413381984,13.580246925354004,0.2293612449429929,,,,,113.83950162877186,0.3734807923239727,,,,,0.808069054,0.437070938,0.370998116,0.23569794,0.201372998,0.234604105,140,532,437,68,71,23,39,191,103,64,13,3,2,92,,73,0.137218045,0.17293233,,,,,,,,,5.0,,,,,,,,0.0
Eddie Yost,1014357,124682,3B,WAS,3.911322421034517,,4.16,23.719664158385527,-9.086419701576231,-1.7382166099268943,,,,,125.2768488409467,0.4032453457899701,,,,,0.845329774,0.404886561,0.440443213,0.294938917,0.109947644,0.316633266,155,731,573,114,58,11,39,232,169,130,26,2,6,141,,63,0.08618331,0.192886456,,,,,,,,,-11.0,,,,,,,,0.0
Bobby Doerr,1003355,113419,2B,BOS,3.892555945088618,,3.6,11.875523243987333,4.5987653732299805,-1.3447711782064289,,,,,114.47257000358636,0.3963185718300145,,,,,0.885743808,0.518771331,0.366972477,0.293515358,0.225255973,0.280464216,149,663,586,103,120,27,67,304,172,105,29,11,3,67,,42,0.063348416,0.101055806,,,,,,,,,0.0,,,,,,,,0.0
Pee Wee Reese,1010776,121010,SS,BRO,3.590123181167673,,4.15,3.2246499656140792,13.358024597167969,3.1915615641046315,,,,,100.04051830669408,0.3533597300561626,,,,,0.749595692,0.380414312,0.36918138,0.259887005,0.120527307,0.277292576,141,633,531,97,52,11,37,202,138,101,21,5,17,91,,62,0.097946287,0.143759873,,,,,,,,,5.0,,,,,,,,0.0
Johnny Pesky,1010219,120450,3B,BOS,3.558463669031289,,3.26,11.097795564254742,3.925925970077514,-0.2911213028710335,,,,,113.66296979779112,0.3949532952650958,,,,,0.825150761,0.387755102,0.437395659,0.312244897,0.075510205,0.331877729,127,605,490,112,49,1,29,190,153,124,22,6,2,104,,31,0.051239669,0.171900826,,,,,,,,,2.0,,,,,,,,0.0
Luke Easter,1003640,113708,1B,CLE,3.416419153891399,,3.1,17.36646320457777,-4.543210029602051,-1.5117680041585118,,,,,121.9933463850583,0.3899364270510212,,,,,0.859617682,0.487037037,0.372580645,0.279629629,0.207407408,0.294964028,141,623,540,96,107,28,52,263,151,99,20,4,0,70,,95,0.152487961,0.11235955,,,,,,,,,4.0,,,,,,,,0.0
Willie Jones,1006601,116741,3B,PHI,3.299451125039241,,3.85,7.246149242309318,4.938271641731262,0.8185613323003054,,,,,107.34848042647523,0.3587620577578728,,,,,0.792532956,0.455737704,0.336795252,0.267213114,0.18852459,0.253211009,157,678,610,100,88,25,59,278,163,104,28,6,5,61,,40,0.05899705,0.089970501,,,,,,,,,3.0,,,,,,,,0.0
Richie Ashburn,1000335,110349,OF,PHI,3.2953238036445467,,3.93,9.269928395663914,3.092592656612396,2.579681641422212,,,,,107.74009950123796,0.3593804338814094,,,,,0.774132319,0.402356902,0.371775417,0.303030303,0.099326599,0.317857142,151,670,594,84,41,2,41,239,180,139,25,14,14,63,,32,0.047761194,0.09402985,,,,,,,,,4.0,,,,,,,,0.0
