Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Chase%,Whiff%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Tom Glavine,90,114849,P,ATL,0.0252810715212907,,-0.03,-3.1968567031102992,2.647825241088867,-0.0133739493321627,,,,,-1.4469329109901528,0.1780438423156738,,,,,0.332535884,0.105263157,0.227272727,0.105263157,0.0,0.142857142,14,25,19,2,1,0,0,2,2,2,0,0,0,3,0,5,0.2,0.12,0.11538462,,0.17647058999999998,,-0.3662541210651397,-0.0498857913789363,0.0,0.0,2.0,2.2899999618530273,,0.28571429,0.41791045,1.0,0.78571429,0.56302521,,,63.1
Jack Cassel,3052,445222,P,HOU,0.0251854525668385,,-0.02,-0.989508620227225,0.9532170295715332,-0.005349579732865,,,,,12.883743409385335,0.1991232103771633,,,,,0.444444444,0.222222222,0.222222222,0.222222222,0.0,0.4,9,9,9,0,1,0,0,2,2,2,0,0,0,0,0,4,0.444444444,0.0,0.33333333,,0.53846154,,-0.0213699825108051,0.0458361575309842,0.0,0.0,1.0,-0.0799999982118606,,0.40625,0.45,0.0,0.66666667,0.625,,,30.1
Brian Bannister,5718,446454,P,KCR,0.0242619840474908,,0.03,-0.4589968616108784,0.5295650362968445,-0.0026747898664325,,,,,25.91466673062457,0.2240136116743087,,,,,0.5,0.25,0.25,0.25,0.0,0.25,32,5,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.5,,0.0,,-0.0540359877049922,-0.0077046626280547,0.0,0.0,3.0,-0.050000000745058,,0.46153846,0.44444444,1.0,1.0,0.69230769,,,182.2
Garrett Olson,9889,457796,P,BAL,0.0240333417735794,,0.09,-0.4612906346063503,0.5295650362968445,-0.0026747898664325,,,,,25.54226542168898,0.2240136116743087,,,,,0.583333333,0.333333333,0.25,0.333333333,0.0,0.25,26,5,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.5,,0.0,,-0.0795159041881561,-0.0698305481577501,0.0,0.0,-3.0,0.1800000071525573,,0.5,0.5,1.0,1.0,0.6,,,132.2
Michael Bourn,6387,456422,CF,HOU,0.0229485399832587,,-0.59,-20.476229601429843,4.20386803150177,6.737636284669861,,,,,57.82029385813578,0.2674539326680952,,,,,0.587754308,0.299785867,0.287968441,0.229122055,0.070663812,0.289772727,138,514,467,57,29,5,19,140,107,88,10,4,41,37,0,111,0.215953307,0.071984435,0.24715262,,0.19447930000000002,,-2.4507243633270264,-0.4886211306830046,0.0,0.0,2.0,0.0,,0.41749607,0.56256062,0.60368664,0.88103448,0.54007334,,,1009.0
Chris Young,3196,432934,P,SDP,0.0225308271719217,,-0.03,-4.74265859221025,3.812868118286133,-0.005349579732865,,,,,-4.834841346553776,0.1629381358623504,,,,,0.383333333,0.25,0.133333333,0.107142857,0.142857143,0.117647058,18,36,28,3,2,1,2,7,3,1,1,0,0,1,0,11,0.305555555,0.027777777,0.27272727,,0.28571429000000004,,-0.6420079469680786,-0.3924504782453212,0.0,0.0,-2.0,-0.5299999713897705,,0.44680851,0.54098361,0.44444444,0.78787879,0.64893617,,,102.1
R.A. Dickey,1245,285079,P,SEA,0.0222408393105262,,-0.01,-0.3387939451887012,0.4236520230770111,-0.0026747898664325,,,,,31.787488535573093,0.2240136116743087,,,,,0.5,0.25,0.25,0.25,0.0,0.25,32,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,1.0,,0.0,,-0.0476839989423751,-0.0735146473312771,0.0,0.0,4.0,-1.0299999713897705,,0.75,0.66666667,1.0,1.0,0.75,,,112.1
Tadahito Iguchi,8581,435338,2B,- - -,0.0202846683310399,,0.05,-13.576323920058956,2.960034675896168,0.5637502409517765,,,,,66.57293738110556,0.2718147309053512,,,,,0.598118278,0.306451612,0.291666666,0.232258064,0.074193548,0.300429184,85,337,310,29,24,2,18,95,72,54,15,1,8,26,0,75,0.222551928,0.077151335,0.20848057,,0.21477663000000002,,-1.7478701211512089,-0.1776784892009941,0.0,0.0,3.0,0.0,,0.46044304,0.66475645,0.57627119,0.83836207,0.55221519,,,672.1
Brad Penny,535,207267,P,LAD,0.0202072004515904,,0.02,-4.21389284061571,3.389216184616089,-0.0133739493321627,,,,,-4.575365820278895,0.1723181628263913,,,,,0.384615384,0.192307692,0.192307692,0.192307692,0.0,0.263157894,19,32,26,2,2,0,0,5,5,5,0,0,0,0,0,7,0.21875,0.0,0.61111111,,0.27586206999999996,,-0.3530600368976593,-0.0421319423061345,0.0,0.0,-2.0,2.2200000286102295,,0.68235294,0.73469388,0.5,0.86111111,0.57647059,,,94.2
Eric Stults,8011,445590,P,LAD,0.0198503618665183,,0.04,-2.2852038294685366,1.9064340591430664,-0.0106991594657301,,,,,-0.6678414237720767,0.1782599621348911,,,,,0.355555555,0.133333333,0.222222222,0.133333333,0.0,0.2,9,18,15,3,2,0,0,2,2,2,0,0,0,2,0,6,0.333333333,0.111111111,0.27272727,,0.34615385,,0.0367219112813472,0.1178012532143159,0.0,0.0,0.0,0.8199999928474426,,0.45614035,0.57142857,0.33333333,0.75,0.61403509,,,38.2
Conor Gillaspie,9009,543216,3B,SFG,0.0197406308912025,,0.01,-0.0335611603332141,0.006858707871288,-0.0080243695992976,,,,,97.0936714635308,0.3303749816758292,,,,,0.628571428,0.2,0.428571428,0.2,0.0,0.2,8,7,5,1,0,0,0,1,1,1,0,0,0,2,0,0,0.0,0.285714285,0.29411765,,0.25,,-0.0268920008093118,-0.1041589492954223,0.0,0.0,0.0,0.0,,0.46153846,0.77777778,0.6,0.85714286,0.34615385,,,4.0
Gil Meche,1089,219194,P,KCR,0.0193562622705635,,0.02,-0.3677324472619892,0.4236520230770111,-0.0026747898664325,,,,,25.914666730624575,0.2240136116743087,,,,,0.5,0.25,0.25,0.25,0.0,0.333333333,34,4,4,1,1,0,0,1,1,1,0,0,0,0,0,1,0.25,0.0,0.42857143,,0.16666667000000002,,0.0463319011032581,0.0942193834037423,0.0,0.0,0.0,0.209999993443489,,0.46153846,0.5,0.66666667,1.0,0.46153846,,,210.1
Kason Gabbard,3418,451257,P,TEX,0.0187826651146614,,0.0,-0.3734868584825397,0.4236520230770111,-0.0026747898664325,,,,,24.746858127224744,0.2240136116743087,,,,,0.5,0.25,0.25,0.25,0.0,0.333333333,12,4,4,0,0,0,0,1,1,1,0,0,0,0,0,1,0.25,0.0,0.16666667,,0.0,,-0.0501459799706935,-0.0162229988465906,0.0,0.0,-3.0,-1.1399999856948853,,0.27272727,0.4,1.0,1.0,0.45454545,,,56.0
Josh Banks,5570,457468,P,SDP,0.0187447147383081,,-0.04,-3.538468637342603,2.8596510887145996,-0.0133739493321627,,,,,-4.012001011771493,0.164189350605011,,,,,0.330434782,0.130434782,0.2,0.130434782,0.0,0.176470588,20,27,23,3,0,0,0,3,3,3,0,0,0,2,0,6,0.222222222,0.074074074,0.30232558,,0.17777778,,-0.5712361335754395,-0.1779748377559408,0.0,0.0,1.0,-0.6600000262260437,,0.42857143,0.51612903,0.61538462,0.90625,0.59047619,,,85.1
Jon Garland,232,279782,P,LAA,0.0184590344515241,,0.01,-0.2362542306453681,0.3177390098571777,-0.0026747898664325,,,,,36.79606361931943,0.2360950708389282,,,,,0.333333333,0.0,0.333333333,0.0,0.0,0.0,32,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.333333333,0.0,,0.0,,0.0083200298249721,0.0226128920315359,0.0,0.0,3.0,-0.4199999868869781,,0.2,0.4,,1.0,0.5,,,196.2
Jonathan Broxton,4759,455009,P,LAD,0.0174961658800337,,-0.01,-0.2385334824592567,0.3177390098571777,-0.0026747898664325,,,,,37.36644524632258,0.2360950708389282,,,,,0.333333333,0.0,0.333333333,0.0,0.0,0.0,70,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.333333333,0.0,,0.0,,-0.0545339882373809,-0.0351475154943989,0.0,0.0,-4.0,1.309999942779541,,0.15384615,0.25,,1.0,0.61538462,,,69.0
John Maine,4773,429720,P,NYM,0.0168029708257129,,0.08,-7.698524474845261,6.037041187286377,-0.029422688530758,,,,,-7.187977094559368,0.1678842982420554,,,,,0.320234113,0.108695652,0.211538461,0.108695652,0.0,0.217391304,26,57,46,3,3,0,0,5,5,5,0,0,0,6,0,23,0.403508771,0.105263157,0.24742268,,0.38157895,,-0.524709939956665,-0.0426621348948061,0.0,0.0,1.0,0.9399999976158142,,0.35514019,0.44444444,0.41666667,0.71153846,0.54672897,,,140.0
Edwin Bellorin,7242,431143,C,COL,0.013510363170709,,0.02,-0.0222209610554504,0.0614403281360864,0.0973252116236835,,,,,68.25386561004399,0.298684815565745,,,,,0.666666666,0.333333333,0.333333333,0.333333333,0.0,0.333333333,3,3,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.75,,0.0,,-0.0143319834023714,-0.0803294843717522,0.0,0.0,0.0,0.0099999997764825,,0.75,0.75,1.0,1.0,0.5,,,6.0
Joe Koshansky,7547,459423,1B,COL,0.0131754112625384,,0.11,-1.361135010359205,0.2090648412704467,-0.7106991475448012,,,,,87.04549222476457,0.3272594481706619,,,,,0.776315789,0.526315789,0.25,0.210526315,0.315789474,0.277777777,18,40,38,5,8,3,6,20,8,2,3,0,0,1,0,17,0.425,0.025,0.3125,,0.275,,0.1007600054144859,0.0046337874073096,0.0,0.0,1.0,0.0,,0.47337278,0.61797753,0.48,0.83636364,0.52662722,,,74.1
Terry Tiffee,2160,430584,LF,LAD,0.0131409199077767,,0.02,-0.0235553018592549,-0.0051440321840345,-0.005349579732865,,,,,97.09922306166088,0.326925003528595,,,,,0.65,0.25,0.4,0.25,0.0,0.25,6,5,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.4,,0.22222222000000003,,0.039243996143341,0.0596380351083634,0.0,0.0,0.0,0.0,,0.47368421,0.55555556,0.5,1.0,0.47368421,,,1.0
Jason Repko,2628,434705,LF,LAD,0.0125966563622714,,0.05,-1.4925508053292285,0.9767984002828598,0.2893008450046181,,,,,29.02294483367861,0.223407906293869,,,,,0.472222222,0.222222222,0.25,0.166666666,0.055555556,0.333333333,22,20,18,0,0,0,1,4,3,2,1,0,1,2,0,9,0.45,0.1,0.35135135,,0.3255814,,-0.2757660150527954,-0.0653818892302909,0.0,0.0,2.0,0.0,,0.5308642,0.68181818,0.38461538,0.8,0.54320988,,,42.0
Chris Shelton,1891,430828,1B,TEX,0.0095401287373556,,0.38,-2.67044310864729,-1.2781089544296265,0.2170815186109393,,,,,79.96586468197509,0.3064180361597161,,,,,0.66323024,0.329896907,0.333333333,0.216494845,0.113402062,0.306451612,41,117,97,14,11,2,7,32,21,14,5,0,1,17,0,33,0.282051282,0.145299145,0.23144105,,0.27411167999999997,,-0.7137320637702942,-0.3926375516828385,0.0,0.0,4.0,0.0,,0.3979798,0.54135338,0.45283019,0.82638889,0.53737374,,,248.1
Luis Valbuena,4969,472528,2B,SEA,0.0076888444693416,,-0.24,-1.730838909273924,-0.0586070269346237,-0.5320974783971906,,,,,81.97967897598852,0.2989164182433375,,,,,0.661753589,0.346938775,0.314814814,0.244897959,0.102040816,0.315789473,18,54,49,6,1,0,5,17,12,7,5,0,0,4,0,11,0.203703703,0.074074074,0.23809524,,0.19999999999999996,,-0.4756997525691986,-0.2527071367319795,0.0,0.0,-4.0,0.0,,0.42792793,0.5982906,0.68,0.84285714,0.52702703,,,127.0
Hector Luna,1874,425659,,TOR,0.0075562705381466,,0.01,0.0412392947543476,0.0,-0.4249413327779621,,,,,478.4295050908646,0.8960544466972351,,,,,2.0,1.0,1.0,1.0,0.0,1.0,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,,,0.0,,0.0264480002224445,0.0200372473835531,,,,,,1.0,1.0,,1.0,1.0,,,
Mike Mussina,837,119608,P,NYY,0.0071542464687017,,-0.01,-0.6306242068106606,0.5295650362968445,-0.0026747898664325,,,,,-1.9495762122081817,0.179210889339447,,,,,0.4,0.2,0.2,0.2,0.0,0.2,34,5,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.33333333,,0.14285714000000005,,-0.0811619088053703,-0.019602367566099,0.0,0.0,2.0,9.289999961853027,,0.46666667,0.66666667,0.66666667,1.0,0.4,,,200.1
Dirk Hayhurst,6010,460602,P,SDP,0.0069477662852933,,0.0,-0.4823757912528086,0.4236520230770111,-0.0026747898664325,,,,,4.459598439743118,0.1770713031291961,,,,,0.25,0.0,0.25,0.0,0.0,0.0,10,4,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0.75,0.25,0.28571429,,0.83333333,,-0.0439860001206398,-0.0202726810432493,0.0,0.0,-2.0,-0.3199999928474426,,0.375,0.44444444,0.0,0.25,0.5625,,,16.2
Joba Chamberlain,2692,501955,P,NYY,0.0062739819833517,,0.02,-0.6394551498853065,0.5295650362968445,-0.0026747898664325,,,,,-3.38330778312906,0.1770713031291961,,,,,0.25,0.0,0.25,0.0,0.0,0.0,42,5,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0.2,0.2,0.4,,0.22222222000000003,,-0.0616720505058765,-0.0276955749736167,0.0,0.0,0.0,1.190000057220459,,0.45,0.5,0.75,0.8,0.5,,,100.1
Ryan Dempster,517,133225,P,CHC,0.0060671078339483,,-0.05,-11.256708850995109,8.684866905212402,-0.0267478986643254,,,,,-9.104037498853945,0.176253390690637,,,,,0.387197501,0.196721311,0.19047619,0.163934426,0.032786885,0.238095238,33,82,61,4,2,0,2,12,10,8,2,0,0,2,0,19,0.231707317,0.024390243,0.42222222,,0.21008402999999998,,-1.180522322654724,-0.1738353639552816,0.0,0.0,5.0,-0.9800000190734864,,0.54587156,0.6328125,0.60526316,0.87654321,0.58715596,,,206.2
Denny Bautista,1947,429714,P,- - -,0.005203614973524,,0.01,-0.6378925834590866,0.5295650362968445,-0.0026747898664325,,,,,-1.211317721107693,0.179210889339447,,,,,0.4,0.2,0.2,0.2,0.0,0.5,51,5,5,0,1,0,0,1,1,1,0,0,0,0,0,3,0.6,0.0,0.5,,0.625,,-0.0038679996505379,0.0465722661886692,0.0,0.0,-1.0,-3.7899999916553497,,0.57142857,0.625,0.33333333,0.4,0.57142857,,,60.1
Kila Ka'aihue,4707,451500,1B,KCR,0.0049401153463902,,-0.03,0.5736513953736075,-1.3536832332611084,0.0786016825586557,,,,,116.7443517554928,0.3595605616768201,,,,,0.803571428,0.428571428,0.375,0.285714285,0.142857143,0.277777777,12,24,21,4,1,1,1,9,6,5,0,0,0,3,0,2,0.083333333,0.125,0.3255814,,0.13725489999999996,,-0.1507439613342285,-0.2832230892130639,0.0,0.0,-1.0,0.0,,0.51,0.64912281,0.85714286,0.86486486,0.57,,,15.0
Josh Geer,4781,446207,P,SDP,0.0038129249309377,,0.02,-1.341940206890018,1.059130072593689,-0.005349579732865,,,,,-6.481666597493787,0.1604339659214019,,,,,0.311111111,0.111111111,0.2,0.111111111,0.0,0.2,5,10,9,1,1,0,0,1,1,1,0,0,0,1,0,4,0.4,0.1,0.1,,0.07142857000000002,,0.0568219982087612,0.1912780260607677,0.0,0.0,1.0,-0.4699999988079071,,0.5,0.72222222,1.0,0.92307692,0.64285714,,,27.0
Eric Chavez,906,136767,3B,OAK,0.0011552071818752,,0.19,-2.3280839108623255,-0.944127768278122,-0.4508210134226829,,,,,83.95896970204933,0.3027728626602574,,,,,0.687995268,0.393258426,0.294736842,0.247191011,0.146067415,0.289855072,23,95,89,10,14,2,9,35,22,13,7,0,0,6,0,18,0.189473684,0.063157894,0.37244898,,0.19999999999999996,,0.8711881041526794,0.909478540929186,0.0,0.0,0.0,0.0,,0.4691689,0.57627119,0.73972603,0.84313725,0.47453083,,,130.0
Nelson Figueroa,683,150153,P,NYM,0.001065222863827,,0.14,-2.0596015153801264,1.588695049285889,-0.0080243695992976,,,,,-8.96148713372986,0.1651874908379146,,,,,0.297619047,0.083333333,0.214285714,0.083333333,0.0,0.166666666,16,15,12,0,0,0,0,1,1,1,0,0,0,2,0,6,0.4,0.133333333,0.25,,0.18181818000000005,,-0.0772838965058326,0.0394659109851974,0.0,0.0,0.0,0.050000000745058,,0.32835821,0.4,0.875,0.78571429,0.52238806,,,45.1
Scott Moore,4390,445599,3B,BAL,0.0007738671387989,,0.0,-0.2367355334667901,-0.066597843542695,-0.0026747898664325,,,,,78.88860951917323,0.3036234246359931,,,,,0.722222222,0.5,0.222222222,0.125,0.375,0.0,4,9,8,1,1,1,1,4,1,0,0,0,0,1,0,3,0.333333333,0.111111111,0.38461538,,0.41666667,,-0.0527359992265701,-0.0178013932686774,0.0,0.0,0.0,0.0,,0.44444444,0.5,0.2,0.85714286,0.51851852,,,15.0
Matt Macri,7548,459425,3B,MIN,0.0003993415440355,,-0.07,0.6949780934087222,-1.9353595450520515,-0.051689225481823,,,,,116.83663937606391,0.3545795794990327,,,,,0.802287581,0.44117647,0.361111111,0.323529411,0.117647059,0.434782608,18,36,34,3,4,1,2,15,11,9,1,0,1,2,0,10,0.277777777,0.055555555,0.23880597,,0.21052632000000004,,-0.1058639958500862,-0.0865826741191787,0.0,0.0,-2.0,0.0,,0.53900709,0.81081081,0.5625,0.85,0.5248227,,,77.1
Scott Patterson,5,456499,P,- - -,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,-0.0700000021606683,,,,,,,,,4.2
Troy Percival,29,120401,P,TBR,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,-1.0,-0.8899999856948853,,,,,,,,,45.2
Scot Shields,35,276912,P,LAA,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,-1.0,0.0599999986588954,,,,,,,,,63.1
Matt Wise,42,277184,P,NYM,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0299999993294477,,,,,,,,,7.0
Horacio Ramirez,110,400141,P,- - -,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,3.0,-0.069999998435378,,,,,,,,,37.1
Dan Wheeler,120,235095,P,TBR,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,-0.9100000262260436,,,,,,,,,66.1
Rick Bauer,125,407400,P,CLE,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,-0.0099999997764825,,,,,,,,,6.0
Jorge Julio,148,406402,P,- - -,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,1.0,0.1999999955296516,,,,,,,,,30.0
John Parrish,160,332292,P,TOR,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,1.0,0.2899999916553497,,,,,,,,,42.1
B.J. Ryan,168,124805,P,TOR,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,1.0,0.25,,,,,,,,,58.0
Rafael Betancourt,177,429783,P,CLE,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,-2.0,-0.1000000014901161,,,,,,,,,71.0
Casey Fossum,188,407154,P,DET,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,2.0,-0.3700000047683716,,,,,,,,,41.1
Darren Oliver,206,119984,P,LAA,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0599999986588954,,,,,,,,,72.0
Keith Foulke,231,114342,P,OAK,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0799999982118606,,,,,,,,,31.0
Matt Ginter,233,215197,P,CLE,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,-0.0099999997764825,,,,,,,,,21.0
Gary Glover,234,150474,P,- - -,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,-1.0,-0.7800000160932541,,,,,,,,,54.1
Damaso Marte,247,150122,P,- - -,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,2.0,-1.6300000548362732,,,,,,,,,65.0
Joe Borowski,267,111244,P,CLE,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,-2.0,-0.0299999993294477,,,,,,,,,16.2
Juan Cruz,273,407297,P,ARI,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,1.0,0.2800000011920929,,,,,,,,,51.2
Kyle Farnsworth,278,150035,P,- - -,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,-1.0,0.8299999833106995,,,,,,,,,60.1
Tom Gordon,282,114971,P,PHI,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.270000010728836,,,,,,,,,29.2
Ron Mahay,290,118158,P,KCR,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,-1.0,-0.0199999995529651,,,,,,,,,64.2
Kerry Wood,304,134268,P,CHC,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,-1.0,-0.2599999904632568,,,,,,,,,66.1
Elmer Dessens,317,113296,P,ATL,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0900000035762786,,,,,,,,,4.0
Ricardo Rincon,401,121215,P,NYM,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0199999995529651,,,,,,,,,4.0
Billy Traber,410,407896,P,NYY,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,1.0,0.1500000059604644,,,,,,,,,16.2
Jake Westbrook,412,150414,P,CLE,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,3.0,-0.1599999964237213,,,,,,,,,34.2
Scott Elarton,426,134003,P,CLE,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,1.0,-0.0299999993294477,,,,,,,,,15.1
Brian Fuentes,429,150118,P,COL,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,-0.8299999833106995,,,,,,,,,62.2
Jason Jennings,434,407298,P,TEX,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,-1.0,-0.6399999856948853,,,,,,,,,27.1
Todd Jones,436,116734,P,DET,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,1.0,-0.3199999928474426,,,,,,,,,41.2
Kent Mercker,439,118967,P,CIN,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.3100000023841858,,,,,,,,,13.2
