Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Chase%,Whiff%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Ryan Ludwick,1260,407886,RF,STL,5.349221629167902,,5.48,42.17904170252207,-8.324384689331055,2.6150650354102254,,,,,151.08474167709085,0.4083469558695595,,,,,0.966078066,0.591078066,0.375,0.299256505,0.291821561,0.341597796,152,617,538,104,113,37,80,318,161,81,40,3,4,62,3,146,0.236628849,0.100486223,0.2569511,,0.24360190000000004,,2.557987689971924,-2.501015384605278,0.0,0.0,4.0,0.0,,0.46069869,0.63111468,0.53358209,0.83227446,0.54454148,,,1195.3
Randy Winn,1235,133160,RF,SFG,5.148942972596218,,4.04,15.519846809525625,14.720275402069092,9.657956073526291,,,,,107.00145519120976,0.3454408025199716,,,,,0.789784767,0.426421404,0.363363363,0.306020066,0.120401338,0.339882121,155,667,598,84,64,10,50,255,183,133,38,2,25,59,6,88,0.131934032,0.088455772,0.23857868,,0.18069088,,1.6825478076934814,0.0663145846753217,0.0,0.0,11.0,0.0,,0.45505844,0.65204003,0.67021277,0.86894923,0.5235792,,,1286.3
Jayson Werth,1327,150029,RF,PHI,5.114549227986591,,3.73,21.464468441247536,14.370256900787354,6.627336139557883,,,,,124.52332533124626,0.3736658570920108,,,,,0.860678194,0.497607655,0.363070539,0.272727272,0.224880383,0.323741007,134,482,418,73,67,24,43,208,114,71,16,3,20,57,1,119,0.246887966,0.118257261,0.25793245,,0.21859903000000003,,1.9479323625564575,-0.8496107271810929,0.0,0.0,7.0,0.0,,0.38782201,0.49740933,0.71031746,0.8125,0.54238876,,,965.3
Jimmy Rollins,971,276519,SS,PHI,4.9670461717702885,,5.45,10.955808318726126,18.807958602905273,8.126632487401366,,,,,103.6062543189615,0.3418592641024086,,,,,0.785924957,0.437050359,0.348874598,0.276978417,0.160071942,0.290060851,137,625,556,76,59,11,58,243,154,96,38,9,47,58,7,55,0.088,0.0928,0.23445826,,0.08842795000000003,,0.5594815015792847,-0.4035133158727081,0.0,0.0,18.0,0.0,,0.39347079,0.54242928,0.81439394,0.95092025,0.51632302,,,1168.0
Ian Kinsler,6195,435079,2B,TEX,4.820271775114133,,4.67,31.21318353631105,-3.0076740980148315,7.748898884281516,,,,,132.67153440629562,0.385071757980015,,,,,0.892374517,0.517374517,0.375,0.318532818,0.198841699,0.334090909,121,583,518,102,71,18,63,268,165,102,41,4,26,45,1,67,0.114922813,0.077186963,0.24279835,,0.12242797999999999,,1.9398820400238037,-0.3303466239951969,0.0,0.0,-9.0,0.0,,0.45314685,0.62745098,0.75,0.91847826,0.54685315,,,1064.0
Troy Glaus,15,136267,3B,STL,4.809429567892739,,4.42,19.05492603516877,8.7423335313797,-3.285005046753213,,,,,127.93951257290144,0.3731522155860997,,,,,0.855512396,0.483455882,0.372056514,0.270220588,0.213235294,0.288461538,151,637,544,69,99,27,61,263,147,86,33,1,0,87,3,104,0.163265306,0.136577708,0.18356643,,0.21721311,,2.5799753665924072,0.722957465810798,0.0,0.0,7.0,0.0,,0.39165329,0.56824926,0.62857143,0.82506527,0.54093098,,,1271.3
B.J. Upton,5015,425834,CF,TBR,4.780692736519023,,3.34,15.994845309578924,9.843320846557615,3.630175933241844,,,,,115.6831501982268,0.3511180328720177,,,,,0.784175468,0.401129943,0.383045525,0.273069679,0.128060264,0.344303797,145,640,531,85,67,9,48,213,145,97,37,2,44,97,4,134,0.209375,0.1515625,0.16038563,,0.19524792999999996,,0.9955459833145142,0.4625687068640507,0.0,0.0,-3.0,0.0,,0.39802632,0.60805577,0.66666667,0.83694268,0.53083882,,,1248.2
Brian Roberts,166,406878,2B,BAL,4.772617581856273,,5.23,22.33591653222277,1.208993673324585,5.75842545600608,,,,,119.1151148298556,0.3636542405815726,,,,,0.828113216,0.450081833,0.378031383,0.296235679,0.153846154,0.341269841,155,704,611,107,57,9,68,275,181,113,51,8,40,82,3,104,0.147727272,0.116477272,0.18556701,,0.12626727999999998,,2.130887746810913,0.2793508069628552,0.0,0.0,0.0,0.0,,0.40636704,0.60397445,0.77350427,0.9012926,0.52771536,,,1320.0
Carlos Quentin,6274,435041,LF,CHW,4.731078634669149,,5.3,36.76173391731418,-8.967094659805298,0.4025592713151127,,,,,151.8719431751981,0.4146415649901794,,,,,0.964506443,0.570833333,0.39367311,0.2875,0.283333333,0.277929155,130,569,480,96,100,36,63,274,138,75,26,1,7,66,0,80,0.140597539,0.11599297,0.26355852,,0.20824741999999996,,3.85532546043396,0.2152838259148168,0.0,0.0,-1.0,0.0,,0.48403194,0.72717733,0.62815884,0.85714286,0.4755489,,,1147.0
Ryan Braun,3410,460075,LF,MIL,4.537533763879644,,4.55,28.151470724804582,-3.91667103767395,4.249837238108739,,,,,128.72039990125813,0.3763472859342109,,,,,0.888033117,0.553191489,0.334841628,0.28477905,0.268412439,0.305122494,151,663,611,92,106,37,83,338,174,91,39,7,14,42,4,129,0.194570135,0.063348416,0.36818588,,0.19846677999999995,,3.5942139625549316,0.8315927912993577,0.0,0.0,7.0,0.0,,0.51087903,0.64631043,0.64320388,0.88713911,0.51305483,,,1310.1
