Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,Pace,Year,bWAR
Angel Zerpa,KCR,2,0,0,60,0,53.2,8.217393446059326,3.186336234186269,1.0062114423746114,0.3251533742331288,0.78212291,0.584337349,0.142857142,96.00045955882354,3.85714386243601,4.391842611369698,3.967722223143652,3.6976169302858017,0.1956883668899536,Angel Zerpa,22717,672582,2.57894737,0.20502092,0.07949791,0.12552301,0.2706422018348624,1.4534165278744384,93.10325869703362,97.15831458153758,90.14225350698756,-0.1105783607076422,3.5560885948058827,0,0,0,12,1,239,59,24,23,6,19,2,2,3,0,49,-0.6183097958564758,-4.474760055541992,3.856450080871582,-3.3339998722076416,-0.3764169812202453,0.9825893640518188,0.9520025253295898,1.214169979095459,0.9970806837081908,57,0.0687639340758323,-0.69802964616008,15,12,169,90.3145478219697,105.4,112.3,2.7349397590361444,12.0,0.07100592,74.0,0.43786982,0.18858561,0.59459459,0.42379958,0.61842105,0.91212121,0.14285714000000005,0.57933194,18.57122905,2024,0.48
Gregory Santos,SEA,0,1,0,8,0,7.1,7.36363859807232,1.22727309967872,0.0,0.3043478260869565,0.55555556,0.565217391,0.0,,4.90909239871488,2.973335599307836,2.348297711837315,3.379212847084088,0.1935652643442154,Gregory Santos,21894,666619,6.0,0.19354839,0.03225806,0.16129032,0.2413793103448276,1.09090942193664,130.56021167014526,59.07284640124152,82.22113376896674,2.560794686877565,3.0285646679562976,0,0,0,2,1,31,7,4,4,0,1,0,1,0,1,6,0.0117439720779657,-0.5817800760269165,0.5935240387916565,0.8479999303817749,0.0835050493478775,1.1541937589645386,1.0543925762176514,1.09232497215271,1.5536857843399048,7,-0.0070285210385918,0.0172035648618244,3,1,23,85.67825980808423,103.3,105.6,6.434782608695652,1.0,0.04347826,8.0,0.34782609,0.26415094,0.76271186,0.52678571,0.57142857,0.88888889,0.18644068000000003,0.52678571,19.2125,2024,-0.09
Caleb Thielbar,MIN,2,4,3,59,0,47.1,10.077468308115357,4.563381875372991,1.1408454688432477,0.3308270676691729,0.625,0.379562043,0.109090909,93.2335531655844,5.323945521268489,4.0941700724141015,4.096057567717627,4.2050814580924065,0.1930923759937286,Caleb Thielbar,10078,573204,2.20833333,0.24537037,0.11111111,0.13425926,0.2604166666666667,1.5633808276740802,131.3808816305606,100.06167498213436,102.76673761263824,1.2278879535508622,3.94885779422431,0,0,0,9,0,216,50,33,28,6,24,2,0,2,0,53,-0.9000616669654846,-3.795118808746338,2.895057201385498,-10.303999900817873,-1.0844569206237793,0.873274028301239,0.7715575695037842,0.9147220253944396,1.0794585943222046,41,-0.6805076003074646,-0.3501673514214389,10,9,139,88.27372262773723,106.0,110.4,16.153284671532848,14.0,0.10071942,47.0,0.3381295,0.28125,0.65605096,0.48027057,0.65811966,0.80906149,0.23239436999999996,0.53100338,18.71791045,2024,-0.55
Tayler Scott,HOU,7,3,0,62,1,68.2,9.305826621316946,4.587379320367509,0.9174758640735018,0.2303030303030303,0.8490566,0.423529411,0.112903225,92.82086192255434,2.22815566989279,3.485813262038866,4.127644969223939,4.16761373027742,0.191615242511034,Tayler Scott,13652,605463,2.02857143,0.25177305,0.12411348,0.12765957,0.1851851851851851,1.1650487162838117,55.72005983564948,101.3129325374774,101.83463160649116,-1.8994892993311496,4.038375365583583,0,0,0,9,3,282,45,21,17,7,35,1,4,0,0,71,-0.1815159022808075,-4.616801738739014,4.435285896062851,8.577699780464172,0.9087503105401992,0.9447006472688636,0.8180997031075614,0.933238688976534,0.9193058621649648,51,0.430337518453598,-0.6224787039239068,12,10,172,88.02235179227941,101.4,113.2,13.488235294117649,6.0,0.03488372,61.0,0.35465116,0.3021148,0.61182994,0.44139651,0.575,0.82779456,0.26741996,0.44970906,17.39847162,2024,1.74
Gabe Speier,SEA,0,2,0,29,0,23.2,12.549299145899798,5.3239450921999145,0.7605635845999877,0.320754716981132,0.62111801,0.396226415,0.086956521,93.25717706549658,5.704226884499908,3.099221995301296,3.5045080381120117,3.8753332085660626,0.1911366879940033,Gabe Speier,17170,642100,2.35714286,0.31730769,0.13461538,0.18269231,0.2159090909090909,1.3943665717666442,151.707282928674,89.10677828138657,94.56340258742058,2.1997188463878965,3.4841125843962817,0,0,0,7,1,104,19,15,15,2,14,1,2,1,0,33,0.1964419037103653,-1.6043140888214111,1.8007559776306152,-2.6419999599456787,-0.2573141455650329,1.1569063663482666,0.9056344032287598,1.182062029838562,1.576269268989563,26,0.1315658688545227,0.0382334419837667,7,4,55,88.24339438384433,105.8,110.6,19.0377358490566,4.0,0.07272727,20.0,0.36363636,0.26635514,0.66826923,0.46445498,0.50877193,0.79136691,0.29081632999999996,0.492891,19.14779874,2024,-0.47
DL Hall,MIL,1,2,0,13,7,43.0,9.20930293832621,4.395349129655691,1.2558140370444832,0.3442622950819672,0.72755418,0.455284552,0.130434782,93.57830293299789,5.023256148177933,4.410766301043787,4.6781077858433395,4.481651649195441,0.1868221424520015,DL Hall,22207,669084,2.0952381,0.22335025,0.10659898,0.11675127,0.2790697674418604,1.6046512695568398,122.74350975074704,114.64093616579336,110.09183829766624,0.3451483623345934,4.356279137684753,1,0,0,1,0,197,48,26,24,6,21,0,4,1,0,44,-0.5901119410991669,-3.516709953546524,2.9265978932380676,-3.572199821472168,-0.4168065190315246,0.9254921019667446,0.8291608613470326,0.7062922991239108,1.129109106280587,11,-0.7487163245677948,0.1110966843297723,2,1,128,87.32926432291667,104.4,112.8,13.991869918699187,11.0,0.0859375,48.0,0.375,0.26700252,0.5974026,0.42966752,0.60377358,0.87826087,0.20833332999999998,0.49232737,17.28915663,2024,-0.18
Seth Halvorsen,COL,2,1,2,12,0,12.1,9.486487464542645,1.4594596099296373,1.4594596099296373,0.2142857142857142,0.97560976,0.466666666,0.142857142,100.06078125,1.4594596099296373,2.694182563333438,3.8962095832546138,3.504435301276725,0.1843945682048797,Seth Halvorsen,33294,678020,6.5,0.2826087,0.04347826,0.23913044,0.1860465116279069,0.8108108944053541,31.115154811103817,91.1767727428731,86.47669814063116,-2.4367499733249764,2.753858572042303,0,0,0,2,1,46,8,3,2,2,2,0,1,0,1,13,-0.1589960306882858,-1.4676140546798706,1.3086179494857788,4.081000328063965,0.349229633808136,1.364496111869812,1.3914400339126587,1.5543333292007446,1.798949956893921,4,0.272518515586853,-0.3890421387068988,4,1,30,92.363330078125,107.1,114.7,16.133333333333333,2.0,0.06666667,14.0,0.46666667,0.24358974,0.68,0.48876404,0.36842105,0.82352941,0.27586206999999996,0.56179775,19.65909091,2024,0.65
Tyler Mahle,TEX,0,1,0,3,3,12.2,7.1052635145319645,2.8421054058127857,0.7105263514531964,0.325,0.68181818,0.43902439,0.066666666,91.55750419679752,4.973684460172375,3.991212128097672,3.798058757359303,4.562279276770329,0.1821448504924774,Tyler Mahle,16358,641816,2.5,0.17857143,0.07142857,0.10714286,0.2745098039215686,1.4210527029063929,125.4221079835772,91.97932086311891,111.65295120467688,1.175625702813072,4.533438276052741,0,0,0,0,0,56,14,7,7,1,4,0,1,1,0,10,-0.0153919532895088,-1.0068840980529783,0.9914920926094056,0.322200059890747,0.0229987055063247,1.0620542764663696,0.902892291545868,0.8700000047683716,0.9640000462532043,3,0.0054750367999076,-0.0199676607934011,0,0,41,88.825,105.1,109.9,16.275,2.0,0.04878049,14.0,0.34146341,0.36842105,0.6,0.48471616,0.71428571,0.79710145,0.23423423,0.50218341,19.01162791,2024,0.02
Hayden Wesneski,CHC,3,6,0,28,7,67.2,8.911331137739893,2.7931037894408624,1.5960593082519212,0.2430939226519337,0.67524116,0.447916666,0.155844155,94.79456721547317,3.857143328275476,4.157717688355227,4.511307528761321,3.926450027950475,0.1795785725116729,Hayden Wesneski,27581,669713,3.19047619,0.23674912,0.07420495,0.16254417,0.2153846153846154,1.1379311734759068,95.25195585640242,112.67224648109512,96.6749893787577,-0.654164200485845,3.745863837289982,3,0,0,2,1,283,56,37,29,12,21,0,2,1,1,67,-0.5237280279397964,-4.956796169281006,4.433067798614502,-7.654400035738945,-0.8041848838329315,0.9207840524613856,0.994193282994357,1.3320643305778503,1.1881230611067553,26,-0.1057794690132141,-0.4630053905201341,7,7,193,87.63228861490886,105.4,113.3,10.71875,18.0,0.09326425,71.0,0.36787565,0.30093458,0.60555556,0.45395349,0.50310559,0.88990826,0.23770492,0.50232558,19.50883838,2024,-0.29
Kumar Rocker,TEX,0,2,0,3,3,11.2,10.800000588553324,4.628571680808568,0.7714286134680947,0.3333333333333333,0.73863636,0.515151515,0.1,96.33069766465054,3.857143067340473,3.2358405770175005,3.680765520601858,3.862487021552208,0.1783629357814788,Kumar Rocker,31843,677958,2.33333333,0.25454545,0.10909091,0.14545455,0.25,1.542857226936189,97.26612497715963,89.08219158268054,94.24382067599991,0.1763775467386148,4.019669267539543,0,0,0,0,0,55,12,6,5,1,6,0,1,1,0,14,-0.1484059244394302,-1.166697978973389,1.0182920694351196,-0.7538999915122986,-0.0767804458737373,1.25652277469635,0.8919333815574646,0.8700000047683716,0.7205333113670349,3,-0.2179559767246246,0.0998475528838439,0,0,34,89.9030243844697,101.8,104.2,10.242424242424242,1.0,0.02941176,16.0,0.47058824,0.31481481,0.65454545,0.48623853,0.47058824,0.84722222,0.27358490999999996,0.50458716,19.2208589,2024,-0.01
Craig Kimbrel,BAL,7,5,23,57,0,52.1,12.55414134752226,5.331210709221781,1.2038217730500795,0.2844827586206896,0.61933535,0.319672131,0.129629629,93.97601241099684,5.331210709221781,4.298507292962367,4.179218730220814,4.000526749847051,0.1780072450637817,Craig Kimbrel,6655,518886,2.35483871,0.31465517,0.13362069,0.18103448,0.2040816326530612,1.356688029945328,134.4908859248431,102.76074803627856,97.677913623026,1.1519919790009672,3.519511908278926,0,0,0,4,6,232,40,35,31,7,31,1,5,3,1,73,-2.290898084640503,-7.847906589508057,5.557008743286133,-8.888999938964844,-0.8967671394348145,1.6200008392333984,1.444189429283142,1.486905217170715,2.396355628967285,18,-0.4474595487117767,-0.9666743388512572,21,14,123,91.1508228739754,104.6,120.0,17.221311475409838,13.0,0.10569106,53.0,0.43089431,0.24089069,0.63034188,0.43035343,0.51260504,0.81355932,0.27294686,0.48648649,19.30631868,2024,-1.03
Brent Suter,CIN,1,0,2,47,3,65.2,6.852792541658095,1.6446702099979431,1.3705585083316192,0.2717948717948718,0.828125,0.408866995,0.12345679,,3.152284569162724,4.155114704039224,4.308611868566144,4.1939826326551515,0.1769662834703922,Brent Suter,13942,608718,4.16666667,0.18518519,0.04444444,0.14074074,0.2470588235294117,1.1421320902763492,72.86214600530896,100.85039190666328,103.14010835689731,-1.1563272994034204,3.878743984993537,0,0,0,2,0,270,63,25,23,10,12,0,3,2,0,50,1.0863521993160248,-1.594005949795246,2.6803581416606903,7.468199968338013,0.6840958222746849,0.4796234080766109,0.5244422147148534,0.6588510579251229,0.8350740803612603,27,0.8403711877763271,1.4246396124106813,6,5,205,86.1310343624923,102.8,112.8,13.74384236453202,15.0,0.07317073,62.0,0.30243902,0.29019608,0.69785575,0.49462366,0.62837838,0.88547486,0.18972332000000003,0.50146628,14.56123822,2024,1.37
Garrett Cleavinger,TBR,7,5,6,68,0,60.0,10.65000203132668,4.650000886917283,0.9000001716614097,0.304635761589404,0.74754902,0.406451612,0.095238095,96.51888261070113,3.7500007152558736,4.314480581522826,3.999813270568878,4.287422151958879,0.1762495338916778,Garrett Cleavinger,17897,664076,2.29032258,0.26691729,0.11654135,0.15037594,0.2280701754385964,1.383333597183278,96.88473425374605,100.47851501722562,104.8151739545015,-0.2498125553130044,3.769855459416692,0,0,0,15,2,266,52,29,25,6,31,0,7,2,0,71,0.3707901835441589,-6.293607711791992,6.664398193359375,0.6930001378059387,0.0465902686119079,1.4408915042877195,1.2957732677459717,1.4486706256866455,1.519996166229248,53,0.4626097083091736,-0.2052758407412245,26,15,157,86.90065061891234,103.3,110.8,12.493506493506494,15.0,0.0955414,53.0,0.33757962,0.29411765,0.65725047,0.47637051,0.48387097,0.8252149,0.2797619,0.50189036,20.13544304,2024,0.83
Eduardo Salazar,- - -,0,1,0,26,0,29.1,8.284092884172564,4.295455569570959,0.6136365099387084,0.3595505617977528,0.82251082,0.56043956,0.095238095,95.72854521780305,2.761364294724188,4.85533105474944,3.7460253710096865,3.942122344944412,0.1744810231029987,Eduardo Salazar,23135,674285,1.92857143,0.20300752,0.10526316,0.09774436,0.288135593220339,1.6363640265032224,66.97511352892766,91.84640501794846,97.05372225933786,-0.9846610762854984,3.940796468981389,0,0,0,3,0,133,34,11,9,2,14,0,1,1,0,27,0.1348422355949878,-1.1647659353911877,1.2996081411838531,1.0059998407959938,0.098044809885323,0.4856027956638071,0.5338315528792303,0.5916384888383058,0.6816173791885376,23,0.122282326221466,0.1553977794102608,5,3,91,88.36593191964286,106.6,112.0,5.791208791208791,4.0,0.04395604,39.0,0.42857143,0.2751938,0.6440678,0.451417,0.52112676,0.90131579,0.21973094000000004,0.47773279,18.5097493,2024,0.51
Sam Long,KCR,3,3,1,43,0,42.2,9.281252212822965,3.5859383549543273,1.054687751457155,0.2660550458715596,0.77777778,0.428571428,0.108695652,94.37239583333331,3.1640632543714653,4.02125360297832,3.8930424515158353,3.9997390399122343,0.1728724092245102,Sam Long,25379,669674,2.58823529,0.25,0.09659091,0.15340909,0.2151898734177215,1.1953127849847758,76.37376520342629,95.29477640970111,97.6583173143048,-0.72897919714437,3.693380555227341,0,0,0,7,1,176,34,17,15,5,17,1,1,3,1,44,0.0402220711112022,-3.169368028640747,3.209590196609497,3.974999904632568,0.4276759326457977,1.041725516319275,0.9845290780067444,1.083437204360962,0.9967631697654724,38,0.6594128012657166,-0.6208017943535323,10,7,114,87.45624651227679,103.3,110.9,10.151785714285714,9.0,0.07894737,38.0,0.33333333,0.27653631,0.67151163,0.47008547,0.53535354,0.83549784,0.25454544999999995,0.49002849,18.62618596,2024,0.64
Jared Shuster,CHW,2,5,0,39,4,73.1,6.8727281069165445,4.050000491575821,1.1045455886115876,0.2914798206278027,0.7309322,0.34347826,0.088235294,92.6427944649327,4.29545506682284,4.636964354838641,4.5846617686059075,5.092273522508577,0.1714018192142248,Jared Shuster,27472,694363,1.6969697,0.17445483,0.10280374,0.07165109,0.2569444444444444,1.4590910861906157,106.52827233464458,109.11860272556652,124.83791993604554,-0.2892067017830673,4.8271769526461945,0,0,0,3,2,321,74,38,35,9,33,0,0,3,0,56,0.119347482919693,-3.699174225330353,3.8185218572616577,-3.187600016593933,-0.349947802722454,0.6490323379368126,0.641702457035289,0.8281436134607364,0.905864007472992,25,-0.1910449881106615,0.3749302522857606,8,5,232,87.46157183917849,103.7,112.0,17.563318777292576,17.0,0.07327586,74.0,0.31896552,0.23963134,0.7057903,0.47054264,0.57692308,0.84922395,0.22075783000000004,0.49534884,17.66424116,2024,0.95
Slade Cecconi,ARI,2,7,0,20,13,77.0,7.480519943764919,1.9870131100625563,1.8701299859412297,0.3206751054852321,0.61810155,0.336,0.132231404,94.46465918106487,6.66233807491563,4.503601668934328,5.023622750439766,4.698337238774359,0.1705138385295868,Slade Cecconi,27500,677944,3.76470588,0.18934911,0.05029586,0.13905326,0.2902208201892745,1.4155845032471808,159.97322783188105,127.52917003208184,115.32820236260874,1.6387153244758643,4.35414729100927,3,0,0,0,0,338,92,57,57,16,17,1,4,2,1,64,-1.6288679242134094,-6.467750191688538,4.838882088661194,-19.148499965667725,-1.9438008069992063,0.8660250065678899,0.8426369428634644,0.7845599919557571,0.9030111001597512,18,-1.2084066569805143,-0.6724488747421924,0,5,253,89.04136859939759,105.1,111.5,17.843373493975903,26.0,0.1027668,92.0,0.36363636,0.24074074,0.66445623,0.48763524,0.62307692,0.86626747,0.18383518,0.58268934,19.25263158,2024,-1.13
Tyler Wells,BAL,0,2,0,3,3,15.1,7.630434940803257,1.7608696017238286,1.7608696017238286,0.3125,0.5952381,0.372549019,0.130434782,93.01465941011236,5.869565339079428,7.555787657146305,4.6012624167314335,4.3257967594836995,0.1675900667905807,Tyler Wells,20000,669330,4.33333333,0.19402985,0.04477612,0.14925373,0.28125,1.3695652457852,148.07200193401786,113.32570232543716,105.769840923741,1.268302922347995,4.215204246709573,1,0,0,0,0,67,18,11,10,3,3,0,0,0,0,13,-0.5649700164794922,-1.2710919380187988,0.7061219215393066,-4.140600204467773,-0.4388465285301208,0.6298289895057678,0.5814374685287476,0.8700000047683716,0.467600017786026,3,-0.3972539901733398,-0.4997673059134423,0,0,51,89.86470779718137,107.6,111.9,17.058823529411764,6.0,0.11764706,23.0,0.45098039,0.33076923,0.70542636,0.51737452,0.62790698,0.83516484,0.23134328000000004,0.4980695,18.95287958,2024,-0.23
