Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,Pace,Year,bWAR,EV,Barrel%,HardHit%
Roy Oswalt,HOU,14,7,0,33,32,212.0,6.537735702926823,2.547169754387074,0.5943396093569839,0.3066666666666666,0.77496274,0.52967359,0.066985645,93.54688579074586,3.1839621929838424,,3.5933787176842404,3.9716087855836446,4.939071953296661,Roy Oswalt,571,400061,2.56666667,0.16923077,0.06593407,0.1032967,0.262158956109134,1.325471668486607,72.71467737254599,78.66926253801293,88.12888538362796,-0.409416524700398,4.053452642507311,21,1,0,1,0,910,221,80,75,14,60,6,7,1,1,154,3.0849821008741856,-14.463151931762695,17.54813450947404,29.054299920797348,2.984502747654915,1.054785030173219,0.9521727678982634,0.9029878594658592,1.1913124807178974,32,2.236961217597127,0.6877883878912674,0,0,0.30147059,0.62435678,0.49142281,0.66666667,0.8489011,0.19712525999999997,0.58829465,,2007,6.64,,,
Tim Hudson,ATL,16,10,0,34,34,224.1,5.295690695970795,2.1263000521700923,0.4011886890886966,0.2922437673130194,0.72761194,0.619580419,0.064935064,89.90272939888536,3.3298661194361823,,3.4580300936343256,3.739703702497051,4.870707988739014,Tim Hudson,921,218596,2.49056604,0.1427027,0.0572973,0.08540541,0.255787037037037,1.221396675670032,75.76679894018959,77.34213576231141,82.90183982702088,-0.1281639741981433,3.7271142949110487,25,1,1,0,0,925,221,87,83,10,53,8,8,5,2,132,1.7993940114974976,-13.303555488586426,15.102950096130373,32.487098693847656,3.225973129272461,0.933836817741394,0.854179859161377,0.8660294413566589,0.9342727065086364,33,3.0233864784240723,-1.0965037754593656,0,0,0.2892057,0.64650678,0.46573931,0.6584507,0.9,0.17588495999999998,0.49407522,,2007,4.66,,,
Scott Kazmir,TBD,13,9,0,34,34,206.2,10.40806425997668,3.875806356225626,0.7838709484501267,0.3333333333333333,0.75337331,0.431481481,0.080717488,92.37366303943452,3.483870882000563,,3.452508361252737,3.673866707935357,4.84013557434082,Scott Kazmir,4897,431148,2.68539326,0.26944758,0.10033822,0.16910936,0.247787610619469,1.3790322241252229,78.10824064539167,78.73320287441426,82.94167742860812,0.0313625207478258,3.58645876660057,19,0,0,0,0,887,196,91,80,18,89,1,7,10,0,239,1.5444300174713137,-16.209867477416992,17.754297256469727,22.79010009765625,2.210934638977051,1.0797845125198364,0.9187973141670228,0.8684117794036865,1.0897705554962158,34,1.275962233543396,0.1543509442842412,0,0,0.27906977,0.625,0.46842105,0.53125,0.78076923,0.28651685000000005,0.54736842,,2007,5.81,,,
Kelvim Escobar,LAA,18,7,0,30,30,195.2,7.359454663890347,3.0357750488547683,0.5059625081424614,0.2989510489510489,0.73005093,0.44,0.049549549,94.27038433908046,3.4037477820492854,,3.3929271128504177,4.085395170626664,4.820441722869873,Kelvim Escobar,1298,113898,2.42424242,0.19704433,0.08128079,0.11576355,0.2449528936742934,1.267461636558893,75.74428413478353,77.52591380042489,92.0561894374295,0.0108206691988677,4.156965604715689,20,3,1,0,0,812,182,79,74,11,66,2,3,9,0,160,2.8916399478912354,-13.054521560668944,15.946162223815918,26.436899185180664,2.567613124847412,1.036698818206787,0.9125449657440186,0.8655866980552673,0.9764370322227478,27,2.3716588020324707,0.4176179841540923,0,0,0.26213592,0.60958366,0.44596841,0.63299663,0.79768041,0.24790308000000005,0.52909393,,2007,4.91,,,
Javier Vazquez,CHW,15,8,0,32,32,216.2,8.847692099992203,2.076923028167184,1.2046153563369668,0.2881646655231561,0.74507966,0.397689768,0.110266159,92.65073302469136,3.7384614507009313,,3.8026820505446945,3.5854188124465676,4.7747673988342285,Javier Vazquez,801,134320,4.26,0.2414966,0.05668934,0.18480726,0.2387878787878788,1.139999973238432,80.30685397351908,81.94060824739053,80.98273782011678,-0.0642205998437632,3.4214251027200087,20,2,0,0,0,882,197,95,90,29,50,2,7,5,0,213,2.187309980392456,-14.534906387329102,16.72221565246582,26.23360061645508,2.4846436977386475,0.9941096305847168,0.9514792561531068,0.869825005531311,1.21371328830719,30,2.649501323699951,-0.449230937921754,0,0,0.30252833,0.63972485,0.47229437,0.62536023,0.83602151,0.23098074999999996,0.5034632,,2007,6.24,,,
Dan Haren,OAK,15,9,0,34,34,222.2,7.76047886464744,2.2230538414354646,0.97005985808093,0.2874432677760968,0.75922819,0.444444444,0.093385214,90.9736328125,3.071856217256278,,3.6976889625575855,3.744393130474308,4.655771732330322,Dan Haren,1757,429717,3.49090909,0.20534759,0.05882353,0.14652406,0.2440136830102622,1.2080838047396767,69.87643153679147,84.32777818804072,84.50369314185093,-0.6258327453013073,3.787851448426249,28,0,0,0,0,935,214,91,76,24,55,1,3,10,0,192,2.199579954147339,-15.35693359375,17.556514739990234,24.889101028442383,2.48201322555542,1.0265884399414062,0.9456841945648192,0.8773529529571533,1.4378470182418823,34,1.720414400100708,0.4221968631557558,0,0,0.30478395,0.60468632,0.45628102,0.61772152,0.86625,0.21589957999999998,0.50515464,,2007,4.55,,,
Brad Penny,LAD,16,4,0,33,33,208.0,5.841346582364785,3.1586540778713283,0.3894231054909857,0.2954898911353033,0.76399395,0.487220447,0.046632124,94.01299742509364,3.028846376041,,3.629028246177022,4.230534128637791,4.429848670959473,Brad Penny,535,207267,1.84931507,0.15606936,0.08439306,0.0716763,0.2528589580686149,1.3076924036240507,70.02441497449496,81.62178785182127,93.9649565291611,-0.6001818701360215,4.5286205458503215,26,0,0,0,0,865,199,75,70,9,73,2,5,6,0,135,2.6170339584350586,-12.887007713317873,15.50404167175293,33.12929916381836,3.256406307220459,0.9715862274169922,0.8950535655021667,0.8737515211105347,1.0658726692199707,33,2.424541473388672,0.2690269249536623,0,0,0.26647834,0.65600691,0.46958089,0.73144876,0.88801054,0.15451055999999996,0.52140604,,2007,5.93,,,
Chris Young,SDP,9,8,0,30,30,173.0,8.6878612716763,3.745664739884393,0.5202312138728323,0.2405345211581291,0.71584699,0.29147982,0.041152263,89.066764794686,3.121387283236994,,3.4303565857727407,4.440974187161881,4.265120506286621,Chris Young,3196,432934,2.31944444,0.23687943,0.10212766,0.13475177,0.1884984025559105,1.0982658959537572,77.31965960675231,79.04414331099696,98.70818922678056,-0.3089693025357465,4.208292498048623,18,0,0,0,0,705,118,66,60,10,72,0,7,7,4,167,2.2003440856933594,-11.307966232299805,13.508310317993164,17.63010025024414,1.9464665651321411,1.0352247953414917,0.946548879146576,0.8722866773605347,1.168386697769165,30,2.83231520652771,-0.7068405312736967,0,0,0.33083411,0.65363636,0.49469312,0.63739377,0.81363004,0.24440299,0.50761421,,2007,3.64,,,
Matt Cain,SFG,7,16,0,32,32,200.0,7.335,3.555,0.63,0.2784588441330998,0.72872789,0.394415357,0.05490196,93.29539493405277,3.645,,3.7796051406860354,4.4690577226877215,4.094639301300049,Matt Cain,4732,430912,2.06329114,0.19591346,0.09495192,0.10096154,0.231283422459893,1.26,81.92557988421818,85.41191122624593,99.34118061114512,-0.1346051406860353,4.417847536887375,22,1,0,0,0,832,173,84,81,14,79,3,5,12,0,163,2.4296278953552246,-12.877854347229004,15.307483673095703,27.178199768066406,2.685546875,0.9807418584823608,0.924547791481018,0.8740312457084656,1.048864483833313,31,2.724768877029419,-0.2474320790314954,0,0,0.2887218,0.66184211,0.4877193,0.6875,0.87673956,0.17553956999999998,0.53333333,,2007,4.59,,,
Andy Pettitte,NYY,15,9,0,36,34,215.1,5.893188993688742,2.8839009969115126,0.6687306659504956,0.3222060957910014,0.70728291,0.476878612,0.070175438,89.50899879404362,4.05417966232488,,3.8711841029726144,4.233504959086364,4.048609647899866,Andy Pettitte,840,120485,2.04347826,0.15393013,0.07532751,0.07860262,0.2813238770685579,1.4256966281027927,90.04374684132182,87.36347818652473,95.33651769640714,0.1829955593522654,4.479091632045267,22,0,0,1,0,916,238,106,97,16,69,1,1,3,0,141,0.4740399569272995,-16.574782244861126,17.04882237315178,11.681400537490845,1.1818465292453766,1.039974293874265,0.9211844046201024,0.8853166765636868,1.165261103047265,36,1.21539044380188,-0.7595715262387004,1,0,0.31196581,0.61730769,0.47267206,0.62328767,0.90031153,0.18629549999999995,0.52631579,,2007,3.75,,,
