Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Year,bWAR,EV,Barrel%,HardHit%,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%
Dave Stewart,OAK,22,11,0,36,36,267.0,5.595505617977528,2.797752808988764,0.5393258426966292,0.2567237163814181,0.78875171,,,,2.561797752808989,,3.3326435862409043,,4.852705955505371,Dave Stewart,1012519,122775,2.0,0.15257353,0.07628676,0.07628677,0.226,1.1573033707865168,68.66911608985957,87.48046772121089,,-0.7708458334319155,,27,11,4,,,1088,226,84,76,16,83,1,5,8,0,166,3.6753759384155273,-15.217326164245604,18.89270401000977,30.095800399780273,3.548791885375977,0.9639791250228882,0.8762235641479492,0.879705548286438,0.8548240065574646,25,2.730555295944214,1.0821579081184378,0,0,1990,5.15,,,,,,,,,,
Chuck Finley,CAL,18,9,0,32,32,236.0,6.750000872854572,3.0889834502893803,0.6483051685792527,0.2817518248175182,0.80237741,,,,2.402542683558407,,3.29982450424136,,4.787003517150879,Chuck Finley,384,114133,2.18518519,0.18399168,0.08419958,0.0997921,0.2389078498293515,1.2330510069056375,62.538471558956374,83.58912998672633,,-0.8972818206829527,,24,7,2,,,962,210,77,63,17,81,3,2,9,0,177,4.638848304748535,-16.503154754638672,21.14200210571289,39.121299743652344,4.031642436981201,1.154746174812317,1.0215997695922852,0.878125011920929,1.702936053276062,25,2.5979411602020264,1.419260546919884,0,0,1990,7.69,,,,,,,,,,
Dennis Martinez,MON,10,11,0,32,32,226.0,6.212389380530974,1.9513274336283184,0.6371681415929203,0.2569750367107195,0.74239714,,,,2.946902654867257,,3.0782105213772937,,4.634322643280029,Dennis Martinez,1008161,118371,3.18367347,0.17180617,0.05396476,0.11784141,0.223915592028136,1.0619469026548674,77.83673641425851,82.6184263783349,,-0.1313078665100371,,23,7,2,,,908,191,80,74,16,49,9,6,1,1,156,-0.1318480819463729,-16.21513557434082,16.083288192749023,18.258800506591797,1.9873497486114504,1.051561713218689,0.9190492033958436,0.874750018119812,0.8881120085716248,25,2.0285162925720215,-2.1538994063626555,0,0,1990,4.66,,,,,,,,,,
Mark Langston,CAL,10,17,0,33,33,223.0,7.869954618448531,4.197309129839216,0.5246636412299021,0.3191153238546603,0.66710268,,,,4.399102838004564,,3.2836353072975544,,4.562178611755371,Mark Langston,1007323,117480,1.875,0.20526316,0.10947368,0.09578947,0.2556480380499406,1.430493175661015,114.50916964022564,83.17890567758917,,1.1154675307070092,,17,5,1,,,950,215,120,109,13,104,1,5,8,0,195,-1.2420841455459597,-18.295194625854492,17.053110122680664,-7.182699680328369,-0.7681872844696045,1.009308099746704,0.8971804976463318,0.8634303212165833,1.3250999450683594,28,-0.2203967571258545,-1.0102325679114388,0,0,1990,1.5,,,,,,,,,,
Jose Rijo,CIN,14,8,0,29,29,197.0,6.944162436548224,3.563451776649746,0.4568527918781725,0.2522361359570662,0.76497696,,,,2.6954314720812182,,3.143324397663175,,4.490009784698486,Jose Rijo,349,121206,1.94871795,0.1897628,0.09737828,0.09238452,0.2094313453536754,1.1624365482233503,68.68950722775762,78.74395270527361,,-0.4478929255819568,,20,7,1,,,801,151,65,59,10,78,1,2,2,5,152,1.6390260457992554,-12.506903648376465,14.145930290222168,25.652000427246097,2.795295238494873,0.990716516971588,0.9048534035682678,0.8659723997116089,1.503681778907776,22,2.9568498134613037,-1.3024653172691811,0,0,1990,5.66,,,,,,,,,,
Rob Dibble,CIN,8,3,11,68,0,98.0,12.489797863052967,3.1224494657632422,0.2755102469791096,0.2809523809523809,0.80818966,,,,1.7448982308676944,,1.5021763646071062,,4.325087070465088,Rob Dibble,1003269,113333,4.0,0.35416667,0.08854167,0.265625,0.1776504297994269,0.9795919892590564,44.46642434887934,37.64708503078313,,0.2427218662605881,,0,0,0,,,384,62,22,19,3,34,3,1,3,1,136,1.565580129623413,-9.197507858276367,10.76308822631836,17.27400016784668,1.7710050344467163,1.5137901306152344,1.56600821018219,1.7597941160202026,1.8576358556747437,39,1.7056351900100708,-0.6714230505854795,29,13,1990,4.0,,,,,,,,,,
Dave Stieb,TOR,18,6,0,33,33,208.2,5.391373670501864,2.760383319296954,0.474440883004164,0.2580645161290322,0.75757576,,,,2.9329072767530135,,3.359417214381594,,4.264491081237793,Dave Stieb,1012532,122791,1.953125,0.14518002,0.07433217,0.07084785,0.2274459974587039,1.1645367128284023,74.2805617152981,83.39885099540425,,-0.4265099376285803,,24,2,2,,,861,179,73,68,11,64,0,10,5,0,125,3.707252025604248,-13.952075958251951,17.659330368041992,27.50629997253418,2.8837499618530273,1.1070733070373535,1.048351168632507,0.8718666434288025,1.4210000038146973,31,3.325805902481079,0.0228901613100807,0,0,1990,5.89,,,,,,,,,,
Doug Drabek,PIT,22,6,0,33,33,231.1,5.096541898799795,2.178674399486935,0.583573499862572,0.2454417952314165,0.75,,,,2.762247899349507,,3.2838033501738697,,4.182867050170898,Doug Drabek,1003473,113538,2.33928571,0.14270153,0.06100218,0.08169935,0.2211874272409778,1.0634005997495757,74.87684697317279,87.6738205946896,,-0.5215554508243625,,24,9,3,,,918,190,78,71,15,56,2,3,6,0,131,2.9440481662750244,-12.062820434570312,15.006868362426758,28.68779945373535,3.0568645000457764,0.893512487411499,0.8602965474128723,0.8653333187103271,1.0131666660308838,24,3.457676410675049,-0.1627608859867297,0,0,1990,4.17,,,,,,,,,,
Mike Boddicker,BOS,17,8,0,34,34,228.0,5.644736842105263,2.723684210526316,0.631578947368421,0.2910863509749303,0.75284091,,,,3.3552631578947367,,3.5056674380051462,,4.079127311706543,Mike Boddicker,1001111,111139,2.07246377,0.14958159,0.07217573,0.07740586,0.2565564424173318,1.2894736842105263,81.6300939907313,88.4709891517287,,-0.1504042801104095,,23,4,0,,,956,225,92,85,16,69,6,10,10,0,143,2.698850154876709,-15.354846000671388,18.05369758605957,24.736000061035156,2.63059401512146,1.0340063571929932,0.922868013381958,0.8654412031173706,1.2497533559799194,30,1.6523579359054563,0.9577325496146236,0,0,1990,5.9,,,,,,,,,,
Bruce Hurst,SDP,11,9,0,33,33,223.2,6.518628763835498,2.5350222970471377,0.845007432349046,0.2545731707317073,0.75022462,,,,3.1385990344393133,,3.438701387117676,,4.036045551300049,Bruce Hurst,1006222,116350,2.57142857,0.17940199,0.06976744,0.10963455,0.2240762812872467,1.122205637669897,81.86011544491832,88.19167946219606,,-0.3001023526783628,,20,9,4,,,903,188,85,78,21,63,5,1,7,1,162,0.8511899709701538,-16.89349365234375,17.74468421936035,19.794300079345703,2.108950138092041,1.0727838277816772,0.9822045564651488,0.8612727522850037,1.5532333850860596,24,1.2630029916763306,-0.4695626461686428,0,0,1990,4.97,,,,,,,,,,
Zane Smith,- - -,12,9,0,33,31,215.1,5.433436853357843,2.089783405137632,0.6269350215412897,0.2734138972809667,0.75438596,,,,2.5495357542679113,,3.244831550470153,,3.999541838886216,Zane Smith,1012218,122473,2.6,0.15116279,0.05813953,0.09302326,0.2428748451053283,1.1424149281419056,67.66019414690273,86.96340587805123,,-0.6952957962022417,,24,4,2,,,860,196,77,61,15,50,4,3,2,0,130,2.80548975430429,-14.391419673338532,17.19691026303917,17.335800290107727,1.971826694905758,1.0575584385506684,0.9828096144572572,0.8590424257245931,1.250350026147706,28,2.221916627138853,0.4308821705796681,0,0,1990,4.1,,,,,,,,,,
David Wells,TOR,11,6,3,43,25,189.0,5.476190918307101,2.1428573158593003,0.6666667204895601,0.2590051457975986,0.72765073,,,,3.1428573965936404,,3.300362548742428,,3.808431938290596,David Wells,855,124071,2.55555556,0.15151515,0.05928854,0.09222661,0.2317415730337078,1.1111112008159336,79.59788386781472,81.93234099024455,,-0.1575051521487878,,18,0,0,,,759,165,72,66,14,45,3,2,7,1,115,2.829894185066223,-11.850048303604126,14.67994236946106,26.084999084472656,2.728562891483307,1.008505006455834,0.9920350675071988,1.0155721001846845,1.0247714689799718,35,2.8802480697631836,-0.0742191785321368,7,1,1990,4.3,,,,,,,,,,
Matt Young,SEA,8,18,0,34,33,225.1,7.0295859574896,4.273668735519245,0.5991124395587727,0.2776934749620637,0.70689655,,,,3.5147929787448,,3.6159913428761943,,3.682220935821533,Matt Young,1014385,124707,1.64485981,0.1827622,0.11111111,0.07165109,0.2329411764705882,1.3535503264105606,87.66837525843557,90.60005139956088,,-0.1011983641313944,,19,7,1,,,963,198,106,88,15,107,7,6,16,0,176,-2.081647664308548,-17.610078632831573,15.528423681855202,-1.0759000778198242,-0.1416208446025848,0.9987907066897392,0.8592531159210997,0.949835288174012,1.578533340383459,27,-0.2209680899977684,-1.863199944772687,0,1,1990,2.03,,,,,,,,,,
John Smoltz,ATL,14,11,0,34,34,231.1,6.613832998442482,3.501440999175432,0.7780979998167626,0.2715328467153284,0.69888476,,,,3.8515850990929743,,3.6425929834227104,,3.610565662384033,John Smoltz,115,122477,1.88888889,0.17598344,0.0931677,0.08281574,0.2354285714285714,1.2795389330320095,96.5885273142605,93.3619001317597,,0.2089921156702643,,19,6,2,,,966,206,109,99,20,90,3,1,14,3,170,0.0776701122522354,-16.382335662841797,16.46000862121582,5.775000095367432,0.3638306856155395,0.9514982104301452,0.871033251285553,0.8727706074714661,0.9257000088691713,28,2.017866373062134,-1.9362370947294685,0,0,1990,3.57,,,,,,,,,,
Kevin Tapani,MIN,12,8,0,28,28,159.1,5.705021102618648,1.6380753660984235,0.6778242894200374,0.2951456310679611,0.67340067,,,,4.066945736520224,,3.1032781058667904,,3.541254997253418,Kevin Tapani,1012824,123090,3.48275862,0.15326252,0.04400607,0.10925645,0.2611464968152866,1.2112971097969183,99.4281039146619,79.37716232698028,,0.9636676306534336,,14,1,1,,,659,164,75,72,12,29,2,2,1,0,101,0.9646360874176024,-10.667548179626465,11.632184028625488,7.907800674438477,0.7818883657455444,0.9634178280830384,0.9264875054359436,0.8732143044471741,1.3893407583236694,27,1.2659934759140017,-0.2647289577588949,0,0,1990,2.5,,,,,,,,,,
Greg Hibbard,CHW,14,9,0,33,33,211.0,3.9241708998961897,2.3459717336335917,0.4691943467267183,0.2701555869872701,0.73909532,,,,3.156398332525196,,3.48128484761104,,3.4990921020507812,Greg Hibbard,1005764,115884,1.67272727,0.10562572,0.06314581,0.04247991,0.2493827160493827,1.2180095667552182,80.37442408615247,90.8213716420757,,-0.324886515085844,,19,3,1,,,871,202,80,74,11,55,2,6,2,1,92,2.9726221561431885,-14.383213996887209,17.3558349609375,23.99570083618164,2.519103527069092,1.0859599113464355,1.0367788076400757,0.8727272748947144,1.5636733770370483,30,1.6496862173080444,1.0876359665813775,0,0,1990,3.67,,,,,,,,,,
Mark Guthrie,MIN,7,9,0,24,21,144.2,6.283409751647138,2.4262671318241424,0.4976958219126446,0.3215859030837004,0.70568928,,,,3.7949306420839153,,2.960372740314712,,3.392658114433289,Mark Guthrie,876,115260,2.58974359,0.16749585,0.06467662,0.10281924,0.2735346358792184,1.334101300404728,92.77791804345551,75.72063168382756,,0.8345579017692031,,9,3,1,,,603,154,65,61,8,39,3,1,9,0,101,0.862028032541275,-10.504476189613342,11.366502106189728,11.385000705718994,1.1065470576286316,1.0044621264342195,0.9195140436583874,0.8909916803240776,1.422495262963431,21,1.0569418370723724,-0.1987431953760219,2,1,1990,2.79,,,,,,,,,,
Melido Perez,CHW,13,14,0,35,35,197.0,7.355330518951456,3.928934314470964,0.6395939581696919,0.2859649122807017,0.62754686,,,,4.614213555367063,,3.437740690071894,,3.3711071014404297,Melido Perez,1010183,120411,1.87209302,0.19327731,0.1032413,0.09003601,0.2375838926174496,1.335025484116103,117.49618332437932,89.68503145769628,,1.1764728652951688,,19,3,3,,,833,177,111,101,14,86,1,2,8,4,161,-1.5741679668426514,-14.224740028381348,12.650571823120115,-16.306499481201172,-1.635972261428833,0.8886655569076538,0.8141831755638123,0.8661143183708191,1.297224998474121,32,-0.0130538865923881,-1.7583301336462087,0,0,1990,-0.32,,,,,,,,,,
Joe Magrane,STL,10,17,0,31,31,203.1,4.426229286757708,2.6114752791870477,0.4426229286757708,0.2861356932153392,0.71984436,,,,3.5852457222737435,,3.4525612798028034,,3.370748996734619,Joe Magrane,1007973,118146,1.69491525,0.11695906,0.06900585,0.04795322,0.2588832487309644,1.293442558241419,93.55337214748366,90.97626868239898,,0.1326844424709401,,20,3,2,,,855,204,86,81,10,59,7,8,11,1,100,0.2349921911954879,-15.572243690490724,15.807238578796388,10.5,1.0978212356567385,1.0379623174667358,0.918354868888855,0.8792967796325684,0.9087928533554076,28,0.7908775806427002,-0.5644799675106427,0,0,1990,2.35,,,,,,,,,,
Jack Armstrong,CIN,12,9,0,29,27,166.0,5.963854942011723,3.1987949234426516,0.4879517679827773,0.273076923076923,0.7079646,,,,3.4156623758794415,,3.362515839846534,,3.2663638815283775,Jack Armstrong,1000313,110325,1.86440678,0.15625,0.08380682,0.07244318,0.2363067292644757,1.265060139214608,87.0436395381233,84.23284311207976,,0.0531465360329077,,17,2,1,,,704,151,72,63,9,59,7,6,7,5,110,0.7786199040710926,-10.733446055091918,11.512065839022398,6.918999910354614,0.8008070439100266,0.9411306952976662,0.8652968479450359,0.823137943086953,0.8898846191855577,26,0.7597891390323639,0.0675347469714032,0,0,1990,2.6,,,,,,,,,,
Dennis Eckersley,OAK,4,2,48,63,0,73.1,8.959093394634841,0.490909227103279,0.2454546135516395,0.2131147540983606,0.85308057,,,,0.6136365338790988,,1.3355713356426775,,3.1990323066711426,Dennis Eckersley,1003660,113726,18.25,0.27862595,0.01526718,0.26335878,0.1589147286821705,0.6136365338790988,16.448557789434805,35.04178456217158,,-0.7219348017635789,,0,0,0,,,262,41,9,5,2,4,1,0,0,0,73,4.7391180992126465,-4.004985809326172,8.744104385375977,25.48900032043457,2.752819776535034,1.6005580425262451,1.686744213104248,1.6469460725784302,2.153599977493286,2,2.8273603916168213,0.1335557221984871,31,3,1990,3.26,,,,,,,,,,
Charlie Leibrandt,ATL,9,11,0,24,24,162.1,4.213552493416239,1.9404518061785312,0.4989733215887652,0.2787769784172662,0.68802521,,,,3.1601643700621795,,3.313432503005339,,3.184842109680176,Charlie Leibrandt,1007492,117643,2.17142857,0.11176471,0.05147059,0.06029412,0.2558502340093603,1.225872728347707,79.2493518180826,84.92811422468627,,-0.1532681329431593,,15,5,2,,,680,164,72,57,9,35,3,4,4,3,76,0.4072641730308532,-10.326638221740724,10.733901977539062,11.692999839782717,1.0028400421142578,0.8868858814239502,0.8100048303604126,0.8749916553497314,0.6774736642837524,19,1.1147489547729492,-0.6555419907642704,0,0,1990,3.24,,,,,,,,,,
Sid Fernandez,NYM,9,14,0,30,30,179.1,9.083643380307432,3.3624536269646295,0.9033457505278109,0.2413793103448276,0.69570136,,,,3.462825377023275,,3.29900535057256,,3.153446674346924,Sid Fernandez,1004001,114074,2.70149254,0.2462585,0.09115646,0.15510204,0.196078431372549,1.0985130423085108,94.52660657787516,88.60299400443323,,0.1638200264507148,,18,2,1,,,735,130,79,69,18,67,4,5,1,0,181,0.0201920494437217,-10.982563972473145,11.002756118774414,6.626999855041504,0.6477816104888916,0.8641488552093506,0.8174693584442139,0.8713333606719971,0.9124428629875184,28,1.9606125354766848,-1.9372461335865496,0,0,1990,2.33,,,,,,,,,,
Kevin Appier,KCR,12,8,0,32,24,185.2,6.156194359648466,2.6175944521339933,0.630161627365591,0.2842465753424658,0.77898551,,,,2.7630163661414375,,3.3199687143861145,,3.152910679578781,Kevin Appier,3,110293,2.35185185,0.1619898,0.06887755,0.09311224,0.2472375690607735,1.2549372579160916,70.77893752894538,88.47236432438511,,-0.556952348244677,,17,3,3,,,784,179,67,57,13,54,2,6,6,1,127,2.02461439371109,-10.773813903331757,12.798424422740936,19.239901065826416,2.0231087803840637,0.9086165970423904,0.83502064148585,0.8884062618017197,1.1720285564661026,28,1.5003359913825989,0.7279024100524505,0,3,1990,5.31,,,,,,,,,,
Ron Robinson,- - -,14,7,0,28,27,179.2,3.556586245700742,2.55473096522166,0.3506493481676788,0.2972972972972973,0.7172471,,,,3.256029661557018,,3.476202537271903,,3.124956088140607,Ron Robinson,1011076,121321,1.39215686,0.09293194,0.06675393,0.02617801,0.2743988684582744,1.3636363539854175,84.1779259718453,88.951619807272,,-0.2201728757148853,,16,7,2,,,764,194,78,65,7,51,1,6,3,0,71,0.8244160544127226,-12.32966050505638,13.15407568216324,12.26330068707466,1.2512929569929838,0.9736331194227882,0.8620538810888926,0.8781214484146663,1.208285697868892,21,0.1374810338020324,0.7092609657937414,0,0,1990,3.21,,,,,,,,,,
Teddy Higuera,MIL,11,10,0,27,27,170.0,6.829411764705882,2.6470588235294117,0.8470588235294118,0.289272030651341,0.70850202,,,,3.7588235294117647,,3.44947548754075,,2.999852180480957,Teddy Higuera,1005799,115921,2.58,0.17916667,0.06944444,0.10972222,0.2503748125937031,1.276470588235294,97.6681983354056,88.74846229378961,,0.3093480418710146,,14,4,1,,,720,167,80,71,16,50,2,3,2,1,129,1.1920219659805298,-11.590124130249023,12.782143592834473,3.3454999923706055,0.2738409042358398,0.9808112978935242,0.9256752729415894,0.8680444359779358,1.0872260332107544,23,0.3330851197242737,0.8822576975338676,0,0,1990,2.52,,,,,,,,,,
Tim Leary,NYY,9,19,0,31,31,208.0,5.971153846153846,3.375,0.7788461538461539,0.2875,0.69518717,,,,4.110576923076923,,3.832337478490977,,2.9611012935638428,Tim Leary,1007438,117592,1.76923077,0.15664018,0.08853575,0.06810443,0.2537688442211055,1.3461538461538465,104.1334505526306,96.2394305500757,,0.2782394445859468,,17,6,1,,,881,202,105,95,18,78,1,7,23,0,138,-0.8173039555549622,-15.607148170471191,14.789843559265137,-4.372900009155273,-0.54548180103302,1.0042848587036133,0.8742789030075073,0.8716773986816406,1.407503962516785,25,0.4520692527294159,-1.2658861180060503,0,0,1990,1.66,,,,,,,,,,
Tom Glavine,ATL,10,12,0,33,33,214.1,5.41679601040825,3.27527200629336,0.7558320014523139,0.3044096728307254,0.69979006,,,,4.283048008229779,,3.80207812997315,,2.9405031204223633,Tom Glavine,90,114849,1.65384615,0.13885899,0.08396125,0.05489774,0.2729411764705882,1.4463451879643043,107.4085834501264,97.4482460371342,,0.4809698782566287,,19,1,0,,,929,232,111,102,18,78,10,1,8,1,129,-0.4605179131031036,-17.076318740844727,16.61579704284668,-3.28499984741211,-0.3155649602413177,1.0579248666763306,0.9281410574913024,0.8728787899017334,1.458356261253357,32,-0.1665974557399749,-0.2687055866678541,0,0,1990,2.22,,,,,,,,,,
Andy Benes,SDP,10,11,0,32,31,192.1,6.55112668970929,3.2287695827852927,0.8422877172483373,0.2727272727272727,0.7213706,,,,3.6031196793401095,,3.660985347994041,,2.9378396905958652,Andy Benes,1144,110854,2.02898551,0.17262639,0.08508015,0.08754624,0.2388663967611336,1.27902949656229,93.9756208665658,93.89054722699312,,-0.0578656686539313,,21,2,0,,,811,177,87,77,18,69,5,1,2,5,140,1.285926040261984,-13.78306032717228,15.068986013531685,8.950599908828735,0.8537601828575134,1.0333681962069343,0.9475585900101008,0.8754624985158443,1.3324068784713743,29,0.9059732928872108,0.3384292782216007,0,0,1990,2.9,,,,,,,,,,
Jack Morris,DET,15,18,0,36,36,249.2,5.8397866197812345,3.4966623587578995,0.937249704409334,0.2621483375959079,0.63844086,,,,4.506008194275644,,4.102024036286767,,2.9040932655334473,Jack Morris,1009211,119399,1.67010309,0.15097856,0.09040075,0.06057782,0.2381443298969072,1.3137517224199209,115.01557701530804,102.01550030564148,,0.4039841579888774,,18,11,3,,,1073,231,144,125,26,97,13,6,16,2,162,-2.214977979660034,-20.66641616821289,18.451431274414062,-15.932199478149414,-1.5413000583648682,1.04022216796875,0.8962291479110718,0.8697944283485413,1.249527931213379,25,-0.0897227749228477,-2.0396088696673065,0,0,1990,0.71,,,,,,,,,,
