Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Year,EV,Barrel%,HardHit%,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%
Brian Powell,HOU,0,1,0,1,1,3.0,9.0,9.0,3.0,0.4,0.3030303,,,,18.0,,8.382470162709554,,-0.0791157484054565,Brian Powell,490,150064,1.0,0.17647059,0.17647059,0.0,0.3571428571428571,2.6666666666666665,398.51125479134663,189.58404092205777,,9.617529837290446,,0,0,0,,,17,5,6,6,1,3,0,0,0,0,3,-0.3737919926643371,-0.5528079867362976,0.1790159940719604,-4.50600004196167,-0.4635800123214721,1.156209945678711,0.9434670209884644,0.9204000234603882,0.4079999923706054,1,-0.1625030040740966,-0.1607877564502959,0,0,2001,,,,,,,,,,
Jeff Wallace,TBD,0,3,0,29,1,50.1,6.794702158408819,6.6158942068717455,0.7152318061482968,0.2689655172413793,0.72944297,,,,3.3973510792044097,,4.837216344746963,,-0.0819982960820198,Jeff Wallace,1013550,123862,1.02702703,0.16888889,0.16444444,0.00444444,0.2299465240641711,1.5894040136628818,75.84687323112313,110.01294889419852,,-1.4398652655425537,,0,0,0,,,225,43,26,19,4,37,0,1,3,1,38,-0.2521260045468807,-1.7933599948883057,1.5412339866161346,4.004000186920166,0.4037487357854843,0.4062020596116781,0.3989499931534131,0.4310965496918251,0.4732100058346987,20,0.0870671868324279,-0.7077582901417235,2,2,2001,,,,,,,,,,
J.B. Miadich,ANA,0,0,0,11,0,10.0,9.899999055862516,7.1999993133545575,1.7999998283386394,0.2,0.80357143,,,,4.499999570846598,,5.849136562347438,,-0.0834040567278862,J.B. Miadich,23,400082,1.375,0.26829268,0.19512195,0.07317073,0.1818181818181818,1.3999998664856084,100.95698585046787,131.23392019662077,,-1.349136991500839,,0,0,0,,,41,6,5,5,2,8,0,0,1,0,11,-0.0447039976716041,-0.2138339877128601,0.1691299974918365,1.3580000400543213,0.1290691047906875,0.2446333169937133,0.2332307696342468,0.2680727243423462,0.6551142930984497,7,-0.0675422102212905,-0.1151965852174066,0,1,2001,,,,,,,,,,
Kevin Beirne,TOR,0,0,0,5,0,7.0,6.428571428571429,7.714285714285714,1.2857142857142858,0.4285714285714285,0.51136364,,,,12.857142857142858,,6.049136829376221,,-0.0835589617490768,Kevin Beirne,638,150312,0.83333333,0.125,0.15,-0.025,0.3823529411764705,2.7142857142857144,280.195557038319,135.30789071095987,,6.808006027766637,,0,0,0,,,40,13,10,10,1,6,1,0,0,0,5,-0.2350039780139923,-0.4717219471931457,0.2367179840803146,-7.034999847412109,-0.7016584873199463,0.5477608442306519,0.6226789951324463,0.6305199861526489,1.0977333784103394,3,-0.3977041840553283,-0.0313224258040585,0,1,2001,,,,,,,,,,
Eddie Oropesa,PHI,1,0,0,30,0,19.0,7.105263157894737,8.052631578947368,0.4736842105263157,0.2777777777777778,0.7278481,,,,4.7368421052631575,,4.838610513586747,,-0.0849902927875518,Eddie Oropesa,69,400280,0.88235294,0.17241379,0.1954023,-0.02298851,0.2285714285714285,1.736842105263158,110.85540072082128,112.31472585748288,,-0.1017684083235899,,0,0,0,,,87,16,10,10,1,17,6,0,1,0,15,0.2291480451822281,-1.3987419605255127,1.6278899908065796,-0.5769999027252197,-0.0621287003159523,1.1228424310684204,1.5581470727920532,1.714753270149231,1.329938530921936,26,0.1766832917928695,0.02739524927561,7,4,2001,,,,,,,,,,
Dave Maurer,SDP,0,0,0,3,0,5.0,7.2,7.2,1.8,0.3888888888888889,0.56603774,,,,10.8,,6.44913682937622,,-0.0858364030718803,Dave Maurer,394,276531,1.0,0.14814815,0.14814815,0.0,0.3478260869565217,2.4,265.4283414775427,152.31733940415862,,4.35086317062378,,0,0,0,,,27,8,6,6,1,4,0,0,1,0,4,-0.1960839927196502,-0.2293899953365326,0.033305998891592,-4.984999656677246,-0.5233169794082642,0.2329866737127304,0.3455666899681091,0.5513333678245544,0.7759999632835388,2,-0.2734685242176056,-0.5681418116654644,0,2,2001,,,,,,,,,,
Matt Perisho,DET,2,3,0,30,4,39.1,4.3474598758296,3.2033914874533895,1.1440683883762106,0.3402777777777778,0.66153846,,,,5.720341941881053,,5.108459928453399,,-0.0894719529896974,Matt Perisho,1423,120419,1.35714286,0.10215054,0.07526882,0.02688172,0.3214285714285714,1.7288144535462735,132.17724410296097,118.18502944319827,,0.6118820134276532,,0,0,0,,,186,54,29,25,5,14,1,4,0,0,19,-2.0148820281028748,-4.516280174255371,2.501397967338562,-12.38380002975464,-1.1895863711833954,0.9240791223209756,1.0707140236065305,1.385799972216288,1.1260720539093017,25,-0.6611437946557999,-1.5192777508955913,5,5,2001,,,,,,,,,,
Brad Voyles,KCR,0,0,0,7,0,9.1,5.785714482774546,7.714285977032729,0.9642857471290912,0.1666666666666666,0.79365079,,,,3.857142988516365,,6.049136931555616,,-0.0900900959968566,Brad Voyles,1490,400143,0.75,0.15,0.2,-0.05,0.1612903225806451,1.392857190297576,80.2599644374397,131.6327847020611,,-2.191993943039251,,0,0,0,,,40,5,4,4,1,8,0,1,0,0,6,0.172791987657547,-0.2549560070037842,0.4277479946613312,0.7249999046325684,0.0556999929249286,0.5347108244895935,0.518339991569519,0.4924857318401336,0.7950000166893005,4,0.163147896528244,0.1600024489364939,1,0,2001,,,,,,,,,,
Paul Rigdon,MIL,3,5,0,15,15,79.1,5.558823885802189,5.2184877295285865,1.4747900105189482,0.2931726907630522,0.71061644,,,,5.785714656651258,,5.797036165214945,,-0.0944515690207481,Paul Rigdon,1010955,282331,1.06521739,0.13611111,0.12777778,0.00833333,0.2765273311897106,1.6638656528931723,132.36116255651166,130.36634675124614,,-0.0113215085636868,,6,0,0,,,360,86,52,51,13,46,6,3,1,0,49,-0.5680440068244934,-7.200697898864746,6.632654190063477,-6.799000263214111,-0.6158702969551086,1.0981227159500122,0.9411320090293884,0.8700000047683716,1.2163466215133667,15,-0.9037483930587769,0.3864619381172952,0,0,2001,,,,,,,,,,
Greg Swindell,ARI,2,6,2,64,0,53.2,7.043481097942345,1.3416154472271131,2.0124231708406697,0.2565789473684211,0.75829384,,,,4.527952134391507,,4.837957425679038,,-0.0955372974276542,Greg Swindell,76,123057,5.25,0.19626168,0.03738318,0.15887851,0.2475728155339805,1.0993793248111066,100.13684893445014,108.71101153953464,,-0.3100052912875313,,0,0,0,,,214,51,27,27,12,8,2,0,1,0,42,-0.0459500551223754,-4.324118137359619,4.278167724609375,3.063999891281128,0.3707408308982849,0.9874421954154968,1.2561053037643433,1.2668561935424805,1.2453782558441162,46,-0.1796805262565612,0.1331461009142853,16,11,2001,,,,,,,,,,
