fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
,1.29,4.204580250621073,,4.252092263480875,3.721184188627576,,0.16337719,0.04495614,0.11842105,218.1,35,35,,,,0.457431457,1.3603053752009355,0.2777777777777778,0.72710952,0.145374449,0,0.2575057736720554,1.2091603335119427,96.99643000804696,97.13909630060668,3.873804649822345,,,1.7017539739608765,0.0876081327964095,149,41,5,33,20,1,0
,4.76,3.4556314892982116,,4.064399793953453,4.619504589540682,,0.10507246,0.06400966,0.0410628,195.1,30,30,,,,0.462797619,0.6911262978596423,0.2857142857142857,0.73469388,0.068181818,0,0.2672750977835723,1.3208191470206498,75.74331890026204,92.40832011033906,4.80605545453207,,,0.590597927570343,-0.8757651653612893,87,53,8,15,22,1,1
,3.28,3.862774066810246,,4.3426590211522775,4.3664318104916475,,0.17943337,0.0933893,0.08604407,228.1,35,35,,,,0.409022556,1.0248176095619022,0.2431192660550458,0.72226656,0.10441767,0,0.217391304347826,1.200000106922911,91.02721019627208,100.51967291281072,4.370853349035569,,,0.3989401161670685,-1.7720703445868953,171,89,13,26,21,0,0
,1.76,4.395348447280844,,3.8804962060205295,4.2508926331995065,,0.21796565,0.11228534,0.10568032,172.0,29,29,,,,0.383196721,0.8372092280534941,0.2962962962962963,0.7029877,0.081218274,0,0.239880059970015,1.4244184782854588,103.83313202678468,93.63976603701842,4.179204269053759,,,-0.2165881097316742,-0.6416364627882256,165,85,5,16,16,0,0
,3.23,4.451086956521739,,3.8298137747723127,3.777818202745656,,0.13717949,0.02692308,0.11025641,184.0,30,30,,,,0.481832543,1.0271739130434785,0.319935691318328,0.70262919,0.109947643,0,0.2933333333333333,1.309782608695652,98.45880018572988,90.63351460722524,3.886442201526796,,,-0.2543019354343414,-0.2527595389299926,107,21,9,21,17,2,0
,3.63,3.6719998879394566,,3.8480311408081063,3.379323527040619,,0.2681883,0.08416548,0.18402283,166.2,27,27,,,,0.369266055,1.3499999588012708,0.2776470588235294,0.77777778,0.139664804,0,0.2241379310344827,1.2119999630126963,84.37955929979566,88.73578806433147,3.2543171740227734,,,0.6214239001274109,-0.087364204443716,188,59,4,25,20,1,0
,-0.17,4.485759710276143,,3.959904629182138,3.6189020812249177,,0.13296089,0.06256983,0.07039106,210.2,34,34,,,,0.617021276,0.8117088999547306,0.286743515850144,0.62893082,0.149606299,0,0.2620192307692308,1.300632974196469,105.00401045002113,93.95336793686164,3.5908822993247087,,,-0.634263813495636,-0.8628003575981126,119,56,7,19,20,2,0
,3.22,3.724137931034482,,4.261410476421488,4.652003735333241,,0.13876147,0.08027523,0.05848624,203.0,34,34,,,,0.388719512,0.8866995073891626,0.2955589586523736,0.75285171,0.081300813,0,0.2682619647355164,1.3940886699507389,83.40761000404991,96.58959036159224,4.748383266386467,,,1.2575100660324097,0.6356845187562481,121,70,8,20,18,0,0
,4.04,1.3787236280601385,,2.151945918779536,2.876462169940381,,0.26143791,0.05882353,0.20261438,78.1,71,0,,,,0.556650246,0.2297872713433564,0.2376237623762376,0.78034682,0.033333333,43,0.176056338028169,0.8680852472971242,31.99990506863094,50.27666530201269,2.3958998936780143,,,3.1519501209259033,-0.6791491267490384,80,18,4,2,0,0,0
,1.47,3.6081078601110055,,4.1551662231902355,3.435012897436865,,0.15631692,0.05888651,0.09743041,222.0,35,35,,,,0.631205673,1.1351350571135748,0.2785714285714286,0.69729286,0.189189189,0,0.2551487414187643,1.2522521661808483,86.80075381655175,97.56801550818108,3.3971821468483547,,,-1.4140636920928955,-1.409067641725308,146,55,5,28,23,2,2
,0.76,4.110726860639149,,3.99061945261646,3.86633009666236,,0.14303178,0.04523227,0.09779951,192.2,31,31,,,,0.485893416,1.0276817151597872,0.2949526813880126,0.68548387,0.115789473,0,0.2703751617076326,1.2768166764106448,99.31606622135357,95.30149306800811,4.005304473405772,,,-1.4809179306030271,-1.1116172915467035,117,37,8,22,16,2,0
,3.1,4.570680263125413,,4.035737891215641,4.254826247096829,,0.17590361,0.08192771,0.0939759,191.0,32,32,,,,0.453625632,0.8481674715078087,0.2989690721649484,0.6937799,0.09,0,0.257372654155496,1.3612564357532733,101.1042244592748,95.46619360498993,4.181158620030126,,,1.2148782014846802,0.477932029594375,146,68,16,18,18,1,0
,3.39,4.4081635148914184,,4.005188921298606,3.930052470434454,,0.18537859,0.0613577,0.12402089,179.2,30,30,,,,0.445438282,1.1521336459375298,0.3217550274223035,0.72463768,0.111111111,0,0.2794943820224719,1.369202303867789,102.31261083267296,92.93730113300116,3.8699576887407714,,,-0.0330859757959842,-0.550675470001922,142,47,7,23,16,2,2
,2.11,2.7000002942766783,,2.205745363040837,2.8140296141009684,,0.34057971,0.07971014,0.26086957,70.0,69,0,,,,0.367741935,0.6428572129230187,0.2645161290322581,0.75409836,0.064102564,43,0.1811023622047244,0.9714286773058948,62.31038323920683,52.79557802145642,2.1178352834650926,,,2.8263299465179443,-0.4127866352752909,94,22,0,5,0,0,0
,2.42,2.4312803241401633,,2.110078296223032,2.429676314009488,,0.34482759,0.08965517,0.25517241,70.1,69,0,,,,0.443037974,0.511848489292666,0.3164556962025316,0.81151832,0.074074074,36,0.2061068702290076,1.1374410873170355,56.03047525439114,47.81367642219454,2.1285325796725587,,,1.7209880352020264,-0.3875600421465368,100,26,2,4,0,0,0
,0.62,4.5428568127690765,,4.343840593696999,4.358370296695455,,0.10472973,0.05518018,0.04954955,210.0,33,33,,,,0.5125,0.9857142140914036,0.2928870292887029,0.66849101,0.105022831,0,0.2797118847539016,1.342857045283941,105.91844660124856,100.6206968809503,4.537506433821938,,,-0.6029878854751587,-0.0904670784689678,93,49,6,23,19,1,0
,2.42,4.275,,4.39503116607666,4.865433056205511,,0.11751152,0.05990783,0.05760369,200.0,32,32,,,,0.369252873,1.035,0.2957540263543192,0.73575949,0.080701754,0,0.2784653465346535,1.385,101.81775351174468,102.74812537287524,4.860599539516646,,,-0.099169909954071,1.3718907526624295,102,52,8,23,19,1,0
,1.99,2.29245291268881,,2.128521700031012,2.1455454417179856,,0.35395189,0.0790378,0.27491409,70.2,70,0,,,,0.462025316,0.6367924757468917,0.3375796178343949,0.81818182,0.104166666,42,0.2188679245283019,1.146226456344405,54.39184618780472,49.29824347652932,1.8951275438150088,,,2.7560160160064697,0.5683827675758559,103,23,3,5,0,0,0
,1.09,4.518594756412049,,4.024163334168227,4.050171401981997,,0.21927374,0.12150838,0.09776536,161.1,29,29,,,,0.527472527,0.7809916862934405,0.29082774049217,0.67446043,0.103703703,0,0.233009708737864,1.4318180915379743,104.13402731472569,90.53530666159556,4.083440465585232,,,-0.4598039984703064,-0.8927280536280546,157,87,11,14,12,0,0
,1.84,4.2187497126204825,,4.4664596389751114,4.085359121559998,,0.1688172,0.04623656,0.12258065,224.0,34,34,,,,0.407460545,1.4062499042068275,0.2732644017725258,0.73275862,0.130597014,0,0.2531645569620253,1.1741070628774464,101.49104999526064,104.92738306702198,3.967477025985168,,,-0.6710699200630188,-0.9578214653746508,157,43,18,35,21,3,2
