Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,fWAR,NameASCII,PlayerId,MLBAMID,AB,H,1B,2B,3B,BB,IBB,SO,HBP,SF,SH,GDP,CS,BB/K,OPS,Spd,UBR,wGDP,XBR,wSB,wRC,wRAA,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,PB,WP,FP,TZ,Pos,Year,bWAR,TB,XBH,BatSpd,Squared-Up%,EV,Barrel%,HardHit%,xBA,xSLG,maxEV,FRV,OAA,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,DRS
Delino DeShields,MON,151,673,10,83,51,56,0.141158989,0.224368499,0.094138543,0.304668304,0.238010657,0.347368421,0.3321492,0.316677234740998,,100.0183398082678,2.090117045561783,2.1041123380791116,-9.22039806842804,1.575910989525161,Delino DeShields,275,113291,563,134,105,15,4,95,2,151,2,5,8,6,23,0.629139072,0.679517621,6.370549949429584,,,,2.090117045561783,75.17074492845217,-0.7296517091663834,1.266450047492981,-11.724390029907228,12.990839958190918,9.839400291442873,1.196163296699524,1.0829037427902222,1.718400001525879,6,0.8560503721237183,0.3134441983076586,145.0,1297.1,285.0,405.0,27.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9623431,-11.0,2B,1991,1.51,187,29,,,,,,,,,,,,,,,,,,
Dave Magadan,NYM,124,517,4,58,51,1,0.160541586,0.096711798,0.083732058,0.28032345,0.258373205,0.378431372,0.342105263,0.3352262382441489,,112.85742346130785,-0.2160437275160802,7.321270403560567,-9.057612419128418,1.5687132124849477,Dave Magadan,1007961,118132,418,108,81,23,0,83,3,50,2,7,7,5,1,1.66,0.720536635,1.8060019513029135,,,,-0.2160437275160802,65.14210413318426,6.835261545296027,1.6568976640701294,-7.538209915161133,9.195108413696287,18.945999145507812,2.096978664398194,0.9860472083091736,0.2452999949455261,6,1.7249712944030762,-0.0446281525049332,115.0,1029.0,1035.0,90.0,5.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99557522,-2.0,1B,1991,1.49,143,27,,,,,,,,,,,,,,,,,,
Scott Leius,MIN,109,235,5,35,20,5,0.127659574,0.14893617,0.130653267,0.325,0.28643216,0.378260869,0.417085427,0.3606581674913131,,119.3701864886811,-0.9840991246746852,4.39021338297171,2.9341564178466797,1.5471388594988678,Scott Leius,1007505,117657,199,57,43,7,2,30,1,35,0,1,5,4,5,0.857142857,0.795346296,4.9065827662093415,,,,-0.9840991246746852,34.219189616577935,7.716079349356009,0.7308457493782043,-3.075587749481201,3.806433916091919,2.2094998359680176,0.232388898730278,0.8105610609054565,0.4650666713714599,30,0.6536486148834229,0.2480055412658939,52.0,521.2,56.0,129.0,7.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9527027000000001,2.0,3B,1991,1.84,83,14,,,,,,,,,,,,,,,,,,
Chito Martinez,BAL,67,228,13,32,33,1,0.048245614,0.22368421,0.24537037,0.294117647,0.268518518,0.302631578,0.513888888,0.3586871681506173,,124.01281025005376,-0.2005197146645514,6.263446654255434,1.2908098697662354,1.5370046425296957,Chito Martinez,1008159,118379,216,58,32,12,1,11,0,51,0,1,0,2,1,0.215686274,0.816520466,3.5619071383562853,,,,-0.2005197146645514,32.8533219688002,7.13966604996361,0.339894026517868,-4.183729648590088,4.523623943328857,6.28000020980835,0.643096923828125,1.04428231716156,1.981124997138977,8,0.8301374316215515,-0.5046564568582076,53.0,442.0,114.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9821428599999997,4.0,RF,1991,2.03,111,26,,,,,,,,,,,,,,,,,,
Lance Parrish,CAL,119,445,19,38,51,0,0.078651685,0.262921348,0.171641791,0.252788104,0.21641791,0.285393258,0.388059701,0.3024366341918101,,85.36257800696556,-0.4071174231066834,-8.097463014543031,8.602996826171875,1.5241780930363502,Lance Parrish,1010021,120248,402,87,56,12,0,35,2,117,5,3,0,7,1,0.299145299,0.673452959,0.902300043588964,,,,-0.4071174231066834,44.81706863032726,-5.369672088454686,-1.443631887435913,-7.534457683563232,6.090826034545898,-4.701999664306641,-0.5939405560493469,0.9072005152702332,1.6919599771499634,5,-0.2529289424419403,-1.3383751442911784,103.0,929.2,670.0,57.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,19.0,23.0,1.9972105999999998,3.0,C,1991,1.27,156,31,,,,,,,,,,,,,,,,,,
Darryl Hamilton,MIL,122,448,1,64,57,16,0.073660714,0.084821428,0.074074074,0.338753387,0.311111111,0.360544217,0.385185185,0.3367340553865889,,109.84589705273628,0.8127938549878309,6.020596965585774,-6.087335109710693,1.512297813765691,Darryl Hamilton,1005272,115378,405,126,104,15,6,33,2,38,0,3,7,10,6,0.868421052,0.745729402,6.647921739110569,,,,0.8127938549878309,56.969044546602575,6.443966249941205,1.7532180547714231,-7.286159515380859,9.03937816619873,14.094599723815918,1.3660404682159424,1.0327991247177124,1.107066631317139,3,0.4138720631599426,1.283668158178469,103.0,916.4,234.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98969072,-4.0,RF,1991,1.74,156,22,,,,,,,,,,,,,,,,,,
Glenn Braggs,CIN,85,279,11,36,39,11,0.082437275,0.164874551,0.172,0.274111675,0.26,0.322580645,0.432,0.333375055288923,,107.64389639159316,1.0065909865952565,3.424784879063676,2.1725006103515625,1.502489739766113,Glenn Braggs,1001333,111371,250,65,44,10,0,23,3,46,2,4,0,4,3,0.5,0.754580645,4.628491189768615,,,,1.0065909865952565,34.7557413511767,3.2903466083898216,0.1625301539897918,-4.813518047332764,4.976047992706299,5.016000270843506,0.5456925630569458,1.0316201448440552,1.7167249917984009,16,0.5329844355583191,-0.3754359863523754,61.0,549.2,138.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93630103,5.0,LF,1991,1.55,108,21,,,,,,,,,,,,,,,,,,
Kevin Elster,NYM,115,394,6,33,36,2,0.101522842,0.134517766,0.109195402,0.266211604,0.24137931,0.318066157,0.350574712,0.3000227833595079,,88.91400760472415,-0.7971606766659534,-5.7498709491148,7.339505672454834,1.4834281932068367,Kevin Elster,1003758,113828,348,84,60,16,2,40,6,53,1,4,1,4,3,0.754716981,0.668640869,2.672106986955742,,,,-0.7971606766659534,38.947265086991,-5.487736807840654,-0.8352282643318176,-6.519927978515625,5.684700012207031,-0.9859998226165771,-0.1112676337361335,0.997167706489563,1.412766695022583,12,-0.6678710579872131,-0.1697295370743354,98.0,865.0,149.0,299.0,14.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96969697,2.0,SS,1991,1.21,122,24,,,,,,,,,,,,,,,,,,
Dave Hollins,PHI,56,172,6,18,21,1,0.098837209,0.15116279,0.211920529,0.325,0.298013245,0.377906976,0.509933774,0.3924757841734858,,149.71185981756224,-0.2009078149858396,9.49437725209372,-0.9934843620285392,1.4814732050340982,Dave Hollins,1391,116083,151,45,27,10,2,17,1,26,3,1,0,2,1,0.653846153,0.88784075,3.796848286329305,,,,-0.2009078149858396,29.266084417818085,9.868063286064164,0.5769479870796204,-3.318985939025879,3.8959338665008545,9.893000602722168,1.1111035346984863,1.1581114530563354,1.9708499908447263,16,1.31263267993927,-0.8144526597374016,38.0,313.0,67.0,62.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90094562,-1.0,3B,1991,1.4,77,18,,,,,,,,,,,,,,,,,,
Alex Cole,CLE,122,452,0,58,21,27,0.128318584,0.1039823,0.059431524,0.333333333,0.294573643,0.386160714,0.354005167,0.3423339915649773,,111.70619172419404,-1.3338023907126626,4.91325246690435,-5.513031989336014,1.4804237945375511,Alex Cole,1002411,112464,387,114,94,17,3,58,2,47,1,2,4,7,17,1.234042553,0.740165881,5.623236903680728,,,,-1.3338023907126626,59.42976255477011,8.453567487602822,-0.7650600075721741,-8.813580513000488,8.0485200881958,-1.945500373840332,-0.1898569166660308,1.1047890186309814,0.6755750179290771,8,0.8128483295440674,-1.5053425475986706,95.0,846.0,256.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88953489,-6.0,CF,1991,1.5,137,20,,,,,,,,,,,,,,,,,,
