Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Art Mahaffey,1007979,118152,PHI,2.9225552082061768,,2.89,4.103344131131364,,3.786653216384914,,,,0.17248908,0.07641921,0.09606987,219.1,36,32,,,,,1.1079029154054685,0.2721712538226299,0.7043407,,0,0.2443384982121573,1.2537995956234724,101.80612011013936,96.24075636416104,,,,,,158,70,7,27,,12,3
Billy O'Dell,1009724,119931,SFG,2.907953977584839,,1.02,3.590793819790686,,2.6659586984776436,,,,0.19855596,0.05956679,0.13898917,130.1,46,14,,,,,0.6905372730366703,0.305,0.67763158,,2,0.2538461538461538,1.265985000567229,92.21320934961318,70.83528979281697,,,,,,110,33,1,10,,4,1
Harvey Haddix,1005184,115289,PIT,2.7432215213775635,,2.47,4.096153846153846,,3.3815793697650616,,,,0.15325077,0.06346749,0.08978328,156.0,29,22,,,,,0.8653846153846154,0.294478527607362,0.71823204,,0,0.263681592039801,1.2820512820512822,101.98233285275772,86.49140502998344,,,,,,99,41,2,15,,5,2
Dick Hall,1005241,115350,BAL,2.683800220489502,,1.91,3.089919155419543,,2.8681650768746154,,,,0.18813906,0.06134969,0.12678937,122.1,29,13,,,,,0.7356950370046531,0.2577030812324929,0.72033898,,4,0.2222222222222222,1.0790193876068246,80.88196042957001,73.22911268848665,,,,,,92,30,0,10,,4,2
Billy Hoeft,1005893,116015,BAL,2.6829674243927,,4.14,2.0217391304347827,,3.001423293956812,,,,0.17857143,0.09821429,0.08035714,138.0,35,12,,,,,0.4565217391304347,0.2493702770780856,0.82128778,,3,0.2103174603174603,1.1666666666666667,52.92119829735049,76.71728998336927,,,,,,100,55,1,7,,3,1
Joe McClain,1008389,118571,WAS,2.568201065063477,,1.96,3.8632075471698113,,3.941811590374641,,,,0.08510638,0.0537514,0.03135498,212.0,33,29,,,,,0.9339622641509434,0.2678331090174966,0.69364162,,1,0.262782401902497,1.268867924528302,98.20395468040972,98.40725975421547,,,,,,76,48,4,22,,7,2
Ralph Terry,1012929,123200,NYY,2.5671684741973877,,2.2,3.1539828971357844,,3.657073107553731,,,,0.11451398,0.05592543,0.05858855,188.1,31,27,,,,,0.9079647734178772,0.2371475953565505,0.73430493,,0,0.2288135593220339,1.0831860454809763,83.06637600975832,94.45669486231502,,,,,,86,42,1,19,,9,2
Tom Sturdivant,1012654,122910,- - -,2.564844071865082,,2.81,3.6941641960174936,,3.6060799991952894,,,,0.12209302,0.08284884,0.03924419,165.2,28,21,,,,,0.6519113287089695,0.256120527306968,0.71800208,,1,0.2360446570972886,1.237424281345729,93.13935978494568,91.16122115114536,,,,,,84,57,4,12,,7,2
Hal Brown,1001520,111550,BAL,2.539379119873047,,2.93,3.185999319397118,,3.5458868544311968,,,,0.09131737,0.0494012,0.04191617,166.2,27,23,,,,,0.755999838501011,0.2486583184257602,0.74671446,,1,0.2413249211356466,1.1159997615967303,83.39696215939541,90.96920983583308,,,,,,61,33,1,14,,6,3
Mike McCormick,1008420,118598,SFG,2.523617744445801,,4.32,3.204,,3.9098870620727544,,,,0.15779284,0.07260407,0.08518877,250.0,40,35,,,,,1.188,0.2657894736842105,0.8013544,,0,0.2458158995815899,1.24,82.28016911686204,102.77993277841846,,,,,,163,75,2,33,,13,3
