Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Roger Pavlik,1010087,120315,TEX,3.189545154571533,,3.44,4.366956405853101,,4.3085143068007135,,,,0.18192918,0.10989011,0.07203907,191.2,31,31,,,,,6.996521553463571,4.226086844373969,1.65555556,0.8921738893678379,0.2782764811490125,0.71251036,,0,0.24,1.3773912677959603,89.56459098981804,91.6137296647996,,,,1.5703381299972534,-0.3454619581668059,149,90,4,19,16,2,1,93
Bob Tewksbury,1012941,123213,TEX,3.1526236534118652,,1.1,4.580977223137096,,3.6200064995839374,,,,0.09447415,0.03565062,0.05882353,129.2,21,21,,,,,3.678663527670698,1.3881749161021502,2.65,0.5552699664408601,0.3375262054507337,0.64712389,,0,0.3141263940520446,1.4575836619072575,93.9540753770804,77.0985441375059,,,,-0.1136878728866577,-0.4631002317799139,53,20,3,8,10,4,1,66
Joey Hamilton,328,115383,SDP,3.1225159764289856,,4.62,3.0831970331326133,,3.9646345313385183,,,,0.14470588,0.06588235,0.07882353,204.1,31,30,,,,,5.417617643933021,2.4665576265060905,2.19642857,0.7487764223322061,0.2674961119751166,0.71920758,,0,0.2413793103448276,1.1990210684404607,76.33407037453698,93.61857010863912,,,,0.8654959537088871,-0.6785970149158049,123,56,11,17,19,2,2,70
Kevin Ritz,1010998,121244,COL,3.062731310725212,,4.52,4.205769122782546,,4.147527689898508,,,,0.1615074,0.08748318,0.07402423,173.1,31,28,,,,,6.230769070788957,3.3749999133440185,1.84615385,0.8307692094385277,0.2891791044776119,0.68761384,,2,0.2544642857142857,1.3615384265798092,81.68206505359667,88.42754203136734,,,,0.7360001057386398,-0.8892936385373064,120,65,6,16,13,0,0,81
Pedro Martínez,200,118377,MON,3.0351741313934326,,4.73,3.513698538330848,,3.904666789554705,,,,0.22193878,0.08418367,0.1377551,194.2,30,30,,,,,8.044520337757467,3.0513697832873152,2.63636364,0.9708903855914184,0.267578125,0.75875486,,0,0.2234794908062234,1.1506849014416811,83.11461532922938,93.20095133170491,,,,1.5417319536209106,0.2640504538912684,174,66,11,21,17,2,2,76
Kenny Rogers,1277,121386,TEX,3.021094799041748,,5.79,3.3750002475885426,,4.50714320431095,,,,0.15963512,0.08665906,0.07297606,208.0,31,31,,,,,6.057692752082,3.288461779701657,1.84210526,1.125000082529514,0.2622432859399684,0.78339041,,0,0.2403003754693366,1.2884616329825205,69.21995290831184,95.801242526996,,,,2.7769298553466797,1.2037678154962514,140,76,2,26,18,3,1,78
Mark Gubicza,1005115,115217,KCR,2.9724721908569336,,4.4,3.754687052406424,,4.579859271459302,,,,0.09020045,0.06904232,0.02115813,213.1,33,33,,,,,3.4171870926395544,2.6156246881932392,1.30645161,0.8859373943880327,0.2760989010989011,0.74059862,,0,0.2674698795180723,1.331249841302652,78.05083346368727,97.00944239338368,,,,0.7843160033226013,0.0825866658181105,81,62,6,21,20,3,2,89
Al Leiter,883,117652,TOR,2.95188045501709,,5.69,3.6393439588416294,,4.365591924194588,,,,0.19006211,0.13416149,0.05590062,183.0,28,28,,,,,7.524589536523909,5.311474966958054,1.41666667,0.737704856521952,0.2810707456978967,0.76862745,,0,0.2344428364688856,1.475409713043904,77.0862397098623,92.63886919249838,,,,1.537443995475769,0.1808734970894161,153,108,6,15,12,2,1,74
Curt Schilling,73,121811,PHI,2.7519009113311768,,2.15,3.568965517241379,,3.2326072923068345,,,,0.2410148,0.05496829,0.18604651,116.0,17,17,,,,,8.844827586206897,2.0172413793103448,4.38461538,0.9310344827586208,0.2641509433962264,0.67467652,,0,0.2162162162162162,1.0517241379310345,85.17601530091406,76.97243980209797,,,,0.5572119951248169,-0.9250484037167211,114,26,3,12,11,1,0,46
Tom Candiotti,1001911,111954,LAD,2.745197057723999,,1.32,3.499124156243792,,3.907149794183903,,,,0.17364532,0.07142857,0.10221675,190.1,30,30,,,,,6.66725008149155,2.742556771109999,2.43103448,0.851138308275517,0.2883959044368601,0.70367133,,0,0.2510067114093959,1.2872153427623558,90.15505813642108,95.38855680271212,,,,-0.2466519325971603,0.5462176524257192,141,58,9,18,21,1,1,74
