Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,fWAR,NameASCII,PlayerId,MLBAMID,AB,H,1B,2B,3B,BB,IBB,SO,HBP,SF,SH,GDP,CS,BB/K,OPS,Spd,UBR,wGDP,XBR,wSB,wRC,wRAA,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,Pace,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Pos,Year,TB,XBH,BatSpd,EV,Barrel%,HardHit%,xBA,xSLG,maxEV,TZ
Russ Ortiz,SFG,12,19,0,0,3,0,0.0,0.210526315,0.058823529,0.23076923,0.176470588,0.176470588,0.235294117,0.1791393336127786,,-3.218740028946663,-0.006453005131334,-2.5526839269817425,2.046795129776001,0.0118536924777354,Russ Ortiz,1124,133460,17,3,2,1,0,0,0,4,0,0,2,0,0,0.0,0.411764705,0.14285714,,,,-0.006453005131334,-0.0727704114772929,-2.4219961113788737,-0.1527518928050995,-0.410863995552063,0.2581120133399963,-2.2939999103546143,-0.2252926230430603,1.048558473587036,,0,-0.308725893497467,0.1630479016134786,0.14285714,0.45454545,0.33333333,0.0,1.0,0.16666667000000002,0.61111111,,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,P,2007,4,1,,,,,,,,
Aníbal Sánchez,FLA,6,14,0,1,0,0,0.142857142,0.5,0.0,0.25,0.09090909,0.23076923,0.09090909,0.1783398664914644,,-2.944407174405517,-0.0096795076970011,-1.880863210373523,1.5081647634506226,0.0087403209812416,Anibal Sanchez,3284,434671,11,1,1,0,0,2,0,7,0,0,1,0,0,0.285714285,0.32167832,1.60119047125,,,,-0.0096795076970011,-0.0630122068812719,-1.7940206173350683,-0.2146500945091247,-0.2965579926967621,0.0819080024957656,-1.943000078201294,-0.1918130964040756,1.0209578275680542,,0,-0.2237804979085922,0.0135366575528878,,,,,,,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,P,2007,1,0,,,,,,,,
Craig Brazell,KCR,5,5,0,1,0,0,0.2,0.2,0.0,0.333333333,0.25,0.4,0.25,0.3214368939399719,,90.57736748786974,-0.006453005131334,-0.0655382567031781,-0.0257201641798019,0.0079758206840594,Craig Brazell,2081,425513,4,1,1,0,0,1,0,1,0,0,0,0,0,1.0,0.65,2.64285714,-0.1000000014901161,0.1000000014901161,,-0.006453005131334,0.5778747929313679,-0.0403424965164165,-0.0550080016255378,-0.0576319843530654,0.0026240069419145,0.0550000071525573,0.0054372996091842,0.4031200110912323,0.5013999938964844,4,0.0119493026286363,-0.1484049488681595,0.4,0.88888889,0.63157895,0.25,0.875,0.33333333,0.47368421,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1B,2007,1,0,,,,,,,,
Chad Gaudin,OAK,34,5,0,1,0,0,0.2,0.4,0.0,0.0,0.0,0.25,0.0,0.1778084486722946,,-1.3467859242988045,-0.003226502565667,-0.6387283471538131,0.5386303067207336,0.0071134399593289,Chad Gaudin,1783,429985,3,0,0,0,0,1,0,2,0,0,1,0,0,0.5,0.25,2.64285714,,,,-0.003226502565667,-0.0247339808972929,-0.6429512703450774,-0.0615819804370403,-0.1009140014648437,0.0393319986760616,-0.625999927520752,-0.0624522268772125,1.0592001676559448,,0,-0.0692372024059295,0.0110971243380381,,,,,,,,,199.1,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,P,2007,0,0,,,,,,,,
Kyle Lohse,- - -,35,65,0,1,2,0,0.03076923,0.184615384,0.0,0.210526315,0.163265306,0.207547169,0.163265306,0.1760584869474735,,-7.239737168179062,-0.0354915282223373,-9.085619726021076,7.002193927764893,0.0061379660555644,Kyle Lohse,739,346798,49,8,8,0,0,2,0,12,1,1,12,0,0,0.166666666,0.370812475,0.14285714,,,,-0.0354915282223373,-0.3536135168171033,-8.390438279638301,-0.6299960315227509,-1.0782479643821716,0.4482520073652267,-9.54699993133545,-0.9299722015857697,0.8687539494954623,,0,-0.7811581492424011,0.0559861579223875,0.27272727,0.5,0.43243243,1.0,0.92307692,0.0625,0.7027027,,192.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,P,2007,8,0,,,,,,,,
Bronson Arroyo,CIN,34,79,1,5,3,0,0.025316455,0.379746835,0.071428572,0.23076923,0.142857142,0.178082191,0.214285714,0.1772814654324152,,-7.543474570915792,-0.0322650256566703,-11.06280540253701,8.510358810424805,0.0054812157165825,Bronson Arroyo,978,276520,70,10,7,2,0,2,0,30,1,0,6,1,0,0.066666666,0.392367905,1.79058440875,,,,-0.0322650256566703,-0.4257309436585226,-10.193564116933516,-0.9159680008888244,-1.637984037399292,0.7220159769058228,-11.854999542236328,-1.1534723043441772,0.9661163091659546,,0,-0.9302127957344056,-0.0178800914248817,0.32075472,0.57627119,0.45535714,0.47058824,0.76470588,0.33333333,0.52678571,,210.2,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,P,2007,15,3,,,,,,,,
Odalis Perez,KCR,26,5,0,1,0,0,0.0,0.4,0.0,0.333333333,0.2,0.2,0.2,0.1791901350021362,,-4.5993090812323585,-0.003226502565667,-0.6591235125943913,0.5386303067207336,0.0051237165946569,Odalis Perez,668,136602,5,1,1,0,0,0,0,2,0,0,0,0,0,0.0,0.4,2.64285714,,,,-0.003226502565667,-0.0189369655255122,-0.6371542549732967,-0.0729040056467056,-0.1135759949684143,0.0406720004975795,-0.4049999713897705,-0.0403054989874362,1.169039964675903,,0,-0.0610766001045703,-0.0012856867714963,,,,,,,,,137.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,P,2007,1,0,,,,,,,,
Jon Lieber,PHI,14,22,0,2,1,0,0.181818181,0.363636363,0.0,0.111111111,0.058823529,0.238095238,0.058823529,0.1781374216079712,,-6.020408926612602,-0.0161325128283351,-3.044424792928744,2.3699731826782227,0.0050732836235103,Jon Lieber,287,117758,17,1,1,0,0,4,0,8,0,0,1,0,0,0.5,0.296918767,2.01785714,,,,-0.0161325128283351,-0.1027564522252711,-2.8229125257955228,0.0527820102870464,-0.3836300075054168,0.4364120066165924,0.4909999668598175,0.0435580164194107,1.1622260808944702,,0,-0.1638204604387283,0.2092350412631617,,0.5,0.5,,1.0,0.0,1.0,,78.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,P,2007,1,0,,,,,,,,
Brian Moehler,HOU,42,5,0,0,0,0,0.0,0.6,0.0,0.5,0.2,0.2,0.2,0.1791901350021362,,-1.6736185607371177,-0.003226502565667,-0.6632568711921467,0.5386303067207336,0.0039488422735604,Brian Moehler,480,119215,5,1,1,0,0,0,0,3,0,0,0,0,0,0.0,0.4,0.14285714,,,,-0.003226502565667,-0.0189369655255122,-0.6371542549732967,-0.0970560014247894,-0.126320019364357,0.029263999313116,-0.3140000104904175,-0.0321858003735542,1.0621600151062012,,0,-0.0627866014838218,-0.0285894624278714,,,,,,,,,59.2,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,P,2007,1,0,,,,,,,,
Brett Myers,PHI,51,9,0,1,0,0,0.222222222,0.444444444,0.0,0.0,0.0,0.25,0.0,0.1778084486722946,,-6.233026679384197,-0.006453005131334,-1.2477842821499268,0.9695345163345336,0.0018473672808602,Brett Myers,962,408206,6,0,0,0,0,2,0,4,0,0,1,0,0,0.5,0.25,2.64285714,,,,-0.006453005131334,-0.0445211656151273,-1.1573122866211394,-0.1373599767684936,-0.1982800066471099,0.0609200000762939,-2.197000026702881,-0.2099866718053817,1.080133318901062,,0,-0.1113167032599449,-0.0158527621799741,0.0,0.25,0.16666667,,0.0,1.0,0.66666667,,68.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,P,2007,0,0,,,,,,,,
