Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
George Uhle,1013266,123550.0,DET,3.3374826908111572,,6.29,3.6527196652719662,,4.492016360550246,,,,0.11641791,0.07462687,0.04179105,239.0,33,29,,,,,0.6778242677824268,0.2797468354430379,0.71136828,,3,0.2583783783783784,1.3138075313807531,76.95239645470878,93.8339710593544,,,,,,117,75,5,18.0,,18,1,97
Danny MacFayden,1007904,118074.0,BOS,3.225734233856201,,4.38,4.210396357651237,,4.460604610841381,,,,0.06501283,0.07955518,-0.01454234,269.1,36,33,,,,,0.3007425969750883,0.2883248730964467,0.6615709,,2,0.2738317757009346,1.4331684250911618,92.75816086079917,97.4338271074728,,,,,,76,93,6,9.0,,18,1,126
Burleigh Grimes,1005061,115162.0,- - -,3.139573290944099,,3.2899999999999996,4.067881514067254,,4.416640371402381,,,,0.08147321,0.07254464,0.00892857,201.1,33,28,,,,,0.4023179519407174,0.3194070080862534,0.65160445,,0,0.2985436893203883,1.5447022599205325,82.72515722556237,90.63074349451612,,,,,,73,65,7,9.0,,11,1,91
Clint Brown,1001504,111538.0,CLE,3.0535781383514404,,1.89,4.9703579861286915,,4.606396816332173,,,,0.05696203,0.05379747,0.00316456,213.2,35,31,,,,,0.5897034898796754,0.3115151515151515,0.61357702,,1,0.303471444568869,1.5070200296925036,101.8941174238572,93.65429136405906,,,,,,54,51,4,14.0,,16,3,118
George Pipgras,1010363,120593.0,NYY,3.0438196659088135,,1.62,4.113122171945701,,4.071542667371655,,,,0.11396304,0.07186858,0.04209446,221.0,44,30,,,,,0.3665158371040724,0.2847938144329897,0.59241706,,4,0.2566964285714285,1.3574660633484164,93.34531545438732,91.53987475642496,,,,,,111,70,8,9.0,,15,3,101
Phil Collins,1002461,112517.0,PHI,3.036169052124023,,5.26,4.7824267782426775,,5.161472427495853,,,,0.07988981,0.07897153,0.00091827,239.0,47,25,,,,,0.8284518828451883,0.2997737556561086,0.66723453,,3,0.2890231621349446,1.5606694560669456,87.12298680577936,95.18680079547802,,,,,,87,86,10,22.0,,17,1,127
Milt Gaston,1004567,114651.0,BOS,2.997725009918213,,5.28,3.923076923076923,,4.553766326065902,,,,0.08425532,0.08340426,0.00085106,273.0,38,34,,,,,0.4945054945054945,0.2668743509865005,0.66475645,,2,0.2525533890436397,1.3553113553113554,86.42830018574732,99.48624893022124,,,,,,99,98,0,15.0,,20,2,119
Ray Benge,1000831,110856.0,PHI,2.946880340576172,,1.09,5.703101020447698,,5.224907318418936,,,,0.06635071,0.07677725,-0.01042654,225.2,38,29,,,,,0.8774001569919536,0.3212258796821793,0.58674902,,1,0.3134635149023638,1.7104871747418893,103.8952017450582,96.3424143408983,,,,,,70,81,1,22.0,,14,0,143
Sad Sam Jones,1006589,116726.0,WAS,2.916177034378052,,2.57,4.074546245833622,,4.16419602784719,,,,0.07623888,0.07750953,-0.00127065,183.1,25,25,,,,,0.1963636744980058,0.2898330804248862,0.64719811,,0,0.2697095435684647,1.396363907541375,88.61213190223425,89.73595093534918,,,,,,60,61,3,4.0,,14,1,83
Willis Hudlin,1006132,116259.0,CLE,2.8622190952301025,,2.67,4.569230018390124,,4.720139749940081,,,,0.06224066,0.07883817,-0.01659751,216.2,37,33,,,,,0.4984614565516499,0.298159509202454,0.63769036,,1,0.2874859075535513,1.5276920566536678,93.67085053627802,95.98606220743152,,,,,,60,76,1,12.0,,13,1,110
Andy Cooper,1014902,,DS,2.7992630004882812,,0.0,3.1042771883086213,,,,,,,,,124.2,19,13,,,,,,,,,2,0.2528901194515382,1.1069515555209035,65.48973250907055,,,,,,,52,19,0,,,11,1,43
Satchel Paige,1009962,120181.0,BBB,2.71018385887146,,2.69,2.8672579922840455,,,,,,,,,75.1,12,8,,,,,,,,,1,0.1966420350303177,0.8097348959691054,60.48943040794863,,,,,,,69,9,1,,,7,2,24
Bill Walker,1013508,123846.0,NYG,2.679237127304077,,2.3,3.925272308783037,,4.775875925319209,,,,0.09767442,0.08186047,0.01581395,245.1,39,34,,,,,0.6970109707184832,0.2785547785547785,0.67200986,,1,0.2627291242362525,1.4103262916292116,80.7743990853974,99.58691237540214,,,,,,105,88,5,19.0,,13,2,107
Vic Sorrell,1012283,122538.0,DET,2.6685426235198975,,5.89,3.8571434456962392,,4.743546737452945,,,,0.0950049,0.10381978,-0.00881489,233.1,35,30,,,,,0.5014286479405111,0.2881987577639751,0.70612981,,1,0.2677595628415301,1.5042859438215332,81.2590230884304,99.1329994703884,,,,,,97,106,0,13.0,,14,2,100
Ray Kremer,1007156,117308.0,PIT,2.64668607711792,,1.95,5.021739130434782,,5.129136607957923,,,,0.04707792,0.05113636,-0.00405844,276.0,39,38,,,,,0.9456521739130436,0.3117483811285846,0.6394453,,0,0.3133561643835616,1.5543478260869563,100.00970682802505,103.41517939617393,,,,,,58,63,1,29.0,,18,1,154
Heliodoro Díaz,1015038,,CSW,2.629873037338257,,0.0,2.9482758620689653,,,,,,,,,116.0,20,12,,,,,,,,,1,0.2429880588725354,1.2155172413793105,62.19863300127763,,,,,,,52,36,1,,,9,0,38
Erv Brame,1001338,111376.0,PIT,2.60794997215271,,2.01,4.697311878745349,,4.956007427291629,,,,0.05263158,0.05358852,-0.00095694,235.2,32,29,,,,,0.8019800768589621,0.2973568281938326,0.61686299,,1,0.2957317073170731,1.4724184479897346,93.54862362841388,99.96725067027192,,,,,,55,56,5,21.0,,22,0,123
