Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
Mike Scioscia,1011667,121919,C,LAD,3.471252486866508,,3.66,5.022268114351316,15.220849990844728,-0.0325995777093339,,,,,111.25953567245531,0.3298604474546983,,,,,0.736335636,0.369501466,0.36683417,0.272727272,0.096774194,0.280254777,114,399,341,29,38,5,23,126,93,70,18,0,2,52,10,26,0.065162907,0.130325814,,,1.8034579753875732,0.2628460831670858,,,,,9.0,,,,,,,
Willie Randolph,1010694,120927,2B,NYY,3.45966772670718,,3.27,6.543526867517514,5.282132625579834,-0.4290591205935925,,,,,108.97079347781076,0.3342121786581977,,,,,0.724991093,0.34751773,0.377473363,0.287234042,0.060283688,0.303605313,142,664,564,86,31,2,28,196,162,134,24,2,10,86,4,42,0.063253012,0.129518072,,,-0.3123506903648376,-0.1051139961859795,,,,,1.0,,,,,,,
Lee Lacy,1007243,117397,RF,PIT,3.3758233515042635,,3.1,18.46432206173285,-3.461248874664306,-0.1613545277214143,,,,,131.83407962862964,0.368186767511217,,,,,0.826339745,0.464135021,0.362204724,0.320675105,0.143459916,0.34739454,138,520,474,66,70,12,41,220,152,111,26,3,21,32,2,61,0.117307692,0.061538461,,,4.173824310302734,0.9632124590837724,,,,,2.0,,,,,,,
Bill Doran,1003406,113472,2B,HOU,3.3185145507378793,,4.04,0.915968039340976,10.3353910446167,-0.5640348837187048,,,,,102.1012214428781,0.3154179162644093,,,,,0.69671179,0.355839416,0.340872374,0.260948905,0.094890511,0.290794979,147,626,548,92,41,4,33,195,143,110,18,11,21,66,7,69,0.110223642,0.105431309,,,-0.0167256370186805,-0.8566447440012264,,,,,6.0,,,,,,,
Jim Sundberg,1012724,122983,C,MIL,3.3074153128679074,,3.14,2.228890308804925,17.177413940429688,-0.2268320187286008,,,,,105.31113355485402,0.3282156029104878,,,,,0.731044824,0.399425287,0.331619537,0.261494252,0.137931035,0.298932384,110,395,348,43,43,7,30,139,91,61,19,4,1,38,2,63,0.15949367,0.096202531,,,1.4367756843566897,1.155484612064831,,,,,11.0,,,,,,,
Kirby Puckett,1010557,120790,CF,MIN,3.303193466651642,,3.33,-15.417087856981032,30.0,-0.0032621274876873,,,,,77.41360344411729,0.2970565232644857,,,,,0.655243516,0.335727109,0.319516407,0.296229802,0.039497307,0.336734693,128,583,557,63,31,0,17,187,165,148,12,5,14,16,1,69,0.118353344,0.027444253,,,-1.3779785633087158,0.5857903744987487,,,,,30.0,,,,,,,
Brian Downing,1003451,113516,LF,CAL,3.296388338709753,,3.05,19.315900282286584,-7.957818031311035,-1.6283845824946184,,,,,128.49121378954038,0.3658375629849756,,,,,0.821966604,0.461966604,0.36,0.27458256,0.187384044,0.272331154,156,628,539,65,91,23,53,249,148,95,28,2,0,70,3,66,0.105095541,0.111464968,,,2.122514486312866,-0.3010589875891218,,,,,0.0,,,,,,,
Dan Gladden,1004750,114838,CF,SFG,3.2826186135948543,,3.2,21.254251154092614,-3.0,-0.1167201856733299,,,,,149.462563599983,0.3865084965178307,,,,,0.857421331,0.447368421,0.41005291,0.350877192,0.096491229,0.38410596,86,384,342,71,31,4,23,153,120,97,17,2,31,33,2,37,0.096354166,0.0859375,,,1.2619353532791138,-0.6031697069928577,,,,,-3.0,,,,,,,
Jeffrey Leonard,1007535,117691,LF,SFG,3.2579028820810447,,3.43,25.956286708791858,-14.200616359710692,0.6032263886590954,,,,,139.81049180053972,0.3723720340703351,,,,,0.841326256,0.484435797,0.356890459,0.30155642,0.182879377,0.357333333,136,566,514,76,86,21,50,249,155,105,27,2,17,47,3,123,0.217314487,0.083038869,,,1.093903660774231,-1.7332421799136912,,,,,-9.0,,,,,,,
Jim Rice,1010897,121140,LF,BOS,3.2040468903759995,,2.48,9.62553514318326,-1.2942376136779783,0.7419639196887147,,,,,110.7191263493883,0.3465887143782207,,,,,0.790721821,0.467275494,0.323446327,0.280060882,0.187214612,0.292682926,159,708,657,98,122,28,60,307,184,124,25,7,4,44,8,102,0.144067796,0.062146892,,,0.3472997546195984,-0.1892208191923289,,,,,6.0,,,,,,,
