Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Chase%,Whiff%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Hiroki Kuroda,3283,493133,LAD,4.241385459899902,,3.55,3.3921902406803315,,3.2612040609314183,3.4311797904623553,92.8186052229021,,0.1962963,0.05925926,0.13703704,196.1,31,31,,,,0.511149228,0.6876061298676348,0.2830188679245283,0.68867925,0.080213903,0,0.23778071334214,1.1612903526653389,88.54228825079336,83.28434354620036,3.509756559591688,0.32947977,,0.23380281999999997,,0.5909161567687988,-1.408432616403919,159,48,5,15,21,0,0
Mat Latos,3815,502009,SDP,4.22288179397583,,3.17,2.9241874034688897,,3.002030160284189,3.2049322800768616,94.750611779928,,0.2526738,0.06684492,0.18582888,184.2,31,31,,,,0.44668008,0.7797833075917039,0.2729124236252546,0.77394209,0.07960199,0,0.2155172413793103,1.0830323716551444,78.86063491985237,78.00909955665082,3.1428816974146385,0.32494759,,0.23799126999999998,,2.8761138916015625,0.6161499982605223,189,50,2,16,21,1,1
Chad Billingsley,5842,451532,LAD,4.17346715927124,,3.62,3.568695841579051,,3.072625034718793,3.670548439398069,92.24713596956828,,0.20930233,0.08445532,0.124847,191.2,31,31,,,,0.495511669,0.3756521938504263,0.3005366726296959,0.70959803,0.044692737,0,0.2384823848238482,1.278260937407701,93.14940303027566,78.51000851533847,3.7039461205080295,0.27045301,,0.2056213,,1.7972739934921265,0.2579747805524577,171,69,10,8,18,1,1
C.J. Wilson,3580,450351,TEX,4.161781311035156,,5.01,3.3529409256773612,,3.563136507648088,4.063311083138581,91.38009908536586,,0.2,0.10941176,0.09058824,204.0,33,33,,,,0.492063492,0.4411764375891264,0.2663139329805996,0.724,0.052631578,0,0.215528781793842,1.245097946084868,75.53760293111026,81.70264707754879,4.16947179565099,0.22092308,,0.17811321000000002,,2.423880100250244,-0.950552376409115,170,93,10,10,20,3,0
Aníbal Sánchez,3284,434671,FLA,4.148045063018799,,3.1,3.5538461538461537,,3.31886806732569,4.042536295912205,91.9432697821101,,0.18668252,0.08323424,0.10344828,195.0,32,32,,,,0.451114922,0.4615384615384615,0.304857621440536,0.70588235,0.045045045,0,0.2513089005235602,1.3435897435897437,87.08457663627414,84.43355339350718,4.076969419607067,0.28233658,,0.20512821000000003,,0.401824027299881,-0.636713648336937,157,70,7,10,20,1,1
Gavin Floyd,3886,425856,CHW,4.071751594543457,,3.3,4.083630004112543,,3.462184073745935,3.690163690440833,92.54799107142856,,0.18922306,0.0726817,0.11654135,187.1,31,31,,,,0.499127399,0.6725978830303011,0.3251318101933216,0.70254725,0.076086956,0,0.271117166212534,1.3718861582443442,94.2317192128373,78.81467612639797,3.7713537700620385,0.27013889,,0.21584479,,0.8599840402603149,-0.4141193785036769,151,58,6,14,18,1,0
Max Scherzer,3137,453286,DET,4.047396659851074,,3.37,3.495740965347915,,3.706462512174016,3.6821312511471977,93.67019355028197,,0.23,0.0875,0.1425,195.2,31,31,,,,0.403441682,0.9199318329862932,0.2967244701348747,0.74887892,0.095693779,0,0.2406639004149377,1.2470187069369754,82.95662375503991,88.26468317239478,3.662304434660765,0.29321383,,0.21193830000000002,,1.593461990356445,0.3696636821369961,184,70,7,20,18,0,0
Matt Cain,4732,430912,SFG,4.00890588760376,,4.05,3.1432834389173165,,3.64649911681643,4.000905636933013,92.20570352789498,,0.19754464,0.06808036,0.12946429,223.1,33,33,,,,0.361934477,0.8865671237971918,0.2515822784810126,0.7527881,0.073578595,0,0.2178098676293622,1.083582040196568,81.71478425412644,94.55058654000158,3.924050016507876,0.30149254,,0.18051404999999998,,2.741034030914306,0.1811652996136779,177,61,4,22,25,4,2
Brett Myers,962,408206,HOU,3.866984844207764,,4.9,3.138598820320612,,3.5562328447819658,3.671449760841372,90.20389939692984,,0.19230769,0.07051282,0.12179487,223.2,33,33,,,,0.487369985,0.8047689282873364,0.2878560719640179,0.76284585,0.085470085,0,0.2445213379469434,1.2429209003548862,78.92742316566864,88.37976046858648,3.766659240500934,0.27315358,,0.19665551999999997,,1.5372381210327148,-0.240818107267051,180,66,3,20,24,2,0
Mark Buehrle,225,279824,CHW,3.8016200065612793,,3.81,4.278922448955903,,3.900346408154906,4.49279151595262,86.46276767285862,,0.11036789,0.05462653,0.05574136,210.1,33,33,,,,0.457259158,0.7274168163225035,0.3132694938440492,0.70168993,0.060070671,0,0.2904368358913813,1.4025356916022127,98.738185961376,88.88352532062407,4.696180479326283,0.30124224,,0.12695179999999995,,-0.0488079339265823,-0.3715420416047251,99,49,1,17,19,3,0
Yovani Gallardo,8173,451596,MIL,3.7442784309387207,,1.9,3.843243243243243,,3.023788372245995,3.2895631754720536,93.34661766684609,,0.249066,0.09339975,0.15566625,185.0,31,31,,,,0.430255402,0.5837837837837838,0.3235867446393762,0.69816054,0.071428571,0,0.2455172413793103,1.3675675675675676,95.37280973754022,74.66251722774933,3.4607139227483685,0.23488372,,0.20982838999999998,,1.2383599281311035,0.5833746437749971,200,75,3,12,17,2,2
Dan Haren,1757,429717,- - -,3.6883490085601807,,3.09,3.906382978723404,,3.707629660342602,3.4894047747267054,90.93444904003267,,0.21730382,0.05432596,0.16297787,235.0,35,35,,,,0.404526166,1.1872340425531915,0.311046511627907,0.74443592,0.107638888,0,0.2620320855614973,1.2723404255319148,93.64784946289453,91.29189864634756,3.43975462589375,0.31945946,,0.21647727000000005,,1.3008779734373093,0.7878794506836293,216,54,5,31,22,2,0
Tommy Hanson,9129,462102,ATL,3.6761083602905273,,2.79,3.3305917709158073,,3.3048160877254227,3.8650468215594063,93.21561641483515,,0.20473373,0.06627219,0.13846154,202.2,34,34,,,,0.417525773,0.6217104639042841,0.2857142857142857,0.71428571,0.057851239,0,0.2348387096774193,1.1743419873747587,83.0516063651344,83.79059111939571,3.7150436597253575,0.29171975,,0.19642857000000002,,0.8512378931045532,-0.4087070168284521,173,56,14,14,19,1,0
Ricky Romero,3403,460069,TOR,3.6674234867095943,,3.22,3.7285714285714286,,3.634985283442906,3.636882510639373,91.3568050343965,,0.19727891,0.09297052,0.10430839,210.0,32,32,,,,0.552238805,0.6428571428571429,0.2885572139303483,0.70155039,0.09375,0,0.2386363636363636,1.2904761904761906,89.29471823933291,86.26404618255151,3.766696906682234,0.26534408,,0.20527441000000002,,1.589946150779724,-0.0851391127120624,174,82,8,15,20,3,1
Johan Santana,755,276371,NYM,3.666045665740967,,4.68,2.984924394239539,,3.5351288233973523,4.1284509364741595,90.384463028169,,0.17625459,0.06731946,0.10893513,199.0,29,29,,,,0.345177664,0.723618034967161,0.2716666666666666,0.7911985,0.059925093,0,0.2355263157894737,1.1758793068216369,76.63489952648231,90.24301033804412,4.191973320019479,0.30447761,,0.18829859000000004,,3.197824001312256,0.7617710829290929,144,55,2,16,17,4,2
Cole Hamels,4972,430935,PHI,3.5705747604370117,,5.49,3.0623002448450585,,3.6672992809415863,3.2823871338864063,92.5672804532578,,0.24649533,0.07126168,0.17523365,208.2,33,33,,,,0.45421903,1.1214057234643875,0.289090909090909,0.82720588,0.123222748,0,0.2350698856416772,1.1789137092830742,76.00606967381275,91.61650304002566,3.238482238515656,0.27296761,,0.2532833,,2.363072156906128,0.424653780224248,211,61,8,26,21,1,0
Wandy Rodriguez,2586,434643,HOU,3.5543875694274902,,2.53,3.6000002817007433,,3.503483485247573,3.545327076178658,90.44772273936172,,0.21654501,0.08272506,0.13381995,195.0,32,32,,,,0.479128856,0.7384615962463063,0.3030852994555354,0.69444444,0.09039548,0,0.2456375838926174,1.2871795879015475,90.53044428318996,87.07921627138326,3.625547158785232,0.29482551,,0.21134021000000003,,0.2110020071268081,-0.399254398405562,178,68,9,16,23,0,0
Dallas Braden,8099,460284,OAK,3.467013120651245,,2.46,3.5034601151236004,,3.7992956944514273,4.224213749596089,88.18830993520518,,0.1446863,0.05505762,0.08962868,192.2,30,30,,,,0.408866995,0.7941176260946828,0.2703150912106136,0.71008815,0.068548387,0,0.2455661664392905,1.1574394158112042,86.9449974793265,93.01107619978704,4.345602123260331,0.29365079,,0.16363636000000004,,0.3813581168651581,-1.3366234425615502,113,43,5,17,17,5,2
Shaun Marcum,6204,451788,TOR,3.4564390182495117,,4.07,3.639931835394117,,3.738251999810374,3.7102550764766,87.9742900630109,,0.20625,0.05375,0.1525,195.1,31,31,,,,0.384482758,1.1058020765754275,0.2793594306049822,0.74338086,0.095617529,0,0.2410119840213049,1.1467577090411842,87.17190856564248,88.73679604101861,3.603177401261011,0.32097187,,0.2421875,,1.604673981666565,-0.0304528441301705,165,43,6,24,20,1,0
Jason Vargas,8044,450306,SEA,3.333214521408081,,2.6,3.7837372239973983,,3.944624478985325,4.599983506607065,87.33993778935185,,0.14303329,0.06658446,0.07644883,192.2,31,31,,,,0.363057324,0.8408304942216441,0.2717041800643087,0.7195572,0.061016949,0,0.2473544973544973,1.2508651179470138,97.59553357030131,97.87631068577446,4.6349164139284165,0.29318996,,0.16690543999999996,,0.3029240071773529,0.3917025715291417,116,54,1,18,21,0,0
Doug Fister,9425,450729,SEA,3.3227763175964355,,1.23,4.105263157894737,,3.6450938882883537,4.099424311448956,88.87704354745371,,0.12916667,0.04444444,0.08472222,171.0,28,28,,,,0.470790378,0.6842105263157895,0.3020833333333333,0.67698259,0.064356435,0,0.2741935483870967,1.280701754385965,105.88878788943948,90.38256528277068,4.248428861021127,0.28156997,,0.10729991000000005,,-0.8568540811538696,-1.047670466755703,93,32,6,13,13,0,0
John Lackey,1507,407793,BOS,3.3148581981658936,,1.72,4.353488681064956,,3.845284341231371,4.154238164232861,91.80698918632788,,0.16774194,0.07741935,0.09032258,215.0,33,33,,,,0.45614035,0.7534884255689346,0.3185185185185185,0.69252078,0.073170731,0,0.2744405182567727,1.4186047518427474,100.162297175218,93.33415128921494,4.202738029082888,0.27313266,,0.16413181,,-0.4314719438552856,-0.6990956662044414,156,72,9,18,21,0,0
Jason Hammel,4538,434628,COL,3.272590160369873,,1.55,4.812383014750984,,3.70260794049579,3.657182537211837,93.32379379225569,,0.18311688,0.06103896,0.12207792,177.2,30,30,,,,0.467023172,0.9118199396370286,0.3279569892473118,0.68618881,0.097297297,0,0.2803347280334728,1.395872500185081,105.37934828303456,87.10113835630484,3.765515144858586,0.27807487,,0.16086619999999996,,0.6000040769577026,0.3363678726598489,141,47,6,18,14,0,0
Edwin Jackson,1841,429719,- - -,3.248193860054016,,1.9200000000000002,4.471337362333778,,3.8565048088432174,3.7133206535164103,94.96635044642858,,0.20066519,0.0864745,0.11419069,209.1,32,32,,,,0.493589743,0.9028661981635514,0.3133116883116883,0.69620253,0.105527638,0,0.2616136919315403,1.394904390813529,104.5886863026616,92.98078133457985,3.825037679872695,0.29681159,,0.22750643000000004,,0.1141238808631897,0.2677922710903192,181,78,6,21,15,1,1
Gio Gonzalez,7448,461829,OAK,3.1833996772766113,,3.9,3.229235798547794,,3.7805002157988743,4.038094074853391,92.88264421085336,,0.20094007,0.10810811,0.09283196,200.2,33,33,,,,0.493006993,0.6727574580307905,0.2741652021089631,0.7804878,0.074257425,0,0.2264900662251655,1.31063119601554,80.1396017476807,92.54697943315614,4.158271570908385,0.25467713,,0.19715302,,2.733082056045532,0.7981489318230066,171,92,4,15,23,1,0
Phil Hughes,7450,461833,NYY,3.037949740886688,,2.13,4.185254957043771,,4.2517554020562285,4.126240555530252,93.53362354689132,,0.2,0.07945205,0.12054795,176.1,31,29,,,,0.361376673,1.2759923649523692,0.2734530938123752,0.74054054,0.100806451,0,0.2410714285714285,1.2476369790645387,98.42094224023828,98.13861618172936,4.026789210535526,0.29682997,,0.18108108,,1.1059280037879944,0.3264352867689652,146,58,0,25,15,0,0
Clay Buchholz,3543,453329,BOS,3.033220052719116,,5.61,2.332053674502274,,3.613351047852423,4.0647814629109495,94.34690084287531,,0.16877637,0.09423347,0.0745429,173.2,28,28,,,,0.507874015,0.4664107349004548,0.2607843137254902,0.78947368,0.05625,0,0.2222222222222222,1.203454859187593,53.65440691048639,87.65669140195406,4.265728071670482,0.26780627,,0.20703125,,3.0987119674682617,0.8069529019427026,120,67,5,9,19,1,1
Brandon Morrow,9346,453344,TOR,3.021343946456909,,1.75,4.4897495865789105,,3.1598469849590245,3.4761947214064657,94.2010158402204,,0.28298887,0.10492846,0.17806041,146.1,26,26,,,,0.404312668,0.6765376089365482,0.3424657534246575,0.69018405,0.070967741,0,0.2454873646209386,1.3804100707594216,107.52400268548188,74.88672925356636,3.2907913933102177,0.26998492,,0.25516622,,-0.2121180146932602,-0.368274559860495,178,66,9,11,15,1,1
Roberto Hernandez,3273,433584,CLE,2.862902879714966,,2.81,3.765451481913693,,4.104783739549238,4.250150433643524,92.79845805921052,,0.14090909,0.08181818,0.05909091,210.1,33,33,,,,0.556053811,0.7274167635515089,0.2826747720364742,0.71483474,0.082524271,0,0.2540675844806007,1.3074484312200323,93.92775241816092,99.95934055532013,4.30474846132359,0.25449871,,0.15590658999999996,,0.2834000289440155,-0.0332962808951014,124,72,9,17,22,4,1
Chris Carpenter,1292,112020,STL,2.8352346420288086,,3.0,3.217021485480222,,3.686353104109138,3.699120190117488,91.99113633897568,,0.18472652,0.06501548,0.11971104,235.0,35,35,,,,0.510699001,0.8042553713700555,0.2784992784992785,0.73292402,0.092920353,0,0.2396416573348264,1.1787234807910338,82.1754513911105,94.3350663133644,3.7131097603622174,0.27986348,,0.19704750000000004,,0.9391821026802064,-0.5470048223569008,179,63,13,21,25,1,0
R.A. Dickey,1245,285079,NYM,2.8345165977953,,3.58,2.8393882281560727,,3.645720071931263,3.748108623310798,83.20167032877605,,0.14586255,0.05890603,0.08695652,174.1,27,26,,,,0.551282051,0.6711281266550717,0.2763636363636363,0.77282158,0.08496732,0,0.2473763118440779,1.1873805317743578,72.89840640565158,93.04362812279624,3.894953440611684,0.27199282,,0.17961165,,1.2748241610825062,-0.3610032134228267,104,42,4,13,19,2,1
Brian Matusz,2646,451085,BAL,2.7886857986450195,,2.83,4.303605562306678,,4.051277017774178,4.313692364470462,90.79831367924528,,0.18815789,0.08289474,0.10526316,175.2,32,32,,,,0.362101313,0.9734345914741294,0.2916666666666667,0.71626617,0.079166666,0,0.2507246376811594,1.3434535882333014,101.09227535958074,93.37106333915588,4.189560941350288,0.28344671,,0.17594655000000003,,0.8864842057228088,-0.3676331392324077,143,63,7,19,18,0,0
Carl Pavano,790,134321,MIN,2.7846031188964844,,3.79,3.7466065935234374,,4.014494074680909,3.8571253087378783,90.6168332122093,,0.12913907,0.04083885,0.08830022,221.0,32,32,,,,0.51226158,0.9773756330930706,0.281163434903047,0.74027073,0.105726872,0,0.2630359212050985,1.194570218224864,89.88412113370309,97.4015671362678,4.0329513692305925,0.34273916,,0.15933333000000005,,0.7449399828910828,-0.8792387746977568,117,37,6,24,21,7,2
Mike Pelfrey,5203,460059,NYM,2.772905983030796,,2.56,3.6617644319897495,,3.8229404097839073,4.309406957393909,93.16040100301788,,0.12988506,0.07816092,0.05172414,204.0,34,33,,,,0.477794793,0.5294117251069518,0.2995529061102832,0.73649149,0.057416267,1,0.2675879396984925,1.377450877361606,94.01207946061682,97.531563982004,4.587953789308573,0.2529159,,0.13601533,,1.817257970571518,1.6447237088413469,113,68,6,12,20,0,0
Jhoulys Chacín,2608,468504,COL,2.753336139023304,,2.55,3.2766988319235644,,3.543861815729178,3.619900253361427,91.58355756265864,,0.23670669,0.10463122,0.13207547,137.1,28,21,,,,0.465753424,0.6553397663847129,0.284931506849315,0.70588235,0.086956521,0,0.2222222222222222,1.274271767970275,71.75164286996245,83.39517959120398,3.6718034665737393,0.25737052,,0.26498423000000004,,0.4526341259479522,-1.2769682752242382,138,61,9,10,11,0,0
Carlos Marmol,2790,461791,CHC,2.7462689876556396,,2.66,2.5493570579420943,,2.0091725484758376,2.8324105043964174,94.96988932291669,,0.41566265,0.15662651,0.25903614,77.2,77,0,,,,0.351145038,0.1158798662700952,0.2932330827067669,0.78093306,0.015873015,38,0.1470588235294117,1.1845497440943065,61.63478849744561,50.151082615096165,2.3404076625397137,0.27842566,,0.38649155999999996,,3.778075933456421,0.441559869908638,138,52,8,1,0,0,0
Livan Hernandez,1116,115817,WSN,2.6474432945251465,,3.19,3.65669335273002,,3.947133869326307,4.56841623109011,84.44972566793894,,0.12723214,0.07142857,0.05580357,211.2,33,33,,,,0.392805755,0.6803150423683758,0.2865329512893982,0.73012232,0.057553956,0,0.2608695652173913,1.3228348046051752,90.90686754376348,98.16195531831252,4.77168606577594,0.25436128,,0.11782946000000005,,0.5067843198776245,-0.729460915667166,114,64,4,16,22,2,1
Andy Pettitte,840,120485,NYY,2.633002281188965,,2.62,3.2790701553072856,,3.84528437754218,3.888984660458848,89.87558747194164,,0.18843284,0.07649254,0.1119403,129.0,21,21,,,,0.439473684,0.9069768514679726,0.291005291005291,0.77284946,0.09090909,0,0.25,1.2713179798354488,77.11099506949638,88.68436678706286,3.9795027872286335,0.29284165,,0.17936693999999997,,1.4343799352645874,0.0537331336554602,101,41,3,13,14,0,0
Johnny Cueto,6893,456501,CIN,2.606752395629883,,2.38,3.635547775490329,,3.971917879235448,4.08864763977629,93.97594961011342,,0.17692308,0.07179487,0.10512821,185.2,31,31,,,,0.41696113,0.92100543645755,0.2903225806451613,0.76116682,0.086363636,0,0.2531468531468531,1.2764812189499375,88.58830602193464,96.3887182839915,4.097296065260614,0.27678571,,0.20209790000000005,,0.6815919876098633,0.265544850288451,138,56,9,19,18,1,1
Ryan Dempster,517,133225,CHC,2.6004436016082764,,2.68,3.845201056739592,,3.9927030641958217,3.742464552368862,91.67088181044268,,0.22657952,0.09368192,0.1328976,215.1,34,34,,,,0.47420965,1.0448915915053238,0.2937181663837012,0.71042471,0.112612612,0,0.2408759124087591,1.3188853866111645,92.96389186597892,98.97197781727304,3.709223895626972,0.28810896,,0.25444162000000003,,0.8699681162834167,0.6789043589711103,208,86,10,25,23,1,0
Ted Lilly,833,150404,- - -,2.581470012664795,,3.9499999999999997,3.624784901299336,,4.270613526300258,3.944994203561188,87.42947920095457,,0.21146497,0.05605096,0.15541401,193.2,30,30,,,,0.295081967,1.487091241558702,0.2472118959107806,0.77423168,0.110726643,0,0.2241847826086956,1.0791738523811414,90.31899776613407,106.92919654803774,3.80719494664236,0.30081301,,0.18714286000000002,,1.853380173444748,0.1806318750358229,166,44,5,32,22,1,1
Randy Wells,4535,448694,CHC,2.54128098487854,,2.77,4.260720188633171,,3.93204478295839,3.936736424931457,90.7130836047774,,0.17081851,0.0747331,0.09608541,194.1,32,32,,,,0.468852459,0.8799313433046766,0.3109656301145663,0.71996818,0.093596059,0,0.2700258397932816,1.3996568735606552,103.0097321421058,97.47898763236437,4.079130199453309,0.29918801,,0.21513665000000004,,-0.1222780272364616,-0.1595518408865616,144,63,6,19,18,0,0
