Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Chase%,Whiff%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Daniel Hudson,7146,543339,ARI,4.247344970703125,,1.49,3.4864864864864864,,3.2821430425386176,3.78623397625513,94.15843508997428,,0.1834962,0.05428882,0.12920738,222.0,33,33,,,,0.417404129,0.6891891891891891,0.2954209748892171,0.70461783,0.064150943,0,0.2514484356894554,1.2027027027027026,87.46564870318969,84.39971836941531,3.772699864453807,0.30717351,,0.21145643000000003,,0.9941022396087646,-0.0253651957672724,169,50,8,17,21,3,0
Mat Latos,3815,502009,SDP,4.119727611541748,,1.97,3.4734134699829906,,3.16432282458118,3.516175020645037,93.75887935633,,0.23153942,0.077597,0.15394243,194.1,31,31,,,,0.428037383,0.7409948735963713,0.2841121495327103,0.71428571,0.072727272,0,0.2282608695652173,1.1835334786608709,98.71084935639855,84.98503422256633,3.470430022264985,0.30263158,,0.24711815999999998,,0.1943800449371338,-0.3602232599863908,185,62,1,16,20,0,0
Matt Harrison,5551,457448,TEX,3.95426862128079,,3.99,3.3931776449267828,,3.515511945604618,3.8502588581602946,93.59662104162032,,0.16321244,0.0738342,0.08937824,185.2,31,30,,,,0.474605954,0.6301615626292597,0.2904347826086956,0.7233849,0.070652173,0,0.2521008403361344,1.276481114043885,78.39349182923397,84.06426834373329,4.076819697063597,0.26164384,,0.16877323,,1.8753140978515148,0.1592694319956471,126,57,1,13,20,0,0
Josh Beckett,510,277417,BOS,3.775543451309204,,5.81,2.8911917098445596,,3.574609083709322,3.5790862530933145,93.54227322722568,,0.22816167,0.06779661,0.16036506,193.0,30,30,,,,0.40116279,0.9792746113989638,0.2450980392156862,0.79954955,0.096330275,0,0.206798866855524,1.0259067357512954,68.09396327302899,90.23926114161031,3.420175221239304,0.29619377,,0.22440393000000003,,3.3575220108032227,0.1844929156203503,175,52,9,21,20,1,1
Aníbal Sánchez,3284,434671,FLA,3.7449209690093994,,3.67,3.6672324076145135,,3.346269121448131,3.2505207577394466,92.41251108156028,,0.24337349,0.07710843,0.16626506,196.1,32,32,,,,0.442592592,0.9168081019036284,0.3098330241187384,0.75,0.104166666,0,0.2457293035479632,1.2784379643211707,94.69660140323806,88.11357587726798,3.282913391032771,0.31863727,,0.23141564000000003,,1.0801342725753784,0.6533761034764944,202,64,5,20,19,3,2
Michael Pineda,5372,501381,SEA,3.5221784114837646,,2.15,3.736842438711641,,3.4230471399796563,3.5312794269032803,95.0958650914634,,0.24856322,0.07902299,0.16954023,171.0,28,28,,,,0.363028953,0.9473685055888666,0.2584269662921348,0.69725864,0.089552238,0,0.2091194968553459,1.0994153027821416,97.72154754234224,87.7384777421662,3.352311929610001,0.3085622,,0.23755656000000003,,0.5206640958786011,-1.0096026985093622,173,55,5,18,19,0,0
Tim Lincecum,5705,453311,SFG,3.5186984539031982,,3.69,2.737327188940092,,3.168243428639004,3.357996305946931,92.96257983576642,,0.24444444,0.09555556,0.14888889,217.0,33,33,,,,0.478947368,0.6221198156682027,0.2809773123909249,0.7854251,0.079787234,0,0.2178217821782178,1.207373271889401,76.1904418619677,85.55401695813273,3.447131361102398,0.29207161,,0.25078964000000004,,1.921265959739685,0.1847365828549576,220,86,6,15,23,1,1
Alexi Ogando,10261,468396,TEX,3.4854108504951,,3.6,3.514792582062257,,3.6526051640623303,3.9382648503650177,95.7722691970696,,0.18181818,0.06204906,0.11976912,169.0,31,29,,,,0.363992172,0.8520709289847895,0.2654690618762475,0.71347678,0.078431372,0,0.2317262830482115,1.1360945719797193,81.20319429055273,87.3092692478646,3.9282061406322497,0.28320611,,0.18929403,,1.7635938875610009,-0.4441673509871278,126,43,7,16,17,1,1
Javier Vazquez,801,134320,FLA,3.401890993118286,,2.77,3.690311613528327,,3.570369013518112,3.868270444458197,91.28921387952822,,0.20300752,0.06265664,0.14035088,192.2,32,32,,,,0.341506129,0.9809689099252514,0.2788632326820603,0.69292124,0.079847908,0,0.2386058981233244,1.1833910659415732,95.29256100443096,94.07046239043262,3.765548699709431,0.27567976,,0.18736988,,-0.1481879353523254,-1.230857619003632,162,50,2,21,19,2,1
Edwin Jackson,1841,429719,- - -,3.379143276717514,,2.96,3.7863102764002097,,3.546254366133212,3.731413831216502,95.03132064054782,,0.17189315,0.07200929,0.09988386,199.2,32,31,,,,0.438202247,0.7212019574095637,0.330173775671406,0.73893473,0.082051282,0,0.2823086574654956,1.437395567892672,94.2238602166724,88.53569048577555,3.99725311174449,0.27296248,,0.19868421000000003,,0.756385934422724,1.8969390351641184,148,62,2,16,18,1,1
Gio Gonzalez,7448,461829,OAK,3.3336844444274902,,4.39,3.118811881188119,,3.639247671920475,3.726816429330571,93.61997090080972,,0.22800926,0.10532407,0.12268519,202.0,32,32,,,,0.474910394,0.7574257425742574,0.2867513611615245,0.77138289,0.089473684,0,0.2287581699346405,1.316831683168317,78.67428723440993,92.27196925033029,3.770495791889331,0.25652931,,0.23119776999999997,,1.8993059396743777,1.043291587597069,197,91,8,17,19,0,0
Ubaldo Jiménez,3374,434622,- - -,3.305356979370117,,0.96,4.683185967185392,,3.673173913895939,3.713734077006002,94.1380933232668,,0.2189781,0.09489051,0.12408759,188.1,32,32,,,,0.471663619,0.8123894024709355,0.3141263940520446,0.65008026,0.093406593,0,0.2530612244897959,1.401769949361614,111.40207264207588,90.52160143743887,3.7259913599428183,0.26282854,,0.18090452,,-1.7653178572654724,-1.4486783070235405,180,78,9,17,16,2,1
Zack Greinke,1943,425844,MIL,3.2674143314361572,,1.41,3.827184352624857,,2.978784345415043,2.5644699313101937,93.2927013018322,,0.28111888,0.06293706,0.21818182,171.2,28,28,,,,0.472527472,0.996116475340716,0.3183856502242152,0.69792803,0.135714285,0,0.2417417417417417,1.199999964445541,98.81548227342525,74.70924779779948,2.651156215131138,0.29333333,,0.24264121000000005,,0.4388178884983063,0.5726628916878476,201,45,4,19,19,0,0
Ricky Nolasco,3830,445060,FLA,3.2420294284820557,,0.61,4.674757281553398,,3.535095023645938,3.553609757660662,91.34267268105158,,0.1661055,0.04938272,0.11672278,206.0,33,33,,,,0.451183431,0.8737864077669902,0.3313609467455621,0.66159696,0.095238095,0,0.2890995260663507,1.3980582524271843,120.71327304726418,93.1328307271856,3.776546204454904,0.36081794,,0.18402096,,-0.6487520337104797,0.2430980331494516,148,44,3,20,18,2,1
Jaime García,8137,448802,STL,3.1827569007873535,,0.71,3.5599316928775573,,3.2257287620044073,3.314637082452481,90.24591365262322,,0.18886199,0.06053269,0.1283293,194.2,32,32,,,,0.536423841,0.6934931869241995,0.3184079601990049,0.66806723,0.088757396,0,0.2674418604651162,1.3202055484408834,96.26553487925769,85.86331993678573,3.426350126391148,0.3155373,,0.23269514000000002,,-0.8786618709564209,-0.4658964415262431,156,50,2,15,18,2,2
Jordan Zimmermann,4505,519455,WSN,3.155893087387085,,2.66,3.179752467100597,,3.16174993934173,3.7832985177885066,93.8314266487214,,0.18731118,0.04682779,0.14048338,161.1,26,26,,,,0.394250513,0.6694215720211782,0.290983606557377,0.74200913,0.058823529,0,0.2467948717948718,1.146694359480722,83.49751553631506,82.13407379737674,3.6925131217111895,0.28462273,,0.16145392999999997,,1.2223039865493774,0.3122738541801839,124,31,7,12,16,1,0
Derek Holland,4141,502706,TEX,3.145326614379883,,2.61,3.9545454545454546,,3.939527699923275,3.764030033771438,94.84437905844156,,0.19217082,0.07947805,0.11269276,198.0,32,32,,,,0.463865546,1.0,0.3054607508532423,0.72779605,0.11,0,0.261038961038961,1.3535353535353536,91.36292267006633,94.1007349290909,3.847646054250972,0.26486486,,0.17927170999999997,,0.6638480424880981,0.203088839983149,162,67,6,22,19,4,4
Gavin Floyd,3886,425856,CHW,3.094371199607849,,2.83,4.368330005814622,,3.810239903847845,3.734602626441317,91.68846778506324,,0.18922306,0.05639098,0.13283208,193.2,31,30,,,,0.436741767,1.022375107743848,0.2776801405975395,0.67738791,0.101851851,0,0.2425876010781671,1.161789895163463,103.19895600975258,89.83841570889898,3.68714103955494,0.25774648,,0.18534799000000002,,0.0336659699678421,-1.5058840527464443,151,45,11,22,16,1,0
Mark Buehrle,225,279824,CHW,3.087104558944702,,3.81,3.5941559331858235,,3.979931763972133,4.143211559076905,86.27887991573034,,0.12703963,0.05244755,0.07459208,205.1,31,31,,,,0.449275362,0.920454568254906,0.2936857562408223,0.7334451,0.086065573,0,0.2725030826140567,1.295454577543942,84.90959692773161,93.8019933044791,4.366770281602637,0.26996198,,0.14526315999999995,,2.2176761627197266,1.0732332017025985,109,45,2,21,22,0,0
Philip Humber,8586,458950,CHW,3.0719174132682383,,3.41,3.7546008755174065,,3.583668442108795,3.862089110537569,91.08156214052914,,0.17159763,0.06065089,0.11094675,163.0,28,26,,,,0.471057884,0.7730060626065248,0.2745490981963928,0.71188341,0.077348066,0,0.2400635930047694,1.1779140001623236,88.70000436572842,84.5462728277438,3.8842446861039694,0.26749336,,0.20139494000000002,,1.540407998487353,0.1285672388208083,116,41,6,14,15,0,0
Jonathan Papelbon,5975,449097,BOS,3.045257329940796,,1.57,2.9378244148658426,,1.5331580115642898,2.1571614078864156,95.56231124161074,,0.34117647,0.03921569,0.30196078,64.1,63,0,,,,0.375,0.4196892021236918,0.3092105263157895,0.69727891,0.047619047,31,0.2066115702479339,0.9326426713859818,69.19226667927802,39.21758558206358,1.5704040736328355,0.40506329,,0.30434783,,3.256757974624634,0.2015123560089409,87,10,3,3,0,0,0
Johnny Cueto,6893,456501,CIN,3.0107977390289307,,3.64,2.307692081970598,,3.454873423259722,3.899511257014217,94.10728064373896,,0.16481775,0.07448494,0.09033281,156.0,24,24,,,,0.537117903,0.4615384163941196,0.2489177489177489,0.76421801,0.057971014,0,0.2142857142857142,1.0897434831527824,59.64356096575434,87.24695794818837,3.9234969616905926,0.31839623,,0.17142857,,1.9022060632705688,-0.5245482464710165,104,47,10,8,18,3,1
Hiroki Kuroda,3283,493133,LAD,2.930422306060791,,3.36,3.0742574257425743,,3.7778615333066137,3.557974439933159,92.73389406634747,,0.19212411,0.05847255,0.13365155,202.0,32,32,,,,0.432300163,1.0693069306930694,0.2871452420701169,0.79944547,0.112676056,0,0.25,1.2128712871287128,84.32868651637646,99.3470087877842,3.651312331176247,0.30139478,,0.21839841000000004,,0.8343660831451416,0.9575036371531924,161,49,5,24,22,0,0
Brandon Morrow,9346,453344,TOR,2.905484199523926,,1.35,4.717472654148105,,3.638769254997335,3.5315051725103226,94.62818684716878,,0.26126126,0.08880309,0.17245817,179.1,30,30,,,,0.360082304,1.0539034652884065,0.298728813559322,0.65543071,0.103960396,0,0.2327586206896551,1.2881042353524967,113.14953443843028,88.39345608079361,3.3000978463855195,0.29545455,,0.24713805,,-0.8310117721557617,-0.2134552690444108,203,69,12,21,17,0,0
Tim Hudson,921,218596,ATL,2.86654281616211,,2.97,3.2232558139534886,,3.392828146246977,3.4812056796495305,90.8059414950284,,0.17873303,0.06334842,0.11538462,215.0,33,33,,,,0.567026194,0.586046511627907,0.2730109204368174,0.72379368,0.0875,0,0.2324723247232472,1.1395348837209305,85.53032673496209,90.0271045218228,3.4255644180916325,0.27465215,,0.19610570000000005,,1.5176459550857544,-0.1034645990945382,158,56,15,14,23,1,1
John Danks,6329,433579,CHW,2.864563465118408,,2.0,4.332681146989174,,3.8238207518936864,3.7897781106688866,92.17779103053437,,0.18543956,0.06318681,0.12225275,170.1,27,27,,,,0.4375,1.0039139243023696,0.3128598848368522,0.70057582,0.098958333,0,0.2696296296296296,1.338551899069826,102.35677489961934,90.155630364947,3.7977319694774208,0.29807692,,0.19125278,,0.525071918964386,0.7275921249368763,135,46,7,19,16,2,1
Jake Peavy,1051,408241,CHW,2.856335073709488,,1.1,4.916418358319945,,3.213446004406121,3.523025504340215,90.8750740172371,,0.20212766,0.05106383,0.15106383,111.2,19,18,,,,0.385294117,0.8059702226754007,0.3165680473372781,0.63846154,0.076335877,0,0.2641083521444695,1.262686682191461,116.1471869594211,75.89880229860593,3.5201617682071484,0.3147929,,0.18682505000000005,,-0.6383119821548462,-1.5034948309542706,95,24,3,10,7,1,1
Jonathon Niese,4424,477003,NYM,2.8517055567353964,,0.5,4.404661026683092,,3.362250693305964,3.2754189957091837,91.64518643151948,,0.19884726,0.06340058,0.13544669,157.1,27,26,,,,0.514583333,0.8008474593969258,0.332657200811359,0.67020251,0.104477611,0,0.275968992248062,1.411016952270774,119.16784507527824,88.88743039275484,3.4153151659032455,0.3172093,,0.18261633,,-1.325757935643196,-0.4997608554415067,138,44,5,14,15,0,0
Roy Oswalt,571,400061,PHI,2.846956729888916,,2.06,3.6906474820143886,,3.4426524728322203,3.953452254713868,92.4033521884273,,0.15656566,0.05555556,0.1010101,139.0,23,23,,,,0.451111111,0.6474820143884892,0.3156732891832229,0.74011299,0.0625,0,0.2751798561151079,1.3381294964028776,95.96027649212944,88.15157710114443,4.034473346226054,0.31318137,,0.16650809,,0.0368419773876667,0.3298357720316524,93,33,5,10,14,0,0
Craig Kimbrel,6655,518886,ATL,2.8302667140960693,,2.45,2.103896103896104,,1.518892779288354,1.9423559831721444,96.88033179437708,,0.41503268,0.10457516,0.31045752,77.0,79,0,,,,0.447552447,0.3506493506493506,0.3146853146853147,0.80729167,0.052631578,46,0.1758241758241758,1.0389610389610389,55.82768838999888,39.83848161840757,1.6101377731741595,0.31334333,,0.36991149999999995,,1.898257851600647,-0.2974286164408017,127,32,1,3,0,0,0
Cory Luebke,1984,458537,SDP,2.8271247148513794,,1.64,3.2863965105076027,,2.925147612258753,3.022484640518527,92.13623147275533,,0.27747748,0.07927928,0.1981982,139.2,46,17,,,,0.387931034,0.7732697671782595,0.271137026239067,0.72280179,0.088888888,0,0.206286836935167,1.066825882495932,93.39601912573296,78.49704326899482,2.8821991369018627,0.31564987,,0.23577236000000001,,-0.150366123765707,-1.5474745212381282,154,44,2,12,9,0,0
Shaun Marcum,6204,451788,MIL,2.7522189617156982,,2.92,3.543189009536387,,3.728044021850258,3.886680714532041,87.57916145181477,,0.19198056,0.06925881,0.12272175,200.2,33,33,,,,0.372250423,0.9867108634151964,0.2610921501706484,0.73558648,0.086956521,0,0.2284595300261096,1.1561460621834625,91.48290192060082,93.70127592469602,3.9032925687594786,0.29463244,,0.23383085000000003,,1.3940699100494385,0.09815201751533,158,57,0,22,20,0,0
Yovani Gallardo,8173,451596,MIL,2.7469594478607178,,2.26,3.516077256673764,,3.5896949812974035,3.187361243799913,93.4467513192612,,0.23930636,0.06820809,0.17109827,207.1,33,33,,,,0.465753424,1.172025752224588,0.2907180385288966,0.74814126,0.126760563,0,0.239751552795031,1.2154341134180913,90.78289358874176,90.19444251013128,3.208973898239301,0.26470588,,0.21548822,,0.6738481521606445,0.0303067495578112,207,59,1,27,23,1,1
Jason Vargas,8044,450306,SEA,2.6755168437957764,,0.74,4.253731020364257,,4.085087697872606,4.44971250007179,88.08165922619048,,0.15285881,0.06884481,0.084014,201.0,32,32,,,,0.364055299,0.9850745520843542,0.2854914196567862,0.68718381,0.076923076,0,0.2581863979848866,1.3134327361124722,111.2386152096306,104.53111555997472,4.430797128864334,0.25766017,,0.17290673999999995,,0.0957280993461608,1.021028791539445,131,59,4,22,18,4,3
R.A. Dickey,1245,285079,NYM,2.6552809551358223,,3.64,3.277955191665133,,3.768197769273229,3.9532193448620423,,,0.15296804,0.06164384,0.0913242,208.2,33,32,,,,0.508345978,0.7763578085522683,0.2783661119515885,0.75062552,0.082949308,0,0.2484624846248462,1.2268370307986465,88.68488496110542,99.72060731998845,4.005843682902562,0.26701967,,0.16554508999999995,,-0.597699798643589,-0.932314001348704,134,54,9,18,22,1,0
Jon Lester,4930,452657,BOS,2.626598834991455,,4.34,3.474782793116444,,3.828864589295272,3.6193603834240062,93.47340806715806,,0.22778473,0.09386733,0.1339174,191.2,31,31,,,,0.504798464,0.939130484626066,0.2857142857142857,0.78125,0.114285714,0,0.2328190743338008,1.2573913710826772,81.83882483148973,96.59383024798824,3.58253480710571,0.26814268,,0.20042643999999998,,1.259552001953125,-0.4421736712163495,182,75,11,20,19,0,0
Sean Marshall,5905,445156,CHC,2.5775771141052246,,2.51,2.259912653822257,,1.86239030018912,2.5041078050529233,92.02009925063776,,0.25732899,0.05537459,0.2019544,75.2,78,0,,,,0.575,0.118942771253803,0.3125,0.76555024,0.020408163,5,0.2291666666666666,1.0969166682295168,57.07583038004317,47.43974076360473,2.1940912415738154,0.30518234,,0.26037736,,1.8755600452423096,-0.2958359536298951,79,17,2,1,0,0,0
Ryan Dempster,517,133225,CHC,2.5754847526550293,,0.8,4.803953992261154,,3.9051227164634303,3.700177482256244,91.23107130984044,,0.21679909,0.09307605,0.12372304,202.1,34,34,,,,0.440823327,1.0230642761296902,0.3241379310344827,0.70353649,0.112195121,0,0.2657430730478589,1.4481054729758418,121.32754898826896,100.3658521958772,3.7776984441140593,0.29683973,,0.20212766000000004,,-0.6885139346122742,0.1788661870926763,191,82,5,23,21,0,0
Ricky Romero,3403,460069,TOR,2.544344902038574,,6.42,2.920000198025187,,4.198719698686959,3.79642051660611,92.82577353282976,,0.19411123,0.087241,0.10687023,225.0,32,32,,,,0.546603475,1.0400000705295187,0.2423263327948303,0.79195205,0.131979695,0,0.2138517618469015,1.1377778549382769,70.0367945272887,101.8626095884356,3.7665489759420967,0.29186321,,0.21584157999999998,,3.3789761066436768,1.1412283245008616,178,80,14,26,25,4,2
Chad Billingsley,5842,451532,LAD,2.5407004356384277,,0.45,4.21276629937081,,3.828577840333618,4.1367967286867895,92.38674496644296,,0.18335344,0.1013269,0.08202654,188.0,32,32,,,,0.453097345,0.6702128203544471,0.3059440559440559,0.69892473,0.073298429,0,0.2560975609756097,1.4521277774346353,115.55865349844132,100.69188476476276,4.254711602313364,0.24914676,,0.17373176,,-1.0776443481445312,-0.2702919883030092,152,84,7,14,16,1,0
