fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,2.7,13.791238370114428,3.259259283542633,0.7095085233449936,,,,,133.86186619243185,0.3651666616400082,,,,,0.746942269,0.363013698,0.383928571,0.29109589,0.071917808,,79,351,292,45,17,0,17,106,85,68,13,4,17,44,,,,0.125356125,,,,,,,,,6.0,,,,,,,
,4.06,7.180610887103152,5.518518447875977,1.677108120173216,,,,,110.34576801815868,0.3252676582854727,,,,,0.673822252,0.34338747,0.330434782,0.28538283,0.05800464,,114,472,431,49,57,0,22,148,123,101,19,3,24,29,,,,0.061440677,,,,,,,,,2.0,,,,,,,
,3.05,6.660964991965539,2.4320987462997437,-1.9396482780575752,,,,,113.74997733495498,0.3413197523254077,,,,,0.706131924,0.356415478,0.349716446,0.299389002,0.057026476,,122,555,491,70,51,1,21,175,147,126,15,5,10,37,,,,0.066666666,,,,,,,,,7.0,,,,,,,
,2.52,13.7473593403538,-5.97530871629715,0.9324185010045768,,,,,117.85207309370682,0.3770164125240766,,,,,0.784732186,0.40780911,0.376923076,0.297180043,0.110629067,,121,530,461,85,64,2,35,188,137,102,21,12,24,53,,,,0.1,,,,,,,,,0.0,,,,,,,
,2.66,11.983968521307752,-0.117283821105957,1.813419558107853,,,,,120.41679984006836,0.3469201282218651,,,,,0.730321271,0.394673123,0.335648148,0.305084745,0.089588378,,102,442,413,49,69,0,29,163,126,97,21,8,23,17,,,,0.038461538,,,,,,,,,3.0,,,,,,,
,2.6500000000000004,17.800331496551514,-6.622906386852264,-0.1709363982081413,,,,,132.82128297382707,0.4010346325758461,,,,,0.84194976,0.447089947,0.394859813,0.314814814,0.132275133,,100,435,378,74,46,2,37,169,119,82,26,9,15,49,,,,0.112643678,,,,,,,,,-5.0,,,,,,,
,3.0,2.670303165370583,6.074073791503906,-1.2435592859983444,,,,,106.67832823736929,0.3271032613949129,,,,,0.662369917,0.316593886,0.345776031,0.272925764,0.043668122,,131,520,458,59,43,2,16,145,125,109,14,0,13,39,,,,0.075,,,,,,,,,2.0,,,,,,,
,2.59,16.057188839774383,-9.185185194015505,0.0123072601854801,,,,,125.15275904530397,0.3505420211451518,,,,,0.730035655,0.38030888,0.349726775,0.31081081,0.06949807,,129,566,518,58,48,3,26,197,161,135,19,4,20,23,,,,0.040636042,,,,,,,,,-6.0,,,,,,,
,2.94,-3.849554248477159,11.901851892471312,-0.770936407148838,,,,,94.6958707494448,0.3214614676392596,,,,,0.671111587,0.354906054,0.316205533,0.277661795,0.077244259,,129,515,479,53,49,1,28,170,133,105,20,7,12,24,,,,0.046601941,,,,,,,,,8.0,,,,,,,
,3.35,11.364209547423089,-0.5493826866149902,-1.6508251931518316,,,,,126.98156325730008,0.3715535958607991,,,,,0.774732373,0.405684754,0.369047619,0.315245478,0.090439276,,112,428,387,54,60,1,28,157,122,94,22,5,7,24,,,,0.056074766,,,,,,,,,-2.0,,,,,,,
